period,ratio,title
2023-01-01,1.83979,HYBE
2023-01-02,3.94693,HYBE
2023-01-03,5.5059,HYBE
2023-01-04,4.28409,HYBE
2023-01-05,3.62391,HYBE
2023-01-06,3.94962,HYBE
2023-01-07,1.83799,HYBE
2023-01-08,1.87166,HYBE
2023-01-09,4.38667,HYBE
2023-01-10,3.71482,HYBE
2023-01-11,3.80012,HYBE
2023-01-12,3.38776,HYBE
2023-01-13,3.29887,HYBE
2023-01-14,1.6216,HYBE
2023-01-15,1.74686,HYBE
2023-01-16,3.62324,HYBE
2023-01-17,3.4569,HYBE
2023-01-18,4.17791,HYBE
2023-01-19,5.46393,HYBE
2023-01-20,4.3429,HYBE
2023-01-21,2.3801,HYBE
2023-01-22,1.71476,HYBE
2023-01-23,2.32959,HYBE
2023-01-24,1.97335,HYBE
2023-01-25,4.41159,HYBE
2023-01-26,5.50209,HYBE
2023-01-27,5.03945,HYBE
2023-01-28,2.54845,HYBE
2023-01-29,2.34194,HYBE
2023-01-30,4.51934,HYBE
2023-01-31,4.12539,HYBE
2023-02-01,3.69058,HYBE
2023-02-02,3.88295,HYBE
2023-02-03,4.73685,HYBE
2023-02-04,2.25619,HYBE
2023-02-05,2.05259,HYBE
2023-02-06,4.65313,HYBE
2023-02-07,4.41496,HYBE
2023-02-08,5.65338,HYBE
2023-02-09,10.0147,HYBE
2023-02-10,100.0,HYBE
2023-02-11,16.01759,HYBE
2023-02-12,7.92619,HYBE
2023-02-13,22.43913,HYBE
2023-02-14,18.94541,HYBE
2023-02-15,15.6324,HYBE
2023-02-16,15.74755,HYBE
2023-02-17,14.31922,HYBE
2023-02-18,5.62308,HYBE
2023-02-19,4.36827,HYBE
2023-02-20,10.73863,HYBE
2023-02-21,9.63848,HYBE
2023-02-22,15.9498,HYBE
2023-02-23,9.97115,HYBE
2023-02-24,8.18209,HYBE
2023-02-25,3.39315,HYBE
2023-02-26,2.86788,HYBE
2023-02-27,7.65233,HYBE
2023-02-28,8.66404,HYBE
2023-03-01,3.40325,HYBE
2023-03-02,7.18767,HYBE
2023-03-03,8.68558,HYBE
2023-03-04,3.97027,HYBE
2023-03-05,3.58261,HYBE
2023-03-06,10.20056,HYBE
2023-03-07,13.73312,HYBE
2023-03-08,11.93126,HYBE
2023-03-09,8.01486,HYBE
2023-03-10,8.81421,HYBE
2023-03-11,4.29038,HYBE
2023-03-12,10.9117,HYBE
2023-03-13,15.78122,HYBE
2023-03-14,9.27505,HYBE
2023-03-15,7.72753,HYBE
2023-03-16,5.89873,HYBE
2023-03-17,5.31106,HYBE
2023-03-18,2.0793,HYBE
2023-03-19,1.95405,HYBE
2023-03-20,5.228,HYBE
2023-03-21,4.96515,HYBE
2023-03-22,4.44638,HYBE
2023-03-23,4.12112,HYBE
2023-03-24,7.07004,HYBE
2023-03-25,2.52533,HYBE
2023-03-26,1.68849,HYBE
2023-03-27,5.33867,HYBE
2023-03-28,4.88007,HYBE
2023-03-29,3.87757,HYBE
2023-03-30,3.88655,HYBE
2023-03-31,3.56263,HYBE
2023-04-01,1.50599,HYBE
2023-04-02,1.41508,HYBE
2023-04-03,3.46947,HYBE
2023-04-04,4.45245,HYBE
2023-04-05,3.90832,HYBE
2023-04-06,9.66295,HYBE
2023-04-07,7.19103,HYBE
2023-04-08,1.97043,HYBE
2023-04-09,1.69388,HYBE
2023-04-10,5.94161,HYBE
2023-04-11,5.61657,HYBE
2023-04-12,6.55846,HYBE
2023-04-13,8.58973,HYBE
2023-04-14,9.55879,HYBE
2023-04-15,2.4764,HYBE
2023-04-16,2.3058,HYBE
2023-04-17,8.28422,HYBE
2023-04-18,6.89181,HYBE
2023-04-19,5.89671,HYBE
2023-04-20,7.04288,HYBE
2023-04-21,5.32408,HYBE
2023-04-22,1.72149,HYBE
2023-04-23,1.85079,HYBE
2023-04-24,5.881,HYBE
2023-04-25,5.99481,HYBE
2023-04-26,6.07697,HYBE
2023-04-27,4.98041,HYBE
2023-04-28,5.41499,HYBE
2023-04-29,2.47281,HYBE
2023-04-30,2.13048,HYBE
2023-05-01,2.65485,HYBE
2023-05-02,9.09548,HYBE
2023-05-03,10.79766,HYBE
2023-05-04,7.00607,HYBE
2023-05-05,2.3792,HYBE
2023-05-06,2.21286,HYBE
2023-05-07,2.16999,HYBE
2023-05-08,6.52277,HYBE
2023-05-09,5.43452,HYBE
2023-05-10,5.12789,HYBE
2023-05-11,5.11554,HYBE
2023-05-12,5.16919,HYBE
2023-05-13,1.91858,HYBE
2023-05-14,1.76706,HYBE
2023-05-15,5.18827,HYBE
2023-05-16,6.19482,HYBE
2023-05-17,6.42311,HYBE
2023-05-18,5.38963,HYBE
2023-05-19,4.9106,HYBE
2023-05-20,1.58321,HYBE
2023-05-21,1.54999,HYBE
2023-05-22,6.96611,HYBE
2023-05-23,6.0754,HYBE
2023-05-24,5.64036,HYBE
2023-05-25,4.42641,HYBE
2023-05-26,4.08902,HYBE
2023-05-27,1.59938,HYBE
2023-05-28,2.1563,HYBE
2023-05-29,1.74035,HYBE
2023-05-30,4.72586,HYBE
2023-05-31,8.61779,HYBE
2023-06-01,6.51357,HYBE
2023-06-02,5.78021,HYBE
2023-06-03,1.9857,HYBE
