period,ratio,title
2023-01-01,9.8047,JYP
2023-01-02,11.63279,JYP
2023-01-03,11.41989,JYP
2023-01-04,11.24957,JYP
2023-01-05,10.1794,JYP
2023-01-06,9.67696,JYP
2023-01-07,6.00374,JYP
2023-01-08,6.03781,JYP
2023-01-09,10.61655,JYP
2023-01-10,10.35256,JYP
2023-01-11,10.07153,JYP
2023-01-12,9.95231,JYP
2023-01-13,10.48597,JYP
2023-01-14,5.84194,JYP
2023-01-15,5.02725,JYP
2023-01-16,9.28238,JYP
2023-01-17,9.27955,JYP
2023-01-18,9.27103,JYP
2023-01-19,11.22686,JYP
2023-01-20,10.54842,JYP
2023-01-21,5.37924,JYP
2023-01-22,5.27137,JYP
2023-01-23,5.79084,JYP
2023-01-24,5.86465,JYP
2023-01-25,11.51924,JYP
2023-01-26,12.47303,JYP
2023-01-27,16.86442,JYP
2023-01-28,7.00295,JYP
2023-01-29,6.36425,JYP
2023-01-30,11.76053,JYP
2023-01-31,13.79584,JYP
2023-02-01,11.29499,JYP
2023-02-02,11.72646,JYP
2023-02-03,12.71999,JYP
2023-02-04,6.28761,JYP
2023-02-05,5.99239,JYP
2023-02-06,11.92801,JYP
2023-02-07,13.29056,JYP
2023-02-08,12.84489,JYP
2023-02-09,13.29056,JYP
2023-02-10,36.30066,JYP
2023-02-11,11.27796,JYP
2023-02-12,8.13557,JYP
2023-02-13,16.05257,JYP
2023-02-14,15.98728,JYP
2023-02-15,15.56432,JYP
2023-02-16,14.97104,JYP
2023-02-17,13.69649,JYP
2023-02-18,7.08243,JYP
2023-02-19,6.73611,JYP
2023-02-20,14.1308,JYP
2023-02-21,11.24389,JYP
2023-02-22,20.99182,JYP
2023-02-23,14.43737,JYP
2023-02-24,12.14942,JYP
2023-02-25,5.52685,JYP
2023-02-26,5.0017,JYP
2023-02-27,11.83149,JYP
2023-02-28,14.66163,JYP
2023-03-01,6.22516,JYP
2023-03-02,11.98762,JYP
2023-03-03,12.37368,JYP
2023-03-04,6.09742,JYP
2023-03-05,6.31883,JYP
2023-03-06,11.87407,JYP
2023-03-07,16.64017,JYP
2023-03-08,19.05586,JYP
2023-03-09,13.03792,JYP
2023-03-10,12.60928,JYP
2023-03-11,6.75882,JYP
2023-03-12,6.052,JYP
2023-03-13,20.7477,JYP
2023-03-14,13.91222,JYP
2023-03-15,12.32826,JYP
2023-03-16,11.54763,JYP
2023-03-17,12.39638,JYP
2023-03-18,5.54956,JYP
2023-03-19,5.59498,JYP
2023-03-20,12.32542,JYP
2023-03-21,12.19484,JYP
2023-03-22,11.92233,JYP
2023-03-23,11.45963,JYP
2023-03-24,13.76178,JYP
2023-03-25,5.22595,JYP
2023-03-26,5.06415,JYP
2023-03-27,12.87895,JYP
2023-03-28,15.91347,JYP
2023-03-29,11.63846,JYP
2023-03-30,10.48597,JYP
2023-03-31,10.54275,JYP
2023-04-01,5.52117,JYP
2023-04-02,5.08118,JYP
2023-04-03,10.15669,JYP
2023-04-04,10.31565,JYP
2023-04-05,9.7167,JYP
2023-04-06,10.63642,JYP
2023-04-07,10.05166,JYP
2023-04-08,5.17486,JYP
2023-04-09,4.86828,JYP
2023-04-10,10.19359,JYP
2023-04-11,10.0034,JYP
2023-04-12,9.73941,JYP
2023-04-13,17.00635,JYP
2023-04-14,21.45168,JYP
2023-04-15,8.0788,JYP
2023-04-16,13.12592,JYP
2023-04-17,30.81923,JYP
2023-04-18,22.84262,JYP
2023-04-19,14.17054,JYP
2023-04-20,14.02577,JYP
2023-04-21,13.36153,JYP
2023-04-22,5.22027,JYP
2023-04-23,7.88009,JYP
2023-04-24,16.07811,JYP
2023-04-25,12.92153,JYP
2023-04-26,13.14579,JYP
2023-04-27,11.99897,JYP
2023-04-28,15.20097,JYP
2023-04-29,6.75882,JYP
2023-04-30,5.3395,JYP
2023-05-01,6.81276,JYP
2023-05-02,18.97922,JYP
2023-05-03,17.32428,JYP
2023-05-04,13.01237,JYP
2023-05-05,6.14284,JYP
2023-05-06,5.51833,JYP
2023-05-07,5.7511,JYP
2023-05-08,13.98319,JYP
2023-05-09,12.16645,JYP
2023-05-10,12.29419,JYP
2023-05-11,12.75689,JYP
2023-05-12,15.38548,JYP
2023-05-13,5.70568,JYP
2023-05-14,5.93278,JYP
2023-05-15,25.54218,JYP
2023-05-16,100.0,JYP
2023-05-17,59.94379,JYP
2023-05-18,34.05245,JYP
2023-05-19,23.58635,JYP
2023-05-20,7.72964,JYP
2023-05-21,7.565,JYP
2023-05-22,19.67469,JYP
2023-05-23,17.63086,JYP
2023-05-24,16.5692,JYP
2023-05-25,15.15555,JYP
2023-05-26,15.58419,JYP
2023-05-27,7.01146,JYP
2023-05-28,6.47212,JYP
2023-05-29,7.1534,JYP
2023-05-30,27.58033,JYP
2023-05-31,26.68048,JYP
2023-06-01,28.6874,JYP
2023-06-02,26.30577,JYP
2023-06-03,8.82536,JYP
2023-06-04,8.08447,JYP
