period,ratio,title
2023-01-01,1.6837,SM
2023-01-02,2.39784,SM
2023-01-03,2.24258,SM
2023-01-04,2.51012,SM
2023-01-05,2.11987,SM
2023-01-06,2.17037,SM
2023-01-07,1.0376,SM
2023-01-08,1.17241,SM
2023-01-09,2.95796,SM
2023-01-10,2.22338,SM
2023-01-11,2.50761,SM
2023-01-12,3.43044,SM
2023-01-13,3.02725,SM
2023-01-14,1.17075,SM
2023-01-15,1.52719,SM
2023-01-16,2.84694,SM
2023-01-17,2.42163,SM
2023-01-18,2.39659,SM
2023-01-19,2.76806,SM
2023-01-20,5.3412,SM
2023-01-21,1.71751,SM
2023-01-22,1.21833,SM
2023-01-23,1.29888,SM
2023-01-24,1.51508,SM
2023-01-25,4.19758,SM
2023-01-26,3.46717,SM
2023-01-27,3.15705,SM
2023-01-28,1.41074,SM
2023-01-29,1.31391,SM
2023-01-30,3.84615,SM
2023-01-31,3.67043,SM
2023-02-01,3.11824,SM
2023-02-02,3.42293,SM
2023-02-03,7.01865,SM
2023-02-04,1.8853,SM
2023-02-05,1.78805,SM
2023-02-06,5.66467,SM
2023-02-07,16.16678,SM
2023-02-08,15.9151,SM
2023-02-09,17.62302,SM
2023-02-10,100.0,SM
2023-02-11,17.97028,SM
2023-02-12,11.5564,SM
2023-02-13,35.61292,SM
2023-02-14,32.18498,SM
2023-02-15,41.23502,SM
2023-02-16,42.89452,SM
2023-02-17,34.01644,SM
2023-02-18,10.27004,SM
2023-02-19,7.91477,SM
2023-02-20,28.30961,SM
2023-02-21,19.67235,SM
2023-02-22,23.14787,SM
2023-02-23,18.05417,SM
2023-02-24,16.12629,SM
2023-02-25,5.8767,SM
2023-02-26,4.53232,SM
2023-02-27,17.42434,SM
2023-02-28,21.12024,SM
2023-03-01,7.59297,SM
2023-03-02,15.61041,SM
2023-03-03,23.81902,SM
2023-03-04,7.48153,SM
2023-03-05,6.43265,SM
2023-03-06,22.14533,SM
2023-03-07,66.28156,SM
2023-03-08,40.69285,SM
2023-03-09,24.29275,SM
2023-03-10,20.62147,SM
2023-03-11,12.4112,SM
2023-03-12,22.08355,SM
2023-03-13,56.95479,SM
2023-03-14,25.13502,SM
2023-03-15,17.05329,SM
2023-03-16,12.98092,SM
2023-03-17,10.64443,SM
2023-03-18,4.14165,SM
2023-03-19,3.84907,SM
2023-03-20,9.23243,SM
2023-03-21,7.96485,SM
2023-03-22,8.36846,SM
2023-03-23,8.60511,SM
2023-03-24,15.08284,SM
2023-03-25,5.52527,SM
2023-03-26,3.49889,SM
2023-03-27,18.3238,SM
2023-03-28,12.35485,SM
2023-03-29,7.27576,SM
2023-03-30,6.07329,SM
2023-03-31,7.04703,SM
2023-04-01,2.22964,SM
2023-04-02,1.84314,SM
2023-04-03,4.59075,SM
2023-04-04,4.19675,SM
2023-04-05,3.98639,SM
2023-04-06,5.30489,SM
2023-04-07,4.4046,SM
2023-04-08,1.51884,SM
2023-04-09,1.40364,SM
2023-04-10,3.61868,SM
2023-04-11,3.34863,SM
2023-04-12,3.15079,SM
2023-04-13,5.96435,SM
2023-04-14,4.61121,SM
2023-04-15,1.4675,SM
2023-04-16,1.50173,SM
2023-04-17,4.03439,SM
2023-04-18,4.51563,SM
2023-04-19,3.37576,SM
2023-04-20,3.06356,SM
2023-04-21,2.77974,SM
2023-04-22,1.10647,SM
2023-04-23,1.13819,SM
2023-04-24,3.28728,SM
2023-04-25,3.08902,SM
2023-04-26,3.4367,SM
2023-04-27,2.88158,SM
2023-04-28,2.63992,SM
2023-04-29,1.07725,SM
2023-04-30,1.03802,SM
