period,ratio,title
2023-01-02,28.28337,MAX
2023-01-03,25.36428,MAX
2023-01-04,24.90201,MAX
2023-01-05,25.53977,MAX
2023-01-06,23.80129,MAX
2023-01-07,5.61215,MAX
2023-01-08,4.94844,MAX
2023-01-09,29.83817,MAX
2023-01-10,24.65005,MAX
2023-01-11,24.01365,MAX
2023-01-12,25.62717,MAX
2023-01-13,25.67019,MAX
2023-01-14,6.2226,MAX
2023-01-15,5.65858,MAX
2023-01-16,24.67463,MAX
2023-01-17,22.44725,MAX
2023-01-18,22.11676,MAX
2023-01-19,20.21713,MAX
2023-01-20,18.25332,MAX
2023-01-21,4.27995,MAX
2023-01-22,3.72755,MAX
2023-01-23,4.28883,MAX
2023-01-24,5.04267,MAX
2023-01-25,25.00307,MAX
2023-01-26,23.78832,MAX
2023-01-27,24.98258,MAX
2023-01-28,5.9761,MAX
2023-01-29,5.24342,MAX
2023-01-30,23.70843,MAX
2023-01-31,22.43222,MAX
2023-02-01,38.42813,MAX
2023-02-02,31.14988,MAX
2023-02-03,25.71867,MAX
2023-02-04,5.39842,MAX
2023-02-05,4.83578,MAX
2023-02-06,23.29395,MAX
2023-02-07,22.84192,MAX
2023-02-08,23.8648,MAX
2023-02-09,22.27791,MAX
2023-02-10,22.66643,MAX
2023-02-11,4.67531,MAX
2023-02-12,4.51007,MAX
2023-02-13,22.74496,MAX
2023-02-14,22.7115,MAX
2023-02-15,27.67019,MAX
2023-02-16,26.04028,MAX
2023-02-17,23.91123,MAX
2023-02-18,6.00068,MAX
2023-02-19,5.27961,MAX
2023-02-20,26.09832,MAX
2023-02-21,26.56401,MAX
2023-02-22,32.24445,MAX
2023-02-23,27.3875,MAX
2023-02-24,25.67634,MAX
2023-02-25,5.37111,MAX
2023-02-26,5.19358,MAX
2023-02-27,26.63844,MAX
2023-02-28,26.97097,MAX
2023-03-01,7.54045,MAX
2023-03-02,29.89962,MAX
2023-03-03,68.91498,MAX
2023-03-04,14.30454,MAX
2023-03-05,9.17855,MAX
2023-03-06,42.05121,MAX
2023-03-07,47.23113,MAX
2023-03-08,40.01297,MAX
2023-03-09,35.57118,MAX
2023-03-10,27.80402,MAX
2023-03-11,6.12427,MAX
2023-03-12,5.55957,MAX
2023-03-13,29.25435,MAX
2023-03-14,28.39808,MAX
2023-03-15,27.99112,MAX
2023-03-16,26.986,MAX
2023-03-17,37.95083,MAX
2023-03-18,7.81836,MAX
2023-03-19,9.77739,MAX
2023-03-20,35.31375,MAX
2023-03-21,31.3677,MAX
2023-03-22,30.4848,MAX
2023-03-23,27.51314,MAX
2023-03-24,25.79993,MAX
2023-03-25,6.0157,MAX
2023-03-26,5.60737,MAX
2023-03-27,38.25059,MAX
2023-03-28,77.37521,MAX
2023-03-29,44.46227,MAX
2023-03-30,35.17173,MAX
2023-03-31,29.44895,MAX
2023-04-01,6.79071,MAX
2023-04-02,6.63229,MAX
2023-04-03,35.66131,MAX
2023-04-04,43.14305,MAX
2023-04-05,42.50938,MAX
2023-04-06,37.65926,MAX
2023-04-07,31.54523,MAX
2023-04-08,6.46841,MAX
2023-04-09,6.37282,MAX
2023-04-10,42.04506,MAX
2023-04-11,52.31751,MAX
2023-04-12,68.35506,MAX
2023-04-13,59.3636,MAX
2023-04-14,47.64834,MAX
2023-04-15,9.18197,MAX
2023-04-16,8.62205,MAX
2023-04-17,38.68897,MAX
2023-04-18,34.54626,MAX
2023-04-19,34.49573,MAX
2023-04-20,35.54455,MAX
2023-04-21,35.60259,MAX
2023-04-22,9.5029,MAX
2023-04-23,7.33356,MAX
2023-04-24,33.32058,MAX
2023-04-25,33.32946,MAX
2023-04-26,30.02458,MAX
2023-04-27,28.64936,MAX
2023-04-28,26.79685,MAX
2023-04-29,6.00477,MAX
2023-04-30,4.93615,MAX
2023-05-01,11.51314,MAX
2023-05-02,39.05291,MAX
2023-05-03,55.76715,MAX
2023-05-04,37.38545,MAX
2023-05-05,10.62615,MAX
2023-05-06,6.89177,MAX
2023-05-07,6.37828,MAX
2023-05-08,41.1171,MAX
2023-05-09,53.09798,MAX
2023-05-10,33.23864,MAX
2023-05-11,29.40184,MAX
2023-05-12,27.63741,MAX
2023-05-13,6.54216,MAX
2023-05-14,5.78012,MAX
2023-05-15,30.6398,MAX
2023-05-16,29.12188,MAX
2023-05-17,30.68419,MAX
2023-05-18,28.80778,MAX
2023-05-19,29.6736,MAX
2023-05-20,6.56469,MAX
2023-05-21,6.41993,MAX
2023-05-22,37.81768,MAX
2023-05-23,35.19699,MAX
2023-05-24,39.35268,MAX
2023-05-25,32.21987,MAX
2023-05-26,28.8426,MAX
2023-05-27,5.73369,MAX
2023-05-28,4.99214,MAX
2023-05-29,7.51041,MAX
2023-05-30,29.75145,MAX
2023-05-31,27.32741,MAX
2023-06-01,32.04711,MAX
2023-06-02,27.95629,MAX
2023-06-03,5.52406,MAX
2023-06-04,4.80846,MAX
2023-06-05,25.49061,MAX
