period,ratio,title
2023-01-01,100.0,MAX
2023-01-02,33.60273,MAX
2023-01-03,30.03414,MAX
2023-01-04,29.69834,MAX
2023-01-05,29.35116,MAX
2023-01-06,31.20091,MAX
2023-01-07,40.77973,MAX
2023-01-08,36.05008,MAX
2023-01-09,32.05463,MAX
2023-01-10,30.6659,MAX
2023-01-11,30.61468,MAX
2023-01-12,33.58565,MAX
2023-01-13,32.10017,MAX
2023-01-14,30.65452,MAX
2023-01-15,30.51792,MAX
2023-01-16,28.03642,MAX
2023-01-17,29.44223,MAX
2023-01-18,28.77063,MAX
2023-01-19,37.83153,MAX
2023-01-20,33.27262,MAX
2023-01-21,27.46158,MAX
2023-01-22,29.97723,MAX
2023-01-23,26.82982,MAX
2023-01-24,29.45361,MAX
2023-01-25,28.33807,MAX
2023-01-26,29.29425,MAX
2023-01-27,30.34149,MAX
2023-01-28,28.90722,MAX
2023-01-29,31.18952,MAX
2023-01-30,35.91918,MAX
2023-01-31,34.12635,MAX
2023-02-01,33.23847,MAX
2023-02-02,34.24587,MAX
2023-02-03,36.1696,MAX
2023-02-04,37.41605,MAX
2023-02-05,35.27034,MAX
2023-02-06,39.97154,MAX
2023-02-07,30.31872,MAX
2023-02-08,30.02845,MAX
2023-02-09,31.03016,MAX
2023-02-10,45.56061,MAX
2023-02-11,39.82925,MAX
2023-02-12,37.02333,MAX
2023-02-13,36.60785,MAX
2023-02-14,31.53101,MAX
2023-02-15,31.66192,MAX
2023-02-16,29.30563,MAX
2023-02-17,27.34206,MAX
2023-02-18,29.28856,MAX
2023-02-19,28.13318,MAX
2023-02-20,29.39669,MAX
2023-02-21,26.26067,MAX
2023-02-22,25.47524,MAX
2023-02-23,26.66476,MAX
2023-02-24,36.17529,MAX
2023-02-25,45.62891,MAX
2023-02-26,32.19123,MAX
2023-02-27,30.89926,MAX
2023-02-28,26.56232,MAX
2023-03-01,24.10358,MAX
2023-03-02,21.36027,MAX
2023-03-03,21.2066,MAX
2023-03-04,24.61013,MAX
2023-03-05,22.91405,MAX
2023-03-06,22.40182,MAX
2023-03-07,20.65452,MAX
2023-03-08,18.89584,MAX
2023-03-09,21.53671,MAX
2023-03-10,17.712,MAX
2023-03-11,19.47638,MAX
2023-03-12,19.81217,MAX
2023-03-13,19.03244,MAX
2023-03-14,17.66647,MAX
2023-03-15,18.7194,MAX
2023-03-16,17.5811,MAX
2023-03-17,17.67785,MAX
2023-03-18,18.6568,MAX
2023-03-19,18.95845,MAX
2023-03-20,17.48434,MAX
2023-03-21,17.66647,MAX
2023-03-22,17.49573,MAX
2023-03-23,19.02105,MAX
2023-03-24,18.24701,MAX
2023-03-25,18.72509,MAX
2023-03-26,19.83494,MAX
2023-03-27,21.20091,MAX
2023-03-28,18.36653,MAX
2023-03-29,16.64769,MAX
2023-03-30,17.74046,MAX
2023-03-31,16.55093,MAX
2023-04-01,16.20944,MAX
2023-04-02,16.91519,MAX
2023-04-03,16.20375,MAX
2023-04-04,17.70631,MAX
2023-04-05,16.72737,MAX
2023-04-06,17.05748,MAX
2023-04-07,17.177,MAX
2023-04-08,18.89015,MAX
2023-04-09,20.40978,MAX
2023-04-10,16.78998,MAX
2023-04-11,17.63232,MAX
2023-04-12,17.21684,MAX
2023-04-13,16.81274,MAX
2023-04-14,16.48833,MAX
2023-04-15,16.86397,MAX
2023-04-16,20.75128,MAX
2023-04-17,22.11724,MAX
2023-04-18,22.60102,MAX
2023-04-19,20.06829,MAX
2023-04-20,23.69379,MAX
2023-04-21,19.51622,MAX
2023-04-22,20.68867,MAX
2023-04-23,21.22936,MAX
2023-04-24,20.02276,MAX
2023-04-25,18.08195,MAX
2023-04-26,20.05691,MAX
2023-04-27,18.94706,MAX
2023-04-28,20.8025,MAX
2023-04-29,23.72225,MAX
2023-04-30,21.22936,MAX
2023-05-01,17.10301,MAX
2023-05-02,17.60956,MAX
2023-05-03,20.89926,MAX
2023-05-04,21.84405,MAX
2023-05-05,22.93682,MAX
