,Date,KOSPI,KOSDAQ
0,2023-01-02,2225.67,671.51
1,2023-01-03,2218.68,674.95
2,2023-01-04,2255.98,683.67
3,2023-01-05,2264.65,679.92
4,2023-01-06,2289.97,688.94
5,2023-01-09,2350.19,701.21
6,2023-01-10,2351.31,696.05
7,2023-01-11,2359.53,709.77
8,2023-01-12,2365.1,710.82
9,2023-01-13,2386.09,711.82
10,2023-01-16,2399.86,716.89
11,2023-01-17,2379.39,709.71
12,2023-01-18,2368.32,711.75
13,2023-01-19,2380.34,712.89
14,2023-01-20,2395.26,717.97
15,2023-01-23,,
16,2023-01-24,,
17,2023-01-25,2428.57,732.35
18,2023-01-26,2468.65,738.94
19,2023-01-27,2484.02,741.25
20,2023-01-30,2450.47,738.62
21,2023-01-31,2425.08,740.49
22,2023-02-01,2449.8,750.96
23,2023-02-02,2468.88,764.62
24,2023-02-03,2480.4,766.79
25,2023-02-06,2438.19,761.33
26,2023-02-07,2451.71,772.79
27,2023-02-08,2483.64,779.98
28,2023-02-09,2481.52,784.58
29,2023-02-10,2469.73,772.44
30,2023-02-13,2452.7,772.55
31,2023-02-14,2465.64,779.58
32,2023-02-15,2427.9,765.46
33,2023-02-16,2475.48,784.71
34,2023-02-17,2451.21,775.62
35,2023-02-20,2455.12,788.89
36,2023-02-21,2458.96,793.42
37,2023-02-22,2417.68,778.51
38,2023-02-23,2439.09,783.28
39,2023-02-24,2423.61,778.88
40,2023-02-27,2402.64,780.3
41,2023-02-28,2412.85,791.6
42,2023-03-01,,
43,2023-03-02,2427.85,787.19
44,2023-03-03,2432.07,802.42
45,2023-03-06,2462.62,816.51
46,2023-03-07,2463.35,815.76
47,2023-03-08,2431.91,813.95
48,2023-03-09,2419.09,809.22
49,2023-03-10,2394.59,788.6
50,2023-03-13,2410.6,788.89
51,2023-03-14,2348.97,758.05
52,2023-03-15,2379.72,781.17
53,2023-03-16,2377.91,781.98
54,2023-03-17,2395.69,797.39
55,2023-03-20,2379.2,802.2
56,2023-03-21,2388.35,802.53
57,2023-03-22,2416.96,813.43
58,2023-03-23,2424.48,812.19
59,2023-03-24,2414.96,824.11
60,2023-03-27,2409.22,827.69
61,2023-03-28,2434.94,833.51
62,2023-03-29,2443.92,843.94
63,2023-03-30,2453.16,850.48
64,2023-03-31,2476.86,847.52
65,2023-04-03,2472.34,854.96
66,2023-04-04,2480.51,857.18
67,2023-04-05,2495.21,872.36
68,2023-04-06,2459.23,865.58
69,2023-04-07,2490.41,880.07
70,2023-04-10,2512.08,887.78
71,2023-04-11,2547.86,898.94
72,2023-04-12,2550.64,890.62
73,2023-04-13,2561.66,894.25
74,2023-04-14,2571.49,903.84
75,2023-04-17,2575.91,909.5
76,2023-04-18,2571.09,909.02
77,2023-04-19,2575.08,909.2
78,2023-04-20,2563.11,885.71
79,2023-04-21,2544.4,868.82
80,2023-04-24,2523.5,855.23
81,2023-04-25,2489.02,838.71
82,2023-04-26,2484.83,830.44
83,2023-04-27,2495.81,850.21
84,2023-04-28,2501.53,842.83
85,2023-05-02,2524.389893,855.609985
86,2023-05-03,2501.399902,843.179993
87,2023-05-04,2500.939941,845.059998
88,2023-05-08,2513.209961,842.280029
89,2023-05-09,2510.060059,835.849976
90,2023-05-10,2496.51001,829.73999
91,2023-05-11,2491.0,824.539978
92,2023-05-12,2475.419922,822.429993
93,2023-05-15,2479.350098,814.530029
94,2023-05-16,2480.23999,816.75
95,2023-05-17,2494.659912,834.190002
96,2023-05-18,2515.399902,835.890015
97,2023-05-19,2537.790039,841.719971
98,2023-05-22,2557.080078,852.039978
99,2023-05-23,2567.550049,859.159973
100,2023-05-24,2567.449951,855.460022
101,2023-05-25,2554.689941,847.719971
102,2023-05-26,2558.810059,843.22998
103,2023-05-30,2585.52002,851.5
104,2023-05-31,2577.120117,856.940002
105,2023-06-01,2569.169922,863.780029
106,2023-06-02,2601.360107,868.059998
107,2023-06-05,2615.409912,870.280029
108,2023-06-07,2615.600098,880.719971
109,2023-06-08,2610.850098,876.130005
110,2023-06-09,2641.159912,883.710022
111,2023-06-12,2629.350098,885.76001
112,2023-06-13,2637.949951,896.809998
113,2023-06-14,2619.080078,871.830017
114,2023-06-15,2608.540039,878.039978
115,2023-06-16,2625.790039,887.950012
116,2023-06-19,2609.5,888.609985
117,2023-06-20,2604.909912,886.409973
118,2023-06-21,2582.629883,875.700012
119,2023-06-22,2593.699951,876.380005
120,2023-06-23,2570.100098,874.840027
121,2023-06-26,2582.199951,879.5
122,2023-06-27,2581.389893,874.140015
123,2023-06-28,2564.189941,866.969971
124,2023-06-29,2550.02002,861.789978
125,2023-06-30,2564.280029,868.23999
