Date,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI
2023-01-02,77300,78000,73300,75200,425582,-0.019556714471968717,1117.1606758258858,2197.145018714872,81365.44,81520.87235553621,78540.0,75559.12764446379,23.317853457172337,34.00339485808703,-4.930467762326174,5768696.0,-638373000.0
2023-01-03,74900,78400,74700,77200,462240,0.02659574468085113,998.0046221249213,1957.316939396882,80881.5136,81056.2428358457,78330.0,75603.7571641543,33.71001031991744,30.855622663215403,-0.7712082262210762,6230936.0,924480000.0
2023-01-04,77200,77400,74200,75200,337977,-0.025906735751295318,733.7313080045133,1712.5998131184083,80426.622784,81143.37020626408,78130.0,75116.62979373592,30.19607843137254,29.074647402820762,-3.589743589743588,5892959.0,-675954000.0
2023-01-05,75600,76900,73600,74400,297806,-0.010638297872340385,454.5002920069819,1460.979908896123,79999.02541696001,81266.92167513551,77890.0,74513.07832486449,27.058823529411757,30.32163742690057,-8.374384236453203,5595153.0,-238244800.0
2023-01-06,74000,74400,71700,73900,441861,-0.006720430107526876,190.6640225843439,1206.9167316337673,79597.08389194241,81481.98564653595,77685.0,73888.01435346405,19.025431954960197,25.426777971914827,-5.859872611464967,5153292.0,-220930500.0
2023-01-09,75100,78000,75000,76300,429310,0.03247631935047357,173.23487676792138,1000.1803606605981,78965.31718058702,81342.36074233451,77550.0,73757.63925766549,26.755969714618516,24.280075066330152,-2.179487179487183,5582602.0,1030344000.0
2023-01-10,75900,76500,74300,74600,305640,-0.022280471821756187,21.9928408517153,804.5428566988215,78384.09180614006,81209.69229555358,77310.0,73410.30770444642,33.814793244030284,26.532064971202995,-6.516290726817042,5276962.0,-519588000.0
2023-01-11,75400,77000,74200,77000,417695,0.03217158176943702,94.70072905581037,662.5744311702193,78000.0,81060.62494914564,77220.0,73379.37505085436,47.338380896913215,35.96971461852067,-0.12970168612191912,5694657.0,1002468000.0
2023-01-12,79600,80800,76300,77700,850735,0.009090909090909038,206.42684398431447,571.3449137330383,71700.0,80900.99986670222,77150.0,73399.00013329778,54.13488472312002,45.09601962135451,-1.7699115044247815,6545392.0,595514500.0
2023-01-13,77500,78000,74900,75500,509649,-0.028314028314028294,116.11053124757018,480.29803723594466,71882.0,80839.87844746714,77035.0,73230.12155253286,56.681749622926084,52.71833841431977,-4.791929382093318,6035743.0,-1121227800.0
2023-01-16,76200,76300,74000,74500,395986,-0.013245033112582738,-35.74538934387965,377.0893519199798,72060.36,80791.10671439991,76860.0,72928.89328560009,46.15384615384615,52.32349349996409,-1.9736842105263164,5639757.0,-395986000.0
2023-01-17,74200,74800,73000,73400,322259,-0.014765100671140896,-242.06275858967274,253.25892981804927,72235.1528,80140.47680826347,76470.0,72799.52319173653,30.402930402930405,44.412842059900875,-4.30247718383312,5317498.0,-354484900.0
2023-01-18,73500,74400,72900,74100,277235,0.0095367847411445,-345.108415308292,133.585460792781,72406.449744,79934.8337818686,76250.0,72565.1662181314,25.274725274725274,33.943833943833944,-1.46276595744681,5594733.0,194064500.0
2023-01-19,73700,77100,73300,76800,631496,0.036437246963562764,-206.52471712135593,65.5634252099536,72574.32074912,79797.1595473447,76190.0,72582.8404526553,33.6996336996337,29.79242979242979,-0.5181347150259086,6226229.0,1705039200.0
2023-01-20,77000,84500,76500,83100,1784248,0.08203125,406.96991498660645,133.84472316528417,72738.8343341376,80809.87373558444,76355.0,71900.12626441556,57.160027472527474,38.71146214896215,10.505319148936177,8010477.0,11240762400.0
2023-01-25,84100,84600,80100,80600,987947,-0.030084235860409092,683.5600693163578,243.7877923954989,73209.2809607721,81348.33996309932,76530.0,71711.66003690068,71.36623470199052,54.07529862471723,8.333333333333325,7022530.0,-2469867500.0
2023-01-26,80800,81700,79500,80300,506709,-0.003722084367245637,868.540274910134,368.73828889842594,73892.72410312577,81562.28317777658,76590.0,71617.71682222342,74.90713824289406,67.81113347247069,8.660351826792967,6515821.0,-152012700.0
2023-01-27,80600,83000,80400,82500,589600,0.027397260273972712,1179.0684670430346,530.8043245273477,74535.16065693823,82239.80873983784,76750.0,71260.19126016216,73.12661498708012,73.1333293106549,8.125819134993439,7105421.0,1297120000.0
2023-01-30,82900,86300,82400,84700,839077,0.026666666666666616,1584.4216834771505,741.5277963173082,75139.05101752194,83658.7238124591,77185.0,70711.2761875409,79.48243279725405,75.83872867574274,13.538873994638067,7944498.0,1845969400.0
2023-01-31,84100,88700,83300,88000,714377,0.03896103896103886,2147.1978879941744,1022.6618146526814,76031.92693612019,85748.62488181563,77750.0,69751.37511818437,89.11675065942,80.57526614791806,14.28571428571428,8658875.0,2357444100.0
