title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
[INSIDE SEVENTEEN] 조슈아&민규 코스모폴리탄 화보 촬영 비하인드 (COSMOPOLITAN Photoshoot Sketch with JOSHUA & MINGYU),0WjuYLEiakM,2023-06-30 00:00:00,10,204992,23479,-,625,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,6,19
[INSIDE SEVENTEEN] 승관&디노 앳스타일 화보 촬영 비하인드 (SEUNGKWAN & DINO's At Star 1 Photoshoot Sketch),bJiF2ziPiy4,2023-06-29 00:00:00,10,143993,18622,-,555,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,4,56
#꼬잉_픽📌 싱글벙글 세븐틴이 차 안에서 시간을 보내는 방법😄 #shorts,GnXJgrb3pp4,2023-06-29 00:00:00,10,130889,21304,-,74,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,1
[GOING SEVENTEEN] EP.82 셉셉투어 : 팔랑귀 여행 (TOUR SEV SEV : Gullibles’ Travels),cawv7OuaDY8,2023-06-28 00:00:00,10,2518276,161468,-,3881,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,30,52
아득히 멀리 끝나지 않는 베텔게우스 #DK #ベテルギウス #Betelgeuse #shorts,17kew56z5Ok,2023-06-26 00:00:00,10,377595,77256,-,728,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,22
[COVER] 도겸 - ベテルギウス (Betelgeuse) (원곡 : 優里),v9lZPRg71Tk,2023-06-26 00:00:00,10,6696324,313392,-,16095,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,2,49
[INSIDE SEVENTEEN] SEVENTEEN (세븐틴) ‘출장십오야2’ 촬영 비하인드 (The Game Caterers Shoot Sketch),QbpzhHv7OdM,2023-06-23 00:00:00,10,805346,59340,-,884,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,12,11
#꼬잉_픽📌 영상에 도보가 몇 번 나오는지 맞혀보세요 #shorts,bqrkZROqnzM,2023-06-23 00:00:00,10,395315,36009,-,207,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,1
[GOING SEVENTEEN] EP.81 셉셉투어 #1 (TOUR SEV SEV #1),xgDMfMt7kDs,2023-06-22 00:00:00,10,3004107,165375,-,4083,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,31,14
[INSIDE SEVENTEEN] 호시&우지&버논 보그 코리아 촬영 비하인드 (VOGUE Photoshoot Sketch with HOSHI & VERNON & WOOZI),eSsBF-_bzx4,2023-06-20 00:00:00,10,180814,20658,-,480,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,4,8
머리부터 발끝까지 너를 안고싶어 #HOSHI #STAY #shorts,6UjT5XBOd30,2023-06-15 00:00:00,10,248149,50254,-,521,-,-,-,26
호시 (HOSHI) - STAY,RyJlZy3SU6k,2023-06-15 00:00:00,10,3370871,329521,-,18234,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,2,47
#꼬잉_픽📌 25살 디노가 17살의 디노에게... #shorts,VlGRl1kH8Ms,2023-06-15 00:00:00,10,185880,26187,-,164,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,49
[GOING SEVENTEEN] EP.80 GOING Vol.2 #2,4Uq-0iwL-PQ,2023-06-14 00:00:00,10,1997283,147641,-,3970,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,29,52
[INSIDE SEVENTEEN] 'MTV Fresh Out' BEHIND,y8Bv1TlqRrQ,2023-06-13 00:00:00,10,391077,36944,-,616,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,6,37
[SVT Record] 겸이의 밀라노 밤 산책 | 열정 가득 포토타임 | 패션위크 소감 #21,Fr7ww6owP2w,2023-06-11 00:00:00,10,298665,33774,-,1084,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,11,29
드디어 찾아갔습니다#MINGYU with #BTS #정국 #JungKook#SEVENTEEN #세븐틴 #손오공 #Super #SVT_Super #손오공챌린지 #shorts,SgRbzaOQfGs,2023-06-09 00:00:00,10,2244360,259344,-,5292,-,-,-,37
[INSIDE SEVENTEEN] 우지 로맨틱크라운 촬영 비하인드 (WOOZI ROMANTIC CROWN Commercial Shoot Sketch),uC2ZB5FyHUY,2023-06-08 00:00:00,10,112377,14486,-,451,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,5,11
#꼬잉_픽📌 😇난 내가 정상 같아 🍊어..?!😨 #shorts,E6wRrYKkjNE,2023-06-08 00:00:00,10,167924,26602,-,170,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,54
