title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
[BEHIND] 첫 솔로 콘서트의 추억을 사진으로 남기는 원필📸 @ 2022 SOLO CONCERT 'Pilmography',ksPb6a1S9FM,2023-06-30 00:00:00,22,7728,1383,-,28,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|원필 콘서트|원필 Pilmography,-,-,59
[LIVE CAM] 원필 - 언젠가 봄은 찾아올 거야 @ 2022 SOLO CONCERT 'Pilmography',ITvERICCL4U,2023-06-30 00:00:00,22,7106,1630,-,30,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|원필 콘서트|원필 언젠가 봄은 찾아올 거야,-,-,58
[LIVE CAM] 230625 Young K - 한 페이지가 될 수 있게 @ 서울파크뮤직페스티벌 2023,CQ_KY23P1BQ,2023-06-29 00:00:00,22,89212,7453,-,57,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|영케이 파크뮤직페스티벌|파크뮤직페스티벌|영케이 직캠|한 페이지가 될 수 있게|영케이 한 페이지가 될 수 있게,-,-,1
[LIVE CAM] 230625 Young K - 행운을 빌어 줘 @ 서울파크뮤직페스티벌 2023,VulgoKhPU-k,2023-06-29 00:00:00,22,41190,3419,-,114,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|영케이 파크뮤직페스티벌|파크뮤직페스티벌|행운을 빌어 줘|영케이 행운을 빌어 줘|영케이 직캠,-,3,49
[LIVE CAM] 230623 Young K - Natural (미공개 곡/Demo ver.) @ 서울파크뮤직페스티벌 2023 리허설,dujDrIB6oxg,2023-06-29 00:00:00,22,38523,4858,-,78,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|영케이 파크뮤직페스티벌|파크뮤직페스티벌|영케이 Natural|영케이 직캠,-,-,56
[LIVE CAM] 230623 Young K - Best Part @ 서울파크뮤직페스티벌 2023 리허설,yXV_iWSkx-s,2023-06-29 00:00:00,22,27607,3728,-,186,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Best Part|영케이 Best Part|영케이 파크뮤직페스티벌|파크뮤직페스티벌,-,3,53
[LIVE CAM] Young K - 낭만고양이 (HUP 노래방 ver.),n7r9tVpNkaM,2023-06-28 00:00:00,22,11867,2109,-,39,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|HUP 노래방|HUP!|낭만고양이|영케이 낭만고양이,-,-,1
[LIVE CAM] Young K - 여행 (HUP 노래방 ver.),UL2sYxb-WZ0,2023-06-27 00:00:00,22,11437,2471,-,30,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|HUP 노래방|HUP!|영케이 여행,-,-,1
"[LIVE CAM] 드러머 도운이 부르는 ""Let It Snow""❄️ @ 2019 Christmas Special Concert 'The Present'",WCztIM9iH_Y,2023-06-23 00:00:00,22,19380,3654,-,78,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운,-,-,50
[LIVE CAM] 원필 - 한 페이지가 될 수 있게  @ 2022 SOLO CONCERT 'Pilmography',6fWdbk0xDd4,2023-06-22 00:00:00,22,19240,3022,-,42,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운,-,-,1
[LIVE CAM] 원필 - 소설 속의 작가가 되어 (리허설 ver.) @ 2022 SOLO CONCERT 'Pilmography',1yAtxD56whQ,2023-06-21 00:00:00,22,16832,3553,-,87,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운,-,-,40
