title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
[WINNER BROTHERS] 백패킹 하면 위험한 이유🫣 | HIGHLIGHT CLIP,UwIu2EXGmmQ,2023-06-30 00:00:00,10,10362,1200,-,35,-,-,-,59
[WINNER BROTHERS] SPECIAL EPISODE 백패킹의 세계로⛺️ | WINNER's Backpacking,7O2dlrNmBWQ,2023-06-27 00:00:00,10,78339,5815,-,391,YG Entertainment|YG|와이지|K-pop|WINNER|위너|강승윤|김진우|이승훈|송민호|YOON|JINU|HOONY|MINO|INNER CIRCLE|이너서클|홀리데이|HOLIDAY|ILOVEU|I LOVE U|위너아이러브유|위너 아이러브유|위너 미니4집|WINNER HOLIDAY|WINNER I LOVE U|위너 HOLIDAY|위너 홀리데이,-,20,43
[WINNER BROTHERS] 가슴에 국밥 쏟는 위너의 10년차 우정🥹 | HIGHLIGHT CLIP,qbEfsvEriKw,2023-06-23 00:00:00,10,22674,1765,-,26,-,-,-,59
위너브라더스 막방🥳 #WINNER_BROTHERS,GrS9o6w3MnY,2023-06-22 00:00:00,10,15977,1989,-,36,-,-,-,6
[WINNER BROTHERS] 엔딩 맛집 위너 브라더스 | SPECIAL CLIP,f2qwTCYPnzQ,2023-06-22 00:00:00,10,6120,1124,-,33,-,-,-,25
[WINNER BROTHERS] 박인서에게 보내는 영상 편지 | SPECIAL CLIP,9iLBICk4rqM,2023-06-21 00:00:00,10,5864,1234,-,30,-,-,-,47
[WINNER BROTHERS] EP.10 위심동체🍀 #2 | WE 4RE WINNER #2,Idg_fyzgT2E,2023-06-20 00:00:00,10,34008,3808,-,390,YG Entertainment|YG|와이지|K-pop|WINNER|위너|강승윤|김진우|이승훈|송민호|YOON|JINU|HOONY|MINO|INNER CIRCLE|이너서클|홀리데이|HOLIDAY|ILOVEU|I LOVE U|위너아이러브유|위너 아이러브유|위너 미니4집|WINNER HOLIDAY|WINNER I LOVE U|위너 HOLIDAY|위너 홀리데이,-,-,16
[WINNER BROTHERS] 여름철 희대의 난제🤦‍♂️ | HIGHLIGHT CLIP,mC1A_qjc7cA,2023-06-16 00:00:00,10,8775,1113,-,19,-,-,-,30
‘I LOVE U’ 누가 불렀을까요?💙🎙️ #WINNER_BROTHERS,j-yPY9HEbPg,2023-06-15 00:00:00,10,89576,4268,-,213,-,-,-,13
[WINNER BROTHERS] EP.9 위심동체🍀 #1 | WE 4RE WINNER #1,ZTjn48mB0mg,2023-06-13 00:00:00,10,40626,4260,-,277,YG Entertainment|YG|와이지|K-pop|WINNER|위너|강승윤|김진우|이승훈|송민호|YOON|JINU|HOONY|MINO|INNER CIRCLE|이너서클|홀리데이|HOLIDAY|ILOVEU|I LOVE U|위너아이러브유|위너 아이러브유|위너 미니4집|WINNER HOLIDAY|WINNER I LOVE U|위너 HOLIDAY|위너 홀리데이,-,14,45
[WINNER BROTHERS] 제철 위너 김진우 예능 폼 미쳤다🔥 | HIGHLIGHT CLIP,BGf0Uk3H-dU,2023-06-02 00:00:00,10,11608,1299,-,22,-,-,-,52
[WINNER BROTHERS] 본격 희로애락 브라더스 | SPECIAL CLIP,jx-B4DShR44,2023-05-31 00:00:00,10,5897,1212,-,18,-,-,-,19
[WINNER BROTHERS] EP.8 부루마불로 세계일주🎲 | World Tour with Blue Marble game,T8aIJWzCDKY,2023-05-30 00:00:00,10,44872,4519,-,336,YG Entertainment|YG|와이지|K-pop|WINNER|위너|강승윤|김진우|이승훈|송민호|YOON|JINU|HOONY|MINO|INNER CIRCLE|이너서클|홀리데이|HOLIDAY|ILOVEU|I LOVE U|위너아이러브유|위너 아이러브유|위너 미니4집|WINNER HOLIDAY|WINNER I LOVE U|위너 HOLIDAY|위너 홀리데이,-,20,1
[WINNER BROTHERS] 무대를 뒤집어 놓은 위너 댄스 신고식🤸‍♂️ | HIGHLIGHT CLIP,Bxc0yp8w12g,2023-05-26 00:00:00,10,12991,1450,-,28,-,-,-,59
[WINNER BROTHERS] 네잎 클로버 (Retro ver.) | SPECIAL CLIP,k9aCwH13_Is,2023-05-24 00:00:00,10,17679,2118,-,52,-,-,-,1
[WINNER BROTHERS] EP.7 옛능의 위너🎙 | Tray Noraebang,16QVwpgphI4,2023-05-23 00:00:00,10,65879,6283,-,420,YG Entertainment|YG|와이지|K-pop|WINNER|위너|강승윤|김진우|이승훈|송민호|YOON|JINU|HOONY|MINO|INNER CIRCLE|이너서클|홀리데이|HOLIDAY|ILOVEU|I LOVE U|위너아이러브유|위너 아이러브유|위너 미니4집|WINNER HOLIDAY|WINNER I LOVE U|위너 HOLIDAY|위너 홀리데이,-,18,27
[WINNER BROTHERS] 업보빔 맞은 송민호⚡(feat. 입조심) | HIGHLIGHT,AQx1_9JxpsQ,2023-05-19 00:00:00,10,47385,3343,-,34,-,-,-,52
[WINNER BROTHERS] 스‘위트’ 애교 모음.zip | SPECIAL CLIP,Un0MgMAK6ls,2023-05-17 00:00:00,10,14292,3032,-,54,-,-,-,26
[WINNER BROTHERS] EP.6 위트 있는 브라더스✨ #2 | WITTY BROTHERS #2,CwSVYKjaPOE,2023-05-16 00:00:00,10,520662,53038,-,1562,YG Entertainment|YG|와이지|K-pop|WINNER|위너|강승윤|김진우|이승훈|송민호|YOON|JINU|HOONY|MINO|INNER CIRCLE|이너서클|홀리데이|HOLIDAY|ILOVEU|I LOVE U|위너아이러브유|위너 아이러브유|위너 미니4집|WINNER HOLIDAY|WINNER I LOVE U|위너 HOLIDAY|위너 홀리데이,-,19,10
[WINNER BROTHERS] YG 후배 아이돌 애교로 기강 잡기❤️‍🔥 | HIGHLIGHT CLIP,JBGfFpiTomA,2023-05-12 00:00:00,10,47430,4045,-,42,-,-,-,59
위너X트레저 밸런스 게임 2️⃣ #WINNER_BROTHERS,5aiSP-XI4uw,2023-05-11 00:00:00,10,98818,6268,-,79,-,-,-,58
