title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
TXT (투모로우바이투게더) 'Sugar Rush Ride [Japanese Ver.]' Official MV,frooLFFYVbI,2023-06-27 00:00:00,10,3328512,318547,-,21813,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,54
&TEAM 'FIREWORK (Korean ver.)' Official Performance MV,c7Y910enny8,2023-06-20 00:00:00,10,905936,58795,-,2478,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,17
ENHYPEN (엔하이픈) 'Sacrifice (Eat Me Up)' Official MV (Performance ver.),chPTtlYioBc,2023-06-20 00:00:00,10,2099212,188576,-,3143,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,25
BOYNEXTDOOR (보이넥스트도어) 'Serenade' Official MV (Performance ver.),BpTrxXJ6pTg,2023-06-20 00:00:00,10,446743,39957,-,926,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,22
&TEAM 'FIREWORK' Official MV (MAKI),3Q6kJTKCrp4,2023-06-13 00:00:00,10,75514,11753,-,88,-,-,-,15
&TEAM 'FIREWORK' Official MV (TAKI),J5cMY2cKje4,2023-06-13 00:00:00,10,60007,11433,-,193,-,-,-,15
&TEAM 'FIREWORK' Official MV (HARUA),YQvSDvWRag8,2023-06-13 00:00:00,10,50860,10858,-,91,-,-,-,15
&TEAM 'FIREWORK' Official MV (JO),I-FwazZnCP4,2023-06-13 00:00:00,10,37112,9113,-,64,-,-,-,15
&TEAM 'FIREWORK' Official MV (YUMA),E8umUj_DgNQ,2023-06-13 00:00:00,10,43268,9745,-,87,-,-,-,15
&TEAM 'FIREWORK' Official MV (NICHOLAS),dl9PCrNZ4Jo,2023-06-13 00:00:00,10,118961,15758,-,122,-,-,-,15
&TEAM 'FIREWORK' Official MV (K),DVs4Y0QVDD4,2023-06-13 00:00:00,10,70230,12661,-,200,-,-,-,15
&TEAM 'FIREWORK' Official MV (FUMA),JDSRsuCBRXY,2023-06-13 00:00:00,10,41882,9910,-,108,-,-,-,15
&TEAM 'FIREWORK' Official MV (EJ),2iXw_NdmSWw,2023-06-13 00:00:00,10,45648,10556,-,107,-,-,-,15
&TEAM 'FIREWORK' Official MV,dg4ToiMb14I,2023-06-13 00:00:00,10,112604,19039,-,103,-,-,-,36
&TEAM 'FIREWORK' Official MV,uY-lOn0XwBg,2023-06-13 00:00:00,10,5166661,172093,-,15295,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,4,31
&TEAM 'FIREWORK' Official MV Teaser 2,6HnefXyxTRk,2023-06-12 00:00:00,10,274521,31378,-,1344,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,27
&TEAM 'FIREWORK' Official MV Teaser 1-3,61vjS9J3P1w,2023-06-10 00:00:00,10,197641,23070,-,826,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,1,3
&TEAM 'FIREWORK' Official MV Teaser 1-2,meEVOi2Jpx8,2023-06-10 00:00:00,10,189575,23721,-,926,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,1,7
&TEAM 'FIREWORK' Official MV Teaser 1-1,0w8LFuSIgKM,2023-06-10 00:00:00,10,208904,25827,-,1070,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,1,5
BOYNEXTDOOR (보이넥스트도어) '돌아버리겠다' Official MV (Performance ver.),B7XHxeq9Jqo,2023-06-10 00:00:00,10,620075,46422,-,914,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,2,32
#ENHYPEN 'Sacrifice (Eat Me Up)' Official MV,A_r1YPQgn6w,2023-06-07 00:00:00,10,274342,61276,-,445,-,-,-,31
ENHYPEN (엔하이픈) 'Sacrifice (Eat Me Up)' Official MV,HROTJfbtcU4,2023-06-07 00:00:00,10,12828968,682561,-,34129,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,42
fromis_9 (프로미스나인) '#menow' Official MV,DZBl8Y0o5z4,2023-06-05 00:00:00,10,118082,16572,-,160,-,-,-,42
fromis_9 (프로미스나인) '#menow' Official MV,QrYIOjs7K8E,2023-06-05 00:00:00,10,17808548,201170,-,17023,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,4,1
BOYNEXTDOOR (보이넥스트도어) 'One and Only' Official MV (Performance ver.),R2VY8qyLmQI,2023-06-03 00:00:00,10,732299,59376,-,1240,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,1
BOYNEXTDOOR (보이넥스트도어) 'Serenade' Official MV,h2yPUdX-RcU,2023-06-01 00:00:00,10,163437,30034,-,157,-,-,-,29
BOYNEXTDOOR (보이넥스트도어) 'Serenade' Official MV,Uyq9OE8lIz8,2023-05-30 00:00:00,10,11845659,214507,-,7851,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,34
BOYNEXTDOOR (보이넥스트도어) 'One and Only' Official MV,TcAJfGaO6Xo,2023-05-25 00:00:00,10,969930,112927,-,362,-,-,-,24
BOYNEXTDOOR (보이넥스트도어) 'One and Only' Official MV,jizAb-SLvtM,2023-05-25 00:00:00,10,23876961,317977,-,11414,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,1
BOYNEXTDOOR (보이넥스트도어) '돌아버리겠다' Official MV,6R0WT0nI7Ao,2023-05-22 00:00:00,10,413923,47257,-,233,-,-,-,21
BOYNEXTDOOR (보이넥스트도어) '돌아버리겠다' Official MV,_ItgMr1bMYc,2023-05-22 00:00:00,10,11971643,272962,-,10617,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,2,30
ENHYPEN (엔하이픈) 'Bite Me' Official MV,wXFLzODIdUI,2023-05-22 00:00:00,10,64132035,2130767,-,212007,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,9
MIDNATT 'Masquerade' Official MV (Available in 6 languages ENG/KR/JP/CH/ES/VN),l19AEmRvh-Y,2023-05-15 00:00:00,10,899600,78448,-,4565,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,58
MIDNATT 'Masquerade' MV Official Teaser 2,GQOg2_LxP-4,2023-05-13 00:00:00,10,370819,31757,-,1209,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,27
MIDNATT 'Masquerade' MV Official Teaser 1,O03-Jucd47k,2023-05-12 00:00:00,10,430291,33451,-,1050,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,27
SEVENTEEN (세븐틴) 'F*ck My Life' Official MV,9kpuOoIh3wU,2023-05-07 00:00:00,10,27680200,728177,-,30541,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,39
Agust D 'AMYGDALA' Official MV,IX1dkYoLHVs,2023-04-24 00:00:00,10,10361098,1964195,-,124440,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,4,21
SEVENTEEN (세븐틴) '손오공' Official MV,-GQg25oP0S4,2023-04-24 00:00:00,10,129817990,2416355,-,224055,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,33
