title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
"Young K ""Better Day"" M/V",Ufz08e09ZAY,2023-06-23 00:00:00,10,229095,27741,-,1615,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|영케이 솔로|Young K 솔로|Better Day|Young K Better Day|SONGS THAT CARE|SONGS THAT CARE : Better Day|JYP EDM,-,3,20
"Stray Kids ""특(S-Class)"" M/V",JsOOis4bBFg,2023-06-02 00:00:00,10,120523051,2797641,-,927300,JYP Entertainment|JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|이민호|LEE KNOW|MINHO|LEEMINHO|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|스트레이 키즈 컴백|스키즈 컴백|skz comeback|5STAR|Stray Kids 5STAR|SKZ 5STAR|스트레이 키즈 5star|스키즈 5star|특 뮤비 티저|스키즈 특|skz s-class|s-class music video|특 뮤직비디오|특 뮤비|스키즈 뮤비|스키즈 뮤직비디오|스트레이키즈 특|stray kids music video,-,3,31
"Stray Kids ""특(S-Class) (SKZOO ver.)"" M/V Teaser",6ggV_YgYsDI,2023-06-01 00:00:00,10,2231881,330805,-,9021,JYP Entertainment|JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|이민호|LEE KNOW|MINHO|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|스트레이 키즈 컴백|스키즈 컴백|skz comeback|skz teaser|skz mv teaser|5STAR|Stray Kids 5STAR|SKZ 5STAR|스트레이 키즈 5star|스키즈 5star|s-class teaser|특 티저|스키즈 특|skz s-class|stray kids skzoo|s-class skzoo|스키주 특|스키주 5star|skzoo 5star,-,-,33
"Stray Kids ""특(S-Class)"" M/V Teaser 2",9_nu3bnLs3Y,2023-05-29 00:00:00,10,2937298,412451,-,17420,JYP Entertainment|JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|이민호|LEE KNOW|MINHO|LEEMINHO|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|스트레이 키즈 컴백|스키즈 컴백|skz comeback|skz teaser|skz mv teaser|5STAR|Stray Kids 5STAR|SKZ 5STAR|스트레이 키즈 5star|스키즈 5star|s-class teaser|특 티저|s-class mv teaser|특 뮤비 티저|스키즈 특|skz s-class|특 안무|s-class choreography,-,-,37
"Stray Kids ""특(S-Class)"" M/V Teaser 1",GiPoIfB6Tsg,2023-05-28 00:00:00,10,2310648,418044,-,17405,JYP Entertainment|JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|이민호|LEE KNOW|MINHO|LEEMINHO|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|지성|한지성|HAN|JISUNG|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|정인|I.N|YANGJEONGIN|JEONGIN|stray kids comeback|스트레이 키즈 컴백|스키즈 컴백|skz comeback|skz teaser|skz mv teaser|5STAR|Stray Kids 5STAR|SKZ 5STAR|스트레이 키즈 5star|스키즈 5star|s-class teaser|특 티저|s-class mv teaser|특 뮤비 티저|스키즈 특|skz s-class,-,-,49
"YAOCHEN- ""Lonely"" M/V",0TF850hLwXs,2023-05-23 00:00:00,10,202612,21415,-,962,JYP Entertainment|JYP,-,3,48
"Xdinary Heroes ""Dear H."" M/V",z6veDdj2gV0,2023-05-15 00:00:00,10,473051,70739,-,2113,JYP Entertainment|JYP,-,3,49
"Xdinary Heroes ""Good enough"" M/V",TFZszieg4J0,2023-05-08 00:00:00,10,1809882,152219,-,5894,JYP Entertainment|JYP,-,4,13
"BOY STORY ""哈?! (What's Poppin)"" M/V",SbSSWKa1u9w,2023-04-28 00:00:00,10,522313,49195,-,1989,JYP Entertainment|JYP|NCC|TME|BOYSTORY|HANYU|ZIAHO|XINLONG|MINGRUI|ZEYU|SHUYANG|涵予|梓豪|鑫隆|泽宇|明睿|书漾|IUWE|WE|REAL|GROWING|WW|howoldru|cantstop|jumpup|hanzup|enough|foru|ohmygosh|toobusy|if|energy|change|cookinfoya|id|bittersweet|monster|beurself|promise|allaboutwe|hiphop|cpop|kpop|dance|performance|cover|bts|straykids|workingholiday|mv|teaser|china|chinese|idol|audition|qq|twice|itzy|nmixx|stage|kpopcover|bt21|b2world|최연소아이돌|방탄소년단|boygroup|如果|got7|wayv|tnt|txt|nct|newjeans|billboard|whatspoppin,-,3,38
"YAOCHEN- ""YAOCHEN"" M/V",hf3_mQxSrUI,2023-04-27 00:00:00,10,259430,24463,-,644,JYP Entertainment|JYP,-,3,24
