title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
릴리리야 릴리딩 LILY’s Lost The Plot #6 𝑨 𝑴𝒐𝒏𝒔𝒕𝒆𝒓 𝑪𝒂𝒍𝒍𝒔 (SPOILERS),9xG2ksQS5pU,2023-06-29 00:00:00,24,87498,9081,-,137,-,1,12,46
NMIXX - My Gosh | SPECIAL VIDEO,4q3JKyLc4xA,2023-06-28 00:00:00,24,606893,56931,-,1482,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|expérgo|LoveMeLikeThis|LMLD|럽미|럽디,-,3,39
눈물의 마지막 미국 쇼케이스 투어 VLOG💧| NICE TO MIXX YOU IN US EP.07 🇺🇸,xBAn7tUkapM,2023-06-26 00:00:00,24,57244,5662,-,229,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|expérgo|LoveMeLikeThis|LMLD|럽미|럽디,-,9,1
"NMIXX 2차 월드투어 이슈, 그런데 이제 하루만에 끝내는... Marble O'Clock EP.1 | PICK NMIXX",QB0N_3IxxAo,2023-06-24 00:00:00,24,134002,9047,-,420,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A_Midsummer_NMIXXs_Dream|PICK NMIXX|픽엔믹스,-,14,28
너무 귀여워서 두 눈이 커져💖 막내즈의 수족관 VLOG  | NICE TO MIXX YOU IN US EP.06 🇺🇸,VwnM3vq3lLA,2023-06-23 00:00:00,24,82895,6893,-,327,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|expérgo|LoveMeLikeThis|LMLD|럽미|럽디,-,21,3
"스포티걸 배이 운동 브이로그💪, 호텔 룸투어📸 | NICE TO MIXX YOU IN US EP.05 🇺🇸",vOED5lY4wYM,2023-06-21 00:00:00,24,92475,7331,-,333,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|expérgo|LoveMeLikeThis|LMLD|럽미|럽디,-,12,42
월간 5️⃣☀️1️⃣ #13 in Taipei,qvEM-VFaxxo,2023-06-19 00:00:00,24,131327,11455,-,227,-,1,7,40
노래 부르자 🎤 (Leisure With Lily #10),eSfyxKYm5pI,2023-06-16 00:00:00,24,73990,7517,-,217,-,-,26,10
설윤 배이의 LA 쇼핑 VLOG👗💛👚 | NICE TO MIXX YOU IN US EP.04 🇺🇸,eH9fqDDUAwo,2023-06-16 00:00:00,24,208614,9707,-,364,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|expérgo|LoveMeLikeThis|LMLD|럽미|럽디,-,18,5
솔직히 방금 아 배진솔 소통도 안하고 자기 혼자 떠들다가네라고 생각했ㅈ,b9P2-HIy2E4,2023-06-14 00:00:00,24,106686,6977,-,179,-,1,52,3
