title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
EXO 엑소 'Hear Me Out' MV,r2VZQa2IgP4,2023-06-30,10,10878744,974429,-,166677,exo|엑소|hear me out|exist|정규 7집|선공개 싱글|music video|뮤직 비디오|mv|pre-release single|수호|첸|백현|찬열|카이|디오|세훈|시우민|suho|chen|baekhyun|chanyeol|d.o.|sehun|xiumin,-,3,36
SHINee 샤이니 'HARD' MV,lrDeQ4sF0zo,2023-06-26,10,26304137,447285,-,33587,샤이니|SHINee|온유|키|민호|태민|하드|ONEW|KEY|MINHO|TAEMIN|HARD|MV|뮤직비디오|뮤비|Music VIdeo,-,3,11
SHINee 샤이니 'HARD' MV Teaser,tov_DF_Q3aY,2023-06-24,10,292294,40931,-,2220,샤이니|SHINee|온유|키|민호|태민|하드|ONEW|KEY|MINHO|TAEMIN|HARD|MV|뮤직비디오|뮤비|sm|smtown|Music Video,-,-,31
NCT DREAM 엔시티 드림 'Broken Melodies' MV,2R_S5TgDWMY,2023-06-19,10,15202304,995033,-,73215,nct dream|엔시티 드림|엔드림|mark|renjun|jaemin|jeno|haechan|chenle|jisung|마크|런쥔|재민|제노|해찬|천러|지성|pre release single|선공개 싱글|Broken Melodies|브로큰 멜로디스|istj|아이에스티제이|정규3집|3rd album|mv|music video|뮤비|뮤직비디오,-,3,53
NCT DREAM 엔시티 드림 'Broken Melodies' MV Teaser,pyiNH6dZTSo,2023-06-17,10,880577,125818,-,4714,nct dream|엔시티 드림|엔드림|mark|renjun|jaemin|jeno|haechan|chenle|jisung|마크|런쥔|재민|제노|해찬|천러|지성|pre release single|선공개 싱글|Broken Melodies|브로큰 멜로디스|istj|아이에스티제이|정규3집|3rd album|mv|music video|teaser|뮤비|뮤직비디오|티저,-,-,31
EXO 엑소 'Let Me In' MV,91VhCIQNjIc,2023-06-12,10,14117082,1178565,-,209442,SUHO|XIUMIN|KAI|BAEKHYUN|D.O.|CHEN|SEHUN|CHANYEOL|수호|시우민|카이|백현|디오|첸|세훈|찬열|EXIST|Let Me In|렛미인|선공개|pre-release|MV|music video|뮤비|뮤직비디오,-,-,4
SHINee 샤이니 'The Feeling' MV,xSwJGduvM_g,2023-06-09,10,13485904,259614,-,15550,샤이니|shinee|온유|키|민호|태민|onew|key|minho|taemin|hard|하드|the feeling|더 필링|샤이니 정규 8집|컴백|15th anniversary|샤이니월드|shinee world,-,4,28
SHINee 샤이니 'The Feeling' MV Teaser,5eDNTSBqWTQ,2023-06-08,10,282905,46371,-,2471,샤이니|shinee|온유|키|민호|태민|onew|key|minho|taemin|hard|하드|the feeling|더 필링|샤이니 정규 8집|컴백|15th anniversary|샤이니월드|shinee world,-,-,29
TAEYONG 태용 '샤랄라 (SHALALA)' MV,aO5DPf0vebc,2023-06-05,10,9429995,532247,-,32821,-,-,3,29
TAEYONG 태용 '샤랄라 (SHALALA)' MV Teaser,pTL6WhzIYB4,2023-06-03,10,632226,97238,-,4355,태용|TAEYONG|NCT|NCT 127|엔시티|엔시티 127|일이칠|SHALALA|샬랄라|미니1집|mini album|1st mini album|MV teaser|music video|teaser|뮤비|뮤직비디오|티저,-,-,24
ZHOUMI 조미 'Mañana (Our Drama) (Feat. 은혁)' MV,KHRZsUAkZPQ,2023-06-01,10,276727,24760,-,4856,ZHOUMI|조미|Mañana (Our Drama)|Mañana|Our Drama|MV|은혁|EUNHYUK|뮤비|마냐나,-,3,22
ZHOUMI 조미 'Mañana (Our Drama) (Feat. 은혁)' MV Teaser #2,gd--Gg33wg4,2023-05-31,10,37753,4631,-,319,ZHOUMI|조미|Mañana (Our Drama)|Mañana|Our Drama|MV|Teaser|은혁|EUNHYUK|뮤비|티저,-,-,23
ZHOUMI 조미 'Mañana (Our Drama) (Feat. 은혁)' MV Teaser #1,qrQk-y2R0MM,2023-05-30,10,37441,4676,-,368,ZHOUMI|조미|Mañana (Our Drama)|Mañana|Our Drama|MV|Teaser|은혁|EUNHYUK|뮤비|티저,-,-,17
