title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
엉뚱 발랄 OO세대의 등장? ✧ #쯔위 Cheerful OO Generation? ✧ #TZUYU  #ONCE #TWICE #ONCE_4TH_GENERATION,tfCiwVtx2aA,2023-06-30 00:00:00,10,320054,52797,-,472,-,-,-,16
˗ˋˏ 흥은 내가 최고! 에너자이저 흥-다현 ˎˊ˗ #다현 ˗ˋˏ I’m THE Energizer ˎˊ˗ #DAHYUN #ONCE #TWICE #ONCE_4TH_GENERATION,K6J-ffJm3jc,2023-06-30 00:00:00,10,167097,43740,-,338,-,-,-,16
마성의 매력! 오사카 소녀 ˶• ༝ •˶ #사나 Charming Osaka Girl ˶• ༝ •˶ #SANA #ONCE #TWICE #ONCE_4TH_GENERATION,b8mKCT4SD24,2023-06-30 00:00:00,10,173736,39572,-,334,-,-,-,16
"TWICE REALITY ""TIME TO TWICE"" TDOONG High School Season 3 EP.02",FR7f3U90nO4,2023-06-30 00:00:00,10,981083,69984,-,2079,TWICE|트와이스|TIME TO TWICE|타임 투 트와이스|TTT|티티티|트와이스 자컨|트와이스 자컨 추천|트와이스 티티티 추천|트둥고|트와이스 트둥고|티티티 트둥고|타임 투 트와이스 트둥고|트둥고 시즌 3|트둥고 3|TWICE 트둥고|트와이스 트둥고 시즌 3|티티티 트둥고 시즌3,-,20,17
오늘의 포토제닉! 얼짱 감성 소녀 ⋈* #채영Photogenic & Delicate Unnie ⋈* #CHAEYOUNG #ONCE #TWICE #ONCE_4TH_GENERATION,lJMuPNHVYnY,2023-06-29 00:00:00,10,192949,43507,-,396,-,-,-,16
반전의 아이콘! 깜찍 리더 ✿ #지효 TWIST! Adorable Leader ✿ #JIHYO# #ONCE #TWICE #ONCE_4TH_GENERATION,RWWfRJ_5I74,2023-06-29 00:00:00,10,196485,46967,-,463,-,-,-,16
슬플 때는 힙-합 춤을! ‧₊˚ ✩ #모모 Hip-Hop Dancing MO-chine! ‧₊˚ ✩ #MOMO #ONCE #TWICE #ONCE_4TH_GENERATION,XQ0A2N4ubo0,2023-06-29 00:00:00,10,202563,46912,-,363,-,-,-,16
게임 짱! 신세대 게임 소녀 ミ☆ #미나 Game Queen of New Generation ミ☆ #MINA #ONCE #TWICE #ONCE_4TH_GENERATION,Ak-wLncD2NA,2023-06-28 00:00:00,10,245921,51545,-,502,-,-,-,16
장난꾸러기 O형 소녀! ♪ #정연 Blood Type O Prankster Girl! ♪ #JEONGYEON #ONCE #TWICE #ONCE_4TH_GENERATION,r5BGiEoWbZE,2023-06-28 00:00:00,10,201767,45549,-,527,-,-,-,16
ε 이 시대의 미소천사! з #나연 ε Smiling Angel of This Era! з #NAYEON #ONCE #TWICE #ONCE_4TH_GENERATION,b5SWuCa0LnA,2023-06-28 00:00:00,10,239085,47907,-,437,-,-,-,16
