title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
Spin it like that ୧(🌀•̀ᴗ•́🌀)૭ #shorts #TOMORROW_X_TOGETHER #TXT #JonasBrothers #DoItLikeThat,s4lK_xoj_7o,2023-06-30 00:00:00,10,601398,103122,-,542,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,8
[T:TIME] 'ACT : SWEET MIRAGE' Last Day in the U.S. - TXT (투모로우바이투게더),TELALBy_VEs,2023-06-30 00:00:00,10,148715,25444,-,894,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,6,59
🐻 challenge accepted 🧸🐧 #shorts #투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #JonasBrothers #DoItLikeThat,s0xainFVb6E,2023-06-29 00:00:00,10,1265111,195858,-,900,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,21
'TOMORROW X TOGETHER: OUR LOST SUMMER' Teaser Trailer,1h8Cp5M1drQ,2023-06-29 00:00:00,10,168863,38588,-,1407,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,1,11
[EPISODE] HUENINGKAI’s 'W Korea' Photoshoot Sketch - TXT (투모로우바이투게더),-VqDQrTpuUM,2023-06-29 00:00:00,10,89646,19888,-,1024,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,3,17
How do you like the new look? ( •͈ᴗ-)ᓂ-ෆ💕 #shorts #TOMORROW_X_TOGETHER #DoItLikeThat #JonasBrothers,5Jc7kGQ0CY8,2023-06-28 00:00:00,10,1245831,194041,-,1591,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,19
Show that smile #TAEHYUN 😆🐿️ #shorts #TOMORROW_X_TOGETHER #TXT #JonasBrothers #DoItLikeThat,E8jmFD6oeUg,2023-06-28 00:00:00,10,886438,159341,-,1227,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,19
[T:TIME] Daily TXT #18 BEOMGYU in San Antonio,rAZaR1HmYhI,2023-06-28 00:00:00,10,76768,15569,-,432,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,1,30
So.. going up? with #JonasBrothers 📱🫢 #shorts #투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #DoItLikeThat,P1rNNCiV6Xo,2023-06-27 00:00:00,10,1136462,185545,-,712,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,-,17
[T:TIME] Daily TXT #17 YEONJUN in Atlanta,aYYAzHZFnZg,2023-06-27 00:00:00,10,93043,17079,-,489,투모로우바이투게더|TOMORROW X TOGETHER|TXT|연준|수빈|휴닝카이|태현|범규|YEONJUN|SOOBIN|HUENINGKAI|TAEHYUN|BEOMGYU|빅히트뮤직,-,1,35
