video_title,video_id
Trust Me (MIDZY) -Japanese ver.-,w3I5zfyEbbo
Kill Shot,sMF6BpG3esI
None of My Business,iUqsts7GoUA
Psychic Lover,WKNHe60epck
BET ON ME,jKcWfFe2XNE
CAKE,QC-VSZotnxA
Bratty (나쁜 애),fU2SNrenOzg
None of My Business,keMO-mtekGI
Bratty,ZQiDaiOfKMU
CAKE,w-kwU4T6o4A
BET ON ME,JLmYPwgR1lg
Psychic Lover,Aj7khPMBSbQ
Kill Shot,4EwZRB7hBsI
Cheshire,PYZAokz6r_w
Freaky,KnpQ4-lLCIY
Snowy,y1fGC3LU3U4
Freaky,H7MoYhi6O0g
Boys Like You,KuvJ32Xfn60
Cheshire,izOGip7r6Zg
Snowy,6TiOIpraKac
Boys Like You,zrxegoy_kxo
Boys Like You,mjrI9AxEGNY
Boys Like You,m8P2lGYhNyY
Can’t tie me down,e-HVDFwu2jw
Can't tie me down,KHr4VVzE3zQ
Blah Blah Blah（Instrumental）,MW1jZJ7h5aQ
Blah Blah Blah,7NL71i8nkhA
Blah Blah Blah,jAN3DtwNdAg
Can't tie me down（Instrumental）,RFEEK3xt-vI
Blah Blah Blah (Instrumental),mnnWMVeyGvY
Can't tie me down (Instrumental),fPE1T-8Qe2Q
Blah Blah Blah,41qB8KXhku8
SNEAKERS (English Ver.),Zs52wqWAwFs
RACER,sMfCBw3a0JQ
WHAT I WANT,B1pRdtxtae4
365,PjcQLFXmTe4
365,Br4007YSjYc
Free Fall,AMepfdEZwD4
SNEAKERS (English Ver.),lD_O8PoOjk0
RACER,oRGdH-0hgr8
SNEAKERS,-uOShlFu1v8
WHAT I WANT,gs46qPoeYmA
DOMINO,kCOVW0LpiG8
DOMINO,IifLQdRkxXY
SNEAKERS,5sJHPxLWoPA
Free Fall,LHtr3MXyIt0
Spice (Instrumental),S07U6hSikc0
Voltage,sPZT27Rf0yI
Voltage (Instrumental),p6rFEUNcXMc
Spice,72OyXqT_VFA
Spice（Instrumental）,ZQRxwSUwZOw
Voltage,OVcWp5lnQk8
Voltage（Instrumental）,KINa1YP2YqY
Spice,KHWPTOtcOTM
Voltage,F1Ru1HyAKHY
Weapon (With Newnion & FLOOR) (Prod. by Czaer),KJrPsT2X-yk
Not Shy (Japanese ver.),PLYeH0uVj7o
LOCO (Japanese ver.),MAulIwLyEug
LOCO -Japanese ver.-,mvn-eCN4d0Q
In the morning (Japanese ver.),P_B8CYqR4Zk
WANNABE -Japanese ver.-,VnXHI_-ywJY
WANNABE (Japanese ver.),_Tgqfv6OTog
DALLA DALLA (Japanese ver.),iyC2hZox3KE
DALLA DALLA -Japanese ver.-,SML32LoTVOw
ICY -Japanese ver.-,9ca9IaDEYSA
In the morning -Japanese ver.-,YgnNOfGjiEk
Not Shy -Japanese ver.-,n5IJ6YAU5U0
ICY (Japanese ver.),R3xGAihTN58
LOCO (Japanese ver.),eeN_pqAdUPM
WANNABE (Japanese ver.),fqdAFQqmJMo
WANNABE (Inst.),RSYp3ZPiodU
Gas Me Up,vV4Qsb0vAzQ
달라달라 DALLA DALLA (Inst.),J-mzcgXDw1I
B [OO] M-BOXX,V41tp4nu_t0
마.피.아. In the morning (Inst.),L6AnaIP8XGI
LOCO (Inst.),kLX_fr8bdV0
ICY (Inst.),OCCQ9OaEeqY
SWIPE,YajJQ06w4cQ
Chillin' Chillin',RaHTYYny6hw
#Twenty,8XZIDh_mEho
Not Shy (Inst.),i6hWvN_rh1k
LOCO,AzifmextSDM
LOCO (English Ver.),-6gdPbihCNk
LOCO (Inst.),WN8vqMZLXG8
ICY (Inst.),IRig_rtg2lY
SWIPE,2WczEw6XO0o
Chillin' Chillin',91EfQzmS81o
Mirror,q_a2fyIMIOI
B [OO] M-BOXX,a8SJ_0CbVZo
Mirror,xQoSBEZIsC4
