video_title,video_id
ITZY OFFICIAL FANCLUB MIDZY 3RD GENERATION #YUNA Join BAND ITZY 🎸 #ITZY #MIDZY,-CsZf2-q7P4
ITZY OFFICIAL FANCLUB MIDZY 3RD GENERATION #CHAERYEONG Join BAND ITZY 🎸 #ITZY #MIDZY,FVkcymuFZTM
ITZY OFFICIAL FANCLUB MIDZY 3RD GENERATION #RYUJIN Join BAND ITZY 🎸 #ITZY #MIDZY,SIAc66A9sFw
ITZY OFFICIAL FANCLUB MIDZY 3RD GENERATION #LIA Join BAND ITZY 🎸 #ITZY #MIDZY,_sZJa8xWk24
ITZY OFFICIAL FANCLUB MIDZY 3RD GENERATION #YEJI Join BAND ITZY 🎸#ITZY #MIDZY,vw2NhmZhv4Q
different kind #HOMEBOY #xikers #싸이커스 와의 날아갈 것 같은 #CAKEChallenge 🩵 #ITZY #ITZY_CAKE,EK0EZ_B7w3g
Welcome Message from BAND ITZY🎸,fRWnB8iHoyU
CAKE 막방 기념 케이크도 왕! 하고 먹어버려 다 yeah like❤️‍🔥 #ITZY #MIDZY #ITZY_CAKE #CAKEChallenge,kfI5iS-srdw
[🔴LIVE] CAKE 막방 뒤풀이🎂💕,qgZVig3SEso
#Wormhole 처럼 빨려들어갈 것 같은 매력이 점점 커져만 가는 #nSSign #HANJUN #DOHA 와의 #CAKEChallenge 🥊,58VmLufkZJg
맏막즈💖 #YEJI #예지 #YUNA #유나 의 케미 넘치는 Shake it shake✨#ITZY #ITZY_CAKE #CAKEChallenge,dOTRh4kLPiw
SHOUT OUT TO #ALL_MY_GIRLS 🎤 #EVERGLOW #AISHA 님과 함께한 #CAKEChallenge 완전 #SLAY ❤️‍🔥#ITZY #ITZY_CAKE,h6NxxFRteH0
공일즈🐱 #류진 #RYUJIN #채령 #CHAERYEONG 스타일로 Shake it shake❤️‍🔥 #ITZY #ITZY_CAKE #CAKEChallenge,IJRCVsElWkY
"ITZY ""KILL MY DOUBT"" BEHIND #2",2wuaAbPp_Yg
BAND ITZY - ITZY OFFICIAL FANCLUB MIDZY 3RD GENERATION RECRUITMENT,M8QXJ1F4yqc
똑똑똑🚪 세상에서 하나뿐인 #OneandOnly #CAKEChallenge 를 #BOYNEXTDOOR 와 함께 🍰 #ITZY #ITZY_CAKE,EzcLeAnTwuc
십 초 마다 생각이 나는 #트와이스 #TWICE #지효 #JIHYO 선배님의 #CAKEChallenge is so #KillinMeGood ❤️‍🔥 #ITZY #ITZY_CAKE,XHo8Dq-HRxA
#트리플에스 와 #CAKEChallenge 말아버려 like La La La La Heart 💖 마치 like #LOVElution 🩷 #ITZY_CAKE #tripleS,IPWiXUEBpZk
#소녀시대 #효연 선배님과 Come take a #Picture 📸 Come take a #CAKEChallenge for me~ 🍰 💕 #ITZY_CAKE #HYO,TLqhm7_BobQ
🩷궁합즈🩷 #리아 #LIA #유나 #YUNA 📹 BEHIND THE CHALLENGE #ITZY #ITZY_KILLMYDOUBT #ITZY_CAKE #CAKEChallenge,-7-qYAOMsW4
🐱캣즈🐱 #예지 #YEJI #류진 #RYUJIN #채령 #CHAERYEONG 📹 BEHIND THE CHALLENGE #ITZY #ITZY_CAKE #CAKEChallenge,BgEhxGI3KLA
#리아 #LIA 궁합즈의 움직임대로 yeah like 🍰📹 Filmed by #유나 #YUNA #ITZY #ITZY_CAKE #CAKEChallenge,2Hu8aCM4_D0
Sometimes sometimes #예지 #YEJI 는 시원한 바람을 원해 🩵📹 Filmed by #류진 #RYUJIN 💨 Wind by #채령 #CHAERYEONG,Y6m9PSnmzls
MIDZY 덕분에 매일이 like ITZY's birthday💝 🎉Thank you MIDZY for 30M VIEWS🎉,umMWhtYUVNM
Ooh wee🍰 lalala lalala la la~😆#ITZY #MIDZY #ITZY_KILLMYDOUBT #ITZY_CAKE #CAKEChallenge,vDlhzRRLj64
#에이티즈 #ATEEZ #민기 #MINGI 선배님과 #청양고추Vibe 잔뜩 뿌린 #CAKEChallenge 🍰 심장이 자꾸 #BOUNCY❤️‍🔥 #ITZY #ITZY_CAKE,A1o5yiq-L58
줏대있게 왕! 하고 케익 먹기를 6번 실패한 #스트레이키즈 #창빈 선배님 빛깔번쩍 #CAKEChallenge 🎂#ITZY #ITZY_CAKE #StrayKids #Changbin,5pp25v2N0HM
#CAKEChallenge with MIDZY💕있지와 믿지 함께라면 어떤 챌린지도 다 괜찮아 Alright Alright🎵 #ITZY #MIDZY #ITZY_CAKE,prHCvaQTZZw
ITZY “CAKE” Stage Practice (4K),i5tkxLwitGs
우리 MIDZY 만나러 가자! ㄴ🎂K 🎂K 🎂K 🎂K 🎂K #ITZY #MIDZY #ITZY_KILLMYDOUBT #ITZY_CAKE #CAKEChallenge,j9rvMJaddWk
#STAYC #시은 님과 #CAKEChallenge 하고 보니 오늘 하루도 SO #TEENFRESH 🩵슬픔은 다 #Bubble 처럼 사라져🫧 #ITZY #ITZY_CAKE,sQb-it_6GDw
너무 귀엽고 예뻐서 절대 #UNFORGIVEN ❤️‍🔥 #르세라핌 #홍은채 #HONGEUNCHAE 님과 함께한 #CAKEChallenge 🍰 #ITZY #ITZY_CAKE,AaObkd4Na8M
"ITZY ""KILL MY DOUBT"" BEHIND #1",AbXVpWi202o
#전소미 #JEONSOMI 선배님과 함께 #CAKEChallenge 로 다시 만날때까지 #FastForward ⏩️⏩️⏩️ #ITZY #ITZY_CAKE,u7E9iDpQuOk
#조유리_TAXI_타고_직진 🚕 하다가 잠깐 #CAKEChallenge 한 조각🍰 하고 가실게요 #ITZY #ITZY_CAKE #JOYURI #조유리,9-jwBZrQq0A
#LIPGLOSS 마저 찰떡인 #더보이즈 #THEBOYZ 선배님과 #CAKEChallenge 🍰 이 비주얼 너무 #PHANTASY 😘 #ITZY #ITZY_CAKE,DshKEFtgExk
#스트레이키즈 #StrayKids #리노 #LeeKnow 선배님과의 #특 별한 #CAKEChallenge 🍰 제 점수는요? 바로 #5_STAR ⭐️ #ITZY #ITZY_CAKE,G6V22gB5eIY
"Hurry up, join the #CAKEChallenge 🍰
#엔믹스 #NMIXX 와 함께하는 지금이 바로 #Party_O_Clock 🩵 #ITZY #ITZY_CAKE",9wvLBZDxPT8
리아&류진&유나의 #하트만들기 💝 #ITZY #LIA #RYUJIN #YUNA #ITZY_KILLMYDOUBT #ITZY_CAKE,I4-FEp5Vgl8
령지곤지의 #하트만들기 💝 #ITZY #YEJI #CHAERYEONG #ITZY_KILLMYDOUBT #ITZY_CAKE,dssozoK9L1s
ITZY - Kill Shot (Audio Clip),Xkk6-iihefk
ITZY -  Psychic Lover (Audio Clip),dzhdy5vlIAI
ITZY - Bratty (나쁜 애) (Audio Clip),-Rfu2--mB8s
ITZY - None of My Business (Audio Clip),sMOvYOiklOI
ITZY - CAKE (Audio Clip),g_0p9wP4Ejg
ITZY - BET ON ME (Audio Clip),Al8Rif4USKE
"Listen to ITZY's new song ""CAKE"" on #YouTubeMusic Thank you @youtubemusic ❤️ #Shorts",FPlFozwjUMc
"🎬왕하고 CAKE에게 먹히지 못한 령채🦊 (NG Ver.)
#ITZY #RYUJIN #CHAERYEONG
#ITZY_CAKE #CakeChallenge #CAKE_망한챌린지대회",5j2NxeS9osA
"🍰왕하고 CAKE에게 먹혀버린 령채🦊
#ITZY #RYUJIN #CHAERYEONG #ITZY_CAKE #CakeChallenge #ITZY_Turning_CAKE",VFQRwXcOC8o
"🍰왕하고 CAKE에게 먹혀버린 예지수😆
#ITZY #YEJI #LIA #YUNA #ITZY_CAKE #CakeChallenge #ITZY_Turning_CAKE",MEMWOIUGmIs
"ITZY ""KILL MY DOUBT"" SHOWCASE",B6WlE_uMy9E
#인피니트 #INFINITE 선배님과 #CAKEChallenge 지금부터 #Begin ❤️‍🔥 이건 마치 #New_Emotions ♾️ #ITZY #MIDZY #ITZY_CAKE,f9XVIpqwsCY
🎬왕하고 CAKE에게 먹히지 못한 령채🥰 (NG Ver.) #ITZY #ITZY_CAKE #ITZY_Turning_CAKE#CAKE_망한챌린지대회 #CAKEChallenge,IbdIijBgZdw
🎬왕하고 CAKE에게 먹히지 못한 령지곤지🤍(NG Ver.) #ITZY #ITZY_CAKE #ITZY_Turning_CAKE #CAKE_망한챌린지대회 #CAKEChallenge,7UAILVPHRog
🎬왕하고 CAKE에게 먹히지 못한 유우나🐰 (NG Ver.) #ITZY #ITZY_CAKE #ITZY_Turning_CAKE#CAKE_망한챌린지대회 #CAKEChallenge,1oav1DUrADI
