title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
Better Things (Sped Up Version),9GSQ2pME9SE,2023-09-08,10,4264,653,-,42,aespa|Better Things (Sped Up + Slowed Down)|Better Things,-,3,1
Better Things (Slowed Down Version),pvAN7KrgOso,2023-09-08,10,2608,337,-,20,aespa|Better Things (Sped Up + Slowed Down)|Better Things,-,3,48
Better Things (Snack Version),ZttTtc-pAuQ,2023-09-08,10,2237,297,-,24,aespa|Better Things (Sped Up + Slowed Down)|Better Things,-,-,46
We Go (Instrumental),5yR4ieO0h3M,2023-08-23,10,15129,840,-,31,aespa Pokémon 2023 (Original TV Series Soundtrack|Korea) We Go (Instrumental),-,3,9
We Go,P0JBkd3mJ74,2023-08-23,10,571388,26040,-,1329,aespa Pokémon 2023 (Original TV Series Soundtrack|Korea) We Go,-,3,9
Better Things,wwGRYpAoY78,2023-08-18,10,4517636,50748,-,531,aespa|Better Things,-,3,24
Spicy,xUV9pcwhY0U,2023-05-08,10,59959629,171646,-,638,aespa|MY WORLD - The 3rd Mini Album|Spicy,-,3,18
Salty & Sweet,l4Z9kkYAggc,2023-05-08,10,11557194,54317,-,282,aespa|MY WORLD - The 3rd Mini Album|Salty & Sweet,-,3,22
Thirsty,O5qOB4cDr7s,2023-05-08,10,18320364,80700,-,456,aespa|MY WORLD - The 3rd Mini Album|Thirsty,-,3,14
'Til We Meet Again,EcyY3nJXd0o,2023-05-08,10,1744104,12607,-,142,aespa|MY WORLD - The 3rd Mini Album|'Til We Meet Again,-,3,39
Welcome To MY World,_ggFkc0irCc,2023-05-08,10,3414728,23022,-,104,aespa|nævis|MY WORLD - The 3rd Mini Album|Welcome To MY World,-,3,27
I'm Unhappy,Ucrv2cOapb0,2023-05-08,10,5867333,35753,-,154,aespa|MY WORLD - The 3rd Mini Album|I'm Unhappy,-,3,26
Welcome To MY World,DqhjAzl-uuw,2023-05-02,10,3393483,37233,-,424,aespa|nævis|Welcome To MY World,-,3,27
Hold On Tight,sv54x9HV2LU,2023-03-30,10,9673831,165273,-,1246,aespa|Tetris|Hold On Tight,-,2,30
Girls (Minit Remix),MndY2BjT0s4,2022-10-21,10,179873,2841,-,37,aespa|Minit|iScreaM Vol.18 : Girls Remixes|Girls,-,3,43
Girls,Zx8-g9Fgf34,2022-10-21,10,65434,1331,-,19,aespa|iScreaM Vol.18 : Girls Remixes|Girls,-,4,1
Girls (BRLLNT Remix),5B7OGKsErvY,2022-10-21,10,242756,2218,-,2,aespa|BRLLNT|iScreaM Vol.18 : Girls Remixes|Girls,-,2,56
Dreams Come True,zZDdP0V3pVw,2022-07-08,10,620372,10893,-,30,aespa|Girls - The 2nd Mini Album|Dreams Come True,-,3,25
Black Mamba,zGSF1sy0xC8,2022-07-08,10,1051299,17458,-,31,aespa|Girls - The 2nd Mini Album|Black Mamba,-,2,55
Girls,MBbqqWqLPlI,2022-07-08,10,52833841,193713,-,222,aespa|Girls - The 2nd Mini Album|Girls,-,4,1
도깨비불 Illusion,LP9sF1v-vz4,2022-07-08,10,49377421,169120,-,208,aespa|Girls - The 2nd Mini Album|도깨비불 Illusion,-,3,16
Lingo,rxtdwssXyOs,2022-07-08,10,3279733,58007,-,137,aespa|Girls - The 2nd Mini Album|Lingo,-,2,37
Forever 약속,i4loHXi8f3A,2022-07-08,10,1361757,11117,-,24,aespa|Girls - The 2nd Mini Album|Forever 약속,-,4,59
Life's Too Short,i2VGa-ETiM4,2022-07-08,10,6729115,41378,-,20,aespa|Girls - The 2nd Mini Album|Life's Too Short,-,2,59
ICU 쉬어가도 돼,aGV_8CYCN3g,2022-07-08,10,2643771,56952,-,184,aespa|Girls - The 2nd Mini Album|ICU 쉬어가도 돼,-,3,42
Life's Too Short (English Version),11-yKSQera8,2022-07-08,10,798140,8646,-,6,aespa|Girls - The 2nd Mini Album|Life's Too Short,-,2,59
Life's Too Short (English Version),8_qkTGOcBHU,2022-06-24,10,10366073,75997,-,52,aespa|Life's Too Short,-,2,59
Life's Too Short (Instrumental),-jgL2IcQinQ,2022-06-24,10,367384,9480,-,27,aespa|Life's Too Short,-,2,59
도깨비불 Illusion,r_RAv0JMB8s,2022-06-01,10,28290510,138205,-,93,aespa|Illusion|도깨비불 Illusion,-,3,16
Dreams Come True,wjCrjR5WpgQ,2021-12-27,10,33466983,99377,-,27,aespa|2021 Winter SMTOWN : SMCU EXPRESS|Dreams Come True,-,3,25
Dreams Come True,vp3APydJVEI,2021-12-20,10,21195539,142397,-,144,aespa|Dreams Come True - SM STATION|Dreams Come True,-,3,25
Dreams Come True (Instrumental),lXolhhIWF70,2021-12-20,10,1316268,46252,-,155,aespa|Dreams Come True - SM STATION|Dreams Come True,-,3,25
Dreams Come True (Shorts Version),2-0NSFtupdI,2021-12-14,10,450005,30134,-,7,aespa|Dreams Come True - SM STATION|Dreams Come True,-,-,16
Savage,REmUidcJt5I,2021-10-05,10,98984700,438246,-,278,aespa|Savage - The 1st Mini Album|Savage,-,3,59
YEPPI YEPPI,syYqQoE5Rbo,2021-10-05,10,12784977,129580,-,222,aespa|Savage - The 1st Mini Album|YEPPI YEPPI,-,3,34
aenergy,O89_etLjQxE,2021-10-05,10,9471871,170012,-,129,aespa|Savage - The 1st Mini Album|aenergy,-,2,28
자각몽 Lucid Dream,5DhAts7WcPk,2021-10-05,10,10761954,138244,-,388,aespa|Savage - The 1st Mini Album|자각몽 Lucid Dream,-,3,31
I'll Make You Cry,NBunx0VMvos,2021-10-05,10,4587172,83971,-,163,aespa|Savage - The 1st Mini Album|I'll Make You Cry,-,3,35
ICONIC,gj-lvvYQdiU,2021-10-05,10,7682449,127109,-,134,aespa|Savage - The 1st Mini Album|ICONIC,-,3,12
Next Level (IMLAY Remix),PjUThnrPyj4,2021-09-14,10,276851,5759,-,13,aespa|iScreaM Vol.10 : Next Level Remixes|Next Level,-,3,46
Next Level (Lionclad Remix),FzHQcIUZxS4,2021-09-14,10,236468,4601,-,12,aespa|iScreaM Vol.10 : Next Level Remixes|Next Level,-,3,46
Next Level (Habstrakt Remix),ieqxBlJBNU4,2021-09-14,10,527305,5624,-,4,aespa|iScreaM Vol.10 : Next Level Remixes|Next Level,-,3,21
Next Level,tkzYyEp4zB4,2021-05-17,10,167983858,588937,-,273,aespa|Next Level,-,3,42
Forever 약속,n3ZztQJHIVI,2021-02-05,10,6408989,41790,-,26,aespa|Forever 약속,-,4,59
Black Mamba,BL-aIpCLWnU,2020-11-17,10,108469212,513631,-,1202,aespa|Black Mamba,-,2,55
