title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
[LIVE CAM] 230723 Young K - What a Wonderful Word @ AWESOME STAGE in Busan,iEewWjgV9fI,2023-08-18,22,2283,538,-,18,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|AWESOME STAGE in Busan|영케이 직캠|What a Wonderful Word,-,3,26
[LIVE CAM] 230722 Young K - Am I in Love? @ AWESOME STAGE in Busan,0Pk2jNI2Kps,2023-08-18,22,1865,488,-,19,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|AWESOME STAGE in Busan|영케이 직캠|아마도 사랑인가 봐,-,2,57
"[LIVE CAM] 원필의 ""Free하게"" 키보드 솔로🎹 #2 @ 2019 2ND WORLD TOUR 'GRAVITY'",pLa78zSIeno,2023-08-18,22,2076,702,-,14,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|원필 직캠|Free하게|GRAVITY Concert,-,-,1
[LIVE CAM] 230723 Young K - best song @ AWESOME STAGE in Busan,aK9ZQq_ep9c,2023-08-17,22,5267,1240,-,15,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|AWESOME STAGE in Busan|영케이 직캠|best song,-,-,59
YOUNG OWN | Ep.06 AWESOME STAGE in Busan Behind,pqjRYiTmm7o,2023-08-17,22,7718,1319,-,58,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|AWESOME STAGE in Busan|영케이 직캠,-,14,12
[LIVE CAM] My Day에게 고정된 Young K의 시선👀✨ @ 2019 2ND WORLD TOUR 'GRAVITY',oLs12aT2s2E,2023-08-16,22,8278,1861,-,28,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|영케이 직캠|Congratulations,-,-,45
"[LIVE CAM] 도운의 수줍은 듯 안 수줍은(?) ""돌아갈래요"" 솔로 파트🎤 @ 2019 2ND WORLD TOUR 'GRAVITY'",oRCmKfffbLk,2023-08-15,22,6315,1419,-,22,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|도운 직캠|GRAVITY Concert|데이식스 돌아갈래요,-,-,30
YOUNG OWN | Ep.05 HAVE A NICE TRIP 2023 Behind,VjFHyuciQoI,2023-08-14,22,9517,1473,-,64,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|해브어나이스트립 2023|HAVE A NICE TRIP 2023,-,9,23
[LIVE CAM] 성진 - Blood (with 원필) @ 2019 2ND WORLD TOUR 'GRAVITY',CZX-lhMv39w,2023-08-11,22,6589,1420,-,19,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|GRAVITY Concert|성진 직캠|원필 직캠|데이식스 라이브|데이식스 Blood,-,-,52
"[LIVE CAM] 원필의 ""Free하게"" 키보드 솔로🎹 #1 @ 2019 2ND WORLD TOUR 'GRAVITY'",uxlGhCuDvyY,2023-08-10,22,7842,1585,-,22,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|원필 직캠|Free하게|GRAVITY Concert,-,-,1
