title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
V 'Slow Dancing' Official MV,eI0iTRS0Ha8,2023-09-08,10,10429136,1833090,-,170975,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,11
V 'Slow Dancing' Official Teaser,mJ1NFKfTF9M,2023-09-07,10,1981919,489964,-,20651,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,29
"[HYBE x Geffen] Dream Academy - Mission 1 ""Dancing on My Own"" X "" Happier Than Ever"" (Team A, Vocal)",KVzm2wmG6lU,2023-09-06,10,446467,35632,-,2222,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,4
"[HYBE x Geffen] Dream Academy - Mission 1 ""Still into you"" (Team B, Vocal)",1pO6_BCH1kM,2023-09-06,10,646113,74834,-,6290,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,2,54
"[HYBE x Geffen] Dream Academy - Mission 1 ""Pink Venom"" (Team A, Dance)",JrK_KV0_zwg,2023-09-06,10,736061,57032,-,2618,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,2,28
"[HYBE x Geffen] Dream Academy - Mission 1 ""OMG"" (Team B, Dance)",HTdrVj27GVs,2023-09-06,10,543482,49632,-,2119,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,2,50
[PLEDIS] 2023 GLOBAL AUDITION ‘WONDER TEENS’,BCq2VTBp4_Q,2023-09-05,10,62197,9810,-,372,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,21
ENHYPEN (엔하이픈) 'Bite Me [Japanese Ver.]' Official MV,vREnTx5zq5Y,2023-09-04,10,1852611,255566,-,9520,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,1
BOYNEXTDOOR (보이넥스트도어) '뭣 같아' Official MV #BOYNEXTDOOR #보이넥스트도어 #BND #뭣같아 #ButSometimes,HC9IF-4fZwQ,2023-09-04,10,108754,20915,-,132,-,-,-,31
BOYNEXTDOOR (보이넥스트도어) '뭣 같아' Official MV,97_-_WugRFA,2023-09-04,10,16916530,156902,-,9304,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,1
TXT (투모로우바이투게더) The Name Chapter: FREEFALL Promotion Scheduler,6amyjgO3118,2023-09-01,10,115820,24494,-,293,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,16
BOYNEXTDOOR (보이넥스트도어) '뭣 같아' Official MV Teaser #BOYNEXTDOOR #보이넥스트도어 #BND,oAeQ4cyEB7E,2023-08-31,10,157296,20664,-,140,-,-,-,25
BOYNEXTDOOR (보이넥스트도어) '뭣 같아' Official MV Teaser,QjTTUFN7fYA,2023-08-31,10,2034352,51812,-,1804,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,30
[HYBE x Geffen] The Debut: Dream Academy - Official Trailer,9ap0iUUtkIE,2023-08-30,10,528693,49839,-,2029,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,1,12
백호 (BAEKHO) ‘엘리베이터’ Official Performance Film,r8WAqSy-jWQ,2023-08-30,10,193653,16787,-,159,-,-,-,43
백호 (BAEKHO) ‘엘리베이터’ Official Performance Film,0AucSv2oQ1k,2023-08-30,10,206307,18487,-,1250,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,3,28
ENHYPEN (엔하이픈) 'Bite Me [Japanese Ver.]' Official Teaser,xGuDv8D5nd4,2023-08-29,10,631704,105860,-,3263,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,22
TXT (투모로우바이투게더) The Name Chapter: FREEFALL,0uOkPlDxJ6k,2023-08-29,10,417832,90766,-,6192,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,24
백호 (BAEKHO) ‘엘리베이터’ Official Performance Film Teaser,GtvmICJU4hs,2023-08-29,10,83333,8486,-,232,HYBE|HYBE LABELS|하이브|하이브레이블즈,-,-,28
백호 (BAEKHO) ‘엘리베이터’ Official Performance Film Teaser,hcNtJ_FOh0o,2023-08-29,10,86637,10115,-,107,-,-,-,26
