title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
우리 MIDZY 만나러 가자! ㄴ🎂K 🎂K 🎂K 🎂K 🎂K #ITZY #MIDZY #ITZY_KILLMYDOUBT #ITZY_CAKE #CAKEChallenge,j9rvMJaddWk,2023-08-18,24,16769,3298,-,64,-,-,-,10
#STAYC #시은 님과 #CAKEChallenge 하고 보니 오늘 하루도 SO #TEENFRESH 🩵슬픔은 다 #Bubble 처럼 사라져🫧 #ITZY #ITZY_CAKE,sQb-it_6GDw,2023-08-18,24,92661,19835,-,148,-,-,-,25
너무 귀엽고 예뻐서 절대 #UNFORGIVEN ❤️‍🔥 #르세라핌 #홍은채 #HONGEUNCHAE 님과 함께한 #CAKEChallenge 🍰 #ITZY #ITZY_CAKE,AaObkd4Na8M,2023-08-18,24,377218,79611,-,554,-,-,-,25
"ITZY ""KILL MY DOUBT"" BEHIND #1",AbXVpWi202o,2023-08-16,24,73877,9548,-,504,JYP Entertainment|JYP|ITZY|있지|イッチ|예지|리아|류진|채령|유나|YEJI|LIA|RYUJIN|CHAERYEONG|YUNA|イェジ|リア|リュジン|チェリョン|ユナ|อิทจี|เยจี|ลีอา|รยูจิน|แชรยอง|ยูนา|ITZY VIDEOS|ITZY LOCO|ITZY BEHIND|MV|ITZY MV|ITZY MUSIC VIEDOS|Teaser|ITZY Teaser|ITZY VLOG|VLOG|IT'z Different|IT'z ICY|IT'z ME|Not Shy|GUESS WHO|CRAZY IN LOVE|DALLA DALLA|ICY|WANNABE|마.피.아.IN THE MORNING|LOCO|SNEAKERS|있지있지|있있|CHESHIRE|체셔|#KILLMYDOUBT|#BETONME|NOMB|CAKE,-,23,52
#전소미 #JEONSOMI 선배님과 함께 #CAKEChallenge 로 다시 만날때까지 #FastForward ⏩️⏩️⏩️ #ITZY #ITZY_CAKE,u7E9iDpQuOk,2023-08-13,24,1795036,70592,-,529,-,-,-,24
#조유리_TAXI_타고_직진 🚕 하다가 잠깐 #CAKEChallenge 한 조각🍰 하고 가실게요 #ITZY #ITZY_CAKE #JOYURI #조유리,9-jwBZrQq0A,2023-08-13,24,664849,45594,-,210,-,-,-,24
#LIPGLOSS 마저 찰떡인 #더보이즈 #THEBOYZ 선배님과 #CAKEChallenge 🍰 이 비주얼 너무 #PHANTASY 😘 #ITZY #ITZY_CAKE,DshKEFtgExk,2023-08-13,24,1053916,111909,-,364,-,-,-,25
#스트레이키즈 #StrayKids #리노 #LeeKnow 선배님과의 #특 별한 #CAKEChallenge 🍰 제 점수는요? 바로 #5_STAR ⭐️ #ITZY #ITZY_CAKE,G6V22gB5eIY,2023-08-12,24,1609609,191009,-,1733,-,-,-,24
"Hurry up, join the #CAKEChallenge 🍰
#엔믹스 #NMIXX 와 함께하는 지금이 바로 #Party_O_Clock 🩵 #ITZY #ITZY_CAKE",9wvLBZDxPT8,2023-08-12,24,1195761,112270,-,513,-,-,-,25
리아&류진&유나의 #하트만들기 💝 #ITZY #LIA #RYUJIN #YUNA #ITZY_KILLMYDOUBT #ITZY_CAKE,I4-FEp5Vgl8,2023-08-10,24,289145,26167,-,289,-,-,-,18
