title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
[Nizi Project Season 2] Part 1 #8,Wzt1nH-w3qM,2023-09-08,10,77075,4726,-,486,JYP Entertainment|JYP|Globalaudition|Audition|NiziProject|NiziProject2|オーディション|Nizi|ニジプロ|Nizi2|ニジプロ2|오디션|보이그룹|니지|니지프로젝트|니지2|니지프로젝트2|글로벌오디션|보이그룹오디션|보컬오디션|댄스오디션|해외오디션|아이돌|일본|서바이벌|서바이벌프로그램|데뷔서바이벌|데뷔|데뷔프로그램|데뷔서바이벌프로그램|오디션프로그램|케이팝|KPOP|IDOL|KPOPIDOL|케이팝아이돌|박진영|J.Y.Park|니지프로|케이팝오디션|KPOPAudition|BoyGroup|BoyBand|BoyGroupAudition|KPOP_BoyBand|KPOP_BoyGroup|JYPBoygroup|JYPBoyBand|신인보이그룹|JYP신인|JYP신인보이그룹,-,50,27
[Nizi Project Season 2] Part 1 #6（Edit Ver.）,KKRCxN502xw,2023-09-08,10,194465,3413,-,550,JYP Entertainment|JYP|Globalaudition|Audition|NiziProject|NiziProject2|オーディション|Nizi|ニジプロ|Nizi2|ニジプロ2|오디션|보이그룹|니지|니지프로젝트|니지2|니지프로젝트2|글로벌오디션|보이그룹오디션|보컬오디션|댄스오디션|해외오디션|아이돌|일본|서바이벌|서바이벌프로그램|데뷔서바이벌|데뷔|데뷔프로그램|데뷔서바이벌프로그램|오디션프로그램|케이팝|KPOP|IDOL|KPOPIDOL|케이팝아이돌|박진영|J.Y.Park|니지프로|케이팝오디션|KPOPAudition|BoyGroup|BoyBand|BoyGroupAudition|KPOP_BoyBand|KPOP_BoyGroup|JYPBoygroup|JYPBoyBand|신인보이그룹|JYP신인|JYP신인보이그룹|Editver|NiziProjectSeason2Edit|NiziProject_edit,-,49,3
"A2K ep.17 ""Individual Performances Continue""",iKlSlIADqH4,2023-09-08,10,1356234,58038,-,6029,JYP Entertainment|JYP|A2K|America2Korea|Republic Records,-,45,28
[Nizi Project Season 2] Part 1 #8 Highlights,-W88xFcqVdA,2023-09-05,10,126242,2394,-,134,JYP Entertainment|JYP|Globalaudition|Audition|NiziProject|NiziProject2|オーディション|Nizi|ニジプロ|Nizi2|ニジプロ2|오디션|보이그룹|니지|니지프로젝트|니지2|니지프로젝트2|글로벌오디션|보이그룹오디션|보컬오디션|댄스오디션|해외오디션|아이돌|일본|서바이벌|서바이벌프로그램|데뷔서바이벌|데뷔|데뷔프로그램|데뷔서바이벌프로그램|오디션프로그램|케이팝|KPOP|IDOL|KPOPIDOL|케이팝아이돌|박진영|J.Y.Park|니지프로|케이팝오디션|KPOPAudition|BoyGroup|BoyBand|BoyGroupAudition|KPOP_BoyBand|KPOP_BoyGroup|JYPBoygroup|JYPBoyBand|신인보이그룹|JYP신인|JYP신인보이그룹,-,1,9
"A2K ep.16 ""Korean Boot Camp Begins"" AFTERPARTY with J.Y. Park",tSuk4sNDWIw,2023-09-05,10,-,6065,-,600,JYP Entertainment|JYP|A2K|America2Korea|Republic Records,-,6,21
"A2K ep.16 ""Korean Boot Camp Begins""",m7Koci1Kv4U,2023-09-05,10,2325487,87856,-,8354,JYP Entertainment|JYP|A2K|America2Korea|Republic Records,-,44,5
"Young K ""nothing but(이것밖에는 없다)"" M/V",on2HSs_uXSw,2023-09-04,10,3943938,52911,-,3551,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|Letters with notes|영케이 레터스 위드 노트|이것밖에는 없다,-,3,40
[Nizi Project Season 2] Part 1 #7,LA5ytQ_UcTE,2023-09-01,10,165163,7512,-,643,JYP Entertainment|JYP|Globalaudition|Audition|NiziProject|NiziProject2|オーディション|Nizi|ニジプロ|Nizi2|ニジプロ2|오디션|보이그룹|니지|니지프로젝트|니지2|니지프로젝트2|글로벌오디션|보이그룹오디션|보컬오디션|댄스오디션|해외오디션|아이돌|일본|서바이벌|서바이벌프로그램|데뷔서바이벌|데뷔|데뷔프로그램|데뷔서바이벌프로그램|오디션프로그램|케이팝|KPOP|IDOL|KPOPIDOL|케이팝아이돌|박진영|J.Y.Park|니지프로|케이팝오디션|KPOPAudition|BoyGroup|BoyBand|BoyGroupAudition|KPOP_BoyBand|KPOP_BoyGroup|JYPBoygroup|JYPBoyBand|신인보이그룹|JYP신인|JYP신인보이그룹,-,51,27
[Nizi Project Season 2] Part 1 #5（Edit Ver.）,8DBIjwqbEaM,2023-09-01,10,401853,5022,-,654,JYP Entertainment|JYP|Globalaudition|Audition|NiziProject|NiziProject2|オーディション|Nizi|ニジプロ|Nizi2|ニジプロ2|오디션|보이그룹|니지|니지프로젝트|니지2|니지프로젝트2|글로벌오디션|보이그룹오디션|보컬오디션|댄스오디션|해외오디션|아이돌|일본|서바이벌|서바이벌프로그램|데뷔서바이벌|데뷔|데뷔프로그램|데뷔서바이벌프로그램|오디션프로그램|케이팝|KPOP|IDOL|KPOPIDOL|케이팝아이돌|박진영|J.Y.Park|니지프로|케이팝오디션|KPOPAudition|BoyGroup|BoyBand|BoyGroupAudition|KPOP_BoyBand|KPOP_BoyGroup|JYPBoygroup|JYPBoyBand|신인보이그룹|JYP신인|JYP신인보이그룹|Editver|NiziProjectSeason2Edit|NiziProject_edit,-,45,12
A2K ep.15 “LA Boot Camp Rankings”,DD6v6ABVggo,2023-09-01,10,2262419,80341,-,10675,JYP Entertainment|JYP|A2K|America2Korea|Republic Records,-,33,44
"Young K ""nothing but(이것밖에는 없다)"" M/V Teaser",aYIdUNudo8U,2023-08-31,10,169415,23659,-,1625,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|Letters with notes|영케이 레터스 위드 노트|이것밖에는 없다,-,-,37
[Nizi Project Season 2] Part 1 #7 Highlights,TTX6LXYIZTc,2023-08-29,10,176109,3799,-,443,JYP Entertainment|JYP|Globalaudition|Audition|NiziProject|NiziProject2|オーディション|Nizi|ニジプロ|Nizi2|ニジプロ2|오디션|보이그룹|니지|니지프로젝트|니지2|니지프로젝트2|글로벌오디션|보이그룹오디션|보컬오디션|댄스오디션|해외오디션|아이돌|일본|서바이벌|서바이벌프로그램|데뷔서바이벌|데뷔|데뷔프로그램|데뷔서바이벌프로그램|오디션프로그램|케이팝|KPOP|IDOL|KPOPIDOL|케이팝아이돌|박진영|J.Y.Park|니지프로|케이팝오디션|KPOPAudition|BoyGroup|BoyBand|BoyGroupAudition|KPOP_BoyBand|KPOP_BoyGroup|JYPBoygroup|JYPBoyBand|신인보이그룹|JYP신인|JYP신인보이그룹,-,1,19
Young K ＜Letters with notes＞Live Album Sampler,HYVUgAb4oxk,2023-08-29,10,94852,11375,-,646,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|Letters with notes|영케이 레터스 위드 노트,-,6,34
"A2K ep.14 ""The Showcase Performances""",TDDih929qS0,2023-08-29,10,2330562,77246,-,8281,JYP Entertainment|JYP|A2K|America2Korea|Republic Records,-,36,45
[Nizi Project Season 2] Part 1 #6,sE4dOZBTu8Y,2023-08-25,10,171469,7298,-,962,JYP Entertainment|JYP|Globalaudition|Audition|NiziProject|NiziProject2|オーディション|Nizi|ニジプロ|Nizi2|ニジプロ2|오디션|보이그룹|니지|니지프로젝트|니지2|니지프로젝트2|글로벌오디션|보이그룹오디션|보컬오디션|댄스오디션|해외오디션|아이돌|일본|서바이벌|서바이벌프로그램|데뷔서바이벌|데뷔|데뷔프로그램|데뷔서바이벌프로그램|오디션프로그램|케이팝|KPOP|IDOL|KPOPIDOL|케이팝아이돌|박진영|J.Y.Park|니지프로|케이팝오디션|KPOPAudition|BoyGroup|BoyBand|BoyGroupAudition|KPOP_BoyBand|KPOP_BoyGroup|JYPBoygroup|JYPBoyBand|신인보이그룹|JYP신인|JYP신인보이그룹,-,54,2
[Nizi Project Season 2] Part 1 #4（Edit Ver.）,ijUvvfBCxC4,2023-08-25,10,551372,4907,-,508,JYP Entertainment|JYP|Globalaudition|Audition|NiziProject|NiziProject2|オーディション|Nizi|ニジプロ|Nizi2|ニジプロ2|오디션|보이그룹|니지|니지프로젝트|니지2|니지프로젝트2|글로벌오디션|보이그룹오디션|보컬오디션|댄스오디션|해외오디션|아이돌|일본|서바이벌|서바이벌프로그램|데뷔서바이벌|데뷔|데뷔프로그램|데뷔서바이벌프로그램|오디션프로그램|케이팝|KPOP|IDOL|KPOPIDOL|케이팝아이돌|박진영|J.Y.Park,-,46,36
"Young K ""let it be summer"" M/V",uTxtBbO8Psw,2023-08-25,10,401765,47258,-,2384,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|Letters with notes|영케이 레터스 위드 노트|let it be summer,-,3,22
"A2K ep.13 ""The Showcase Begins""",f0QQ6vjZElk,2023-08-25,10,2118666,70681,-,5310,JYP Entertainment|JYP|A2K|America2Korea|Republic Records,-,29,45
"Young K ""let it be summer"" M/V Teaser",NV0cPh_m3p4,2023-08-24,10,66753,10000,-,513,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|Letters with notes|영케이 레터스 위드 노트|let it be summer,-,-,33
[Nizi Project Season 2] Part 1 #6 Highlights,gRjJ8_bwqqM,2023-08-22,10,213459,3716,-,133,JYP Entertainment|JYP|Globalaudition|Audition|NiziProject|NiziProject2|オーディション|Nizi|ニジプロ|Nizi2|ニジプロ2|오디션|보이그룹|니지|니지프로젝트|니지2|니지프로젝트2|글로벌오디션|보이그룹오디션|보컬오디션|댄스오디션|해외오디션|아이돌|일본|서바이벌|서바이벌프로그램|데뷔서바이벌|데뷔|데뷔프로그램|데뷔서바이벌프로그램|오디션프로그램|케이팝|KPOP|IDOL|KPOPIDOL|케이팝아이돌|박진영|J.Y.Park,-,1,11
Young K ＜Letters with notes＞ HEXAGON: 6 Sides of Young K | Teaser,yXPdRpJKnQ8,2023-08-22,10,32936,4061,-,162,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|Letters with notes|영케이 레터스 위드 노트|Young K HEXAGON,-,-,45
"A2K ep.12 “Character Evaluation Rankings""",0r1_wSz96TQ,2023-08-22,10,1626214,51935,-,3594,JYP Entertainment|JYP|A2K|America2Korea|Republic Records,-,26,31
Young K ＜Letters with notes＞ Vocals Only Medley,i9nhJIb5D4I,2023-08-21,10,61640,8662,-,388,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|Letters with notes|영케이 레터스 위드 노트,-,3,38
"Young K ＜Letters with notes＞ Track 11. ""what is.."" Lyrics Spoiler",b-CeoTFMI8A,2023-08-20,10,40569,6130,-,81,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|Letters with notes|영케이 레터스 위드 노트|Young K what is..,-,-,20
"Young K ＜Letters with notes＞ Track 10. ""babo"" Lyrics Spoiler",LXXNYtc_8Gc,2023-08-20,10,35083,5678,-,64,JYP Entertainment|JYP|DAY6|데이식스|DAY6 Young K|DAY6 Sungjin|DAY6 Wonpil|DAY6 Dowoon|DAY6 영케이|DAY6 성진|DAY6 원필|DAY6 도운|데이식스 Young K|데이식스 영케이|데이식스 성진|데이식스 원필|데이식스 도운|Young K|Sungjin|Wonpil|Dowoon|영케이|성진|원필|도운|Even of Day|EoD|Letters with notes|영케이 레터스 위드 노트|Young K babo,-,-,29
