title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
"Can't help but dance with @NewKidsontheBlock 🕺 🕺 🕺 CARATs, show us your move too 😍",d1I5IKI1pFM,2023-09-09,10,194613,43836,-,451,-,-,-,31
#PSYCHO웃음챌린지 😈 with #LINYI #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,Kr8Rbx3tb9g,2023-09-08,10,299432,51841,-,472,-,-,-,22
#꼬잉_픽📌 지금부터 여러분도 웃음을 참게 됩니다 레드썬🤫,vJez_825yVY,2023-09-07,10,71585,12227,-,123,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,59
[GOING SEVENTEEN] EP.92 전참시 벌 #2 (Point of Omniscient Interfere Penalty #2),rnFPIn1aEO0,2023-09-06,10,1317285,103489,-,2325,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,26,9
[SVT Record] 하니의 베를린 패션위크 Vlog | 심장 쫄깃해지는(?) 베를린 여정 | 마무리는 쫑쫑이의 헤어 커트 #22,IycDTCrBvn8,2023-09-05,10,495803,52955,-,1558,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,11,36
"Dirty Dancing (feat. JOSHUA, DK & DINO of SEVENTEEN) (Dem Jointz Remix) 녹음 비하인드",qe-4vmFXIEY,2023-09-03,10,380638,65546,-,2313,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,3,27
[INSIDE SEVENTEEN] 도겸&승관 S2ND 광고 촬영 비하인드 (“S2ND” Shoot Sketch with DK & SEUNGKWAN),ZxLjV7-H-wQ,2023-09-02,10,111237,14826,-,427,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,5,15
SEVENTEEN (세븐틴) '今 -明日 世界が終わっても-' (Ima -Even if the world ends tomorrow-) M/V BEHIND THE SCENES,-3KjzwPo_GQ,2023-09-01,10,195950,26898,-,431,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,1,5
[INSIDE SEVENTEEN] 원우 Huxley 광고 촬영 비하인드 (WONWOO's Huxley Ad Shoot Sketch),3pVASNllii8,2023-08-31,10,118010,17569,-,669,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,4,50
#꼬잉_픽📌 호시의 고군분투 포도알 채우기🍇,6IhsI9s-z-8,2023-08-31,10,94478,14926,-,145,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,59
