title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
"전학생 같이 놀자~ ""싫어 난 혼자가 좋아✋🏻"" 완벽히 T스러운 행초딩의 전학 첫날🤓 #NMIXXIN무한도전 EP.1 | PICK NMIXX",NAmXAFtcng0,2023-08-18,24,36515,5607,-,441,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,21,13
하지만 너희는 아이돌이잖아... #NMIXXIN무한도전 #Shorts,8i6EQ3gigHw,2023-08-17,24,41793,6018,-,114,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,-,58
[NMIXX] 개그돌 게 섰거라~ NMIXX가 간다! #NMIXXIN무한도전,66mXfABEL8s,2023-08-16,24,59053,7459,-,624,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,2,18
다시 해보자 MBTI 테스트 (Leisure With Lily #11) 🙋‍♀️,DVHjMzNuhA0,2023-08-15,24,68672,7736,-,152,-,1,30,31
#있지 #ITZY #예지 #유나 선배님과 함께 왕! 하고 먹어버린 Party O'Clock🎂🥊 #Shorts,hTImHmXp-hE,2023-08-12,24,554388,50691,-,258,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,-,23
[NMIXX] 다음 활동도 기대하~쇼쇼쇼🎤✨ |'A Midsummer NMIXX's Dream' 활동 Behind #3 #MIXXTREAM,8QQUt6_NIx8,2023-08-11,24,51341,5304,-,250,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,-,11
[NMIXX] 음중 스페셜 MC부터 생방송 사고까지!? 👀 |'A Midsummer NMIXX's Dream' 활동 Behind #2 #MIXXTREAM,JqPv4xhdap8,2023-08-08,24,71064,6034,-,283,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,11,47
일단 들어와봐여👯‍♀️,Ut9cbXYWETI,2023-08-06,24,162890,12922,-,232,-,2,3,15
#제니파크 의 #제니 와 한림즈 징글링 밍글링🪩✨#Shorts,k66MBpy3h5I,2023-08-06,24,205276,22359,-,181,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,-,22
"[NMIXX] ""Party O’Clock"" Recording Behind #MIXXTREAM",j1HKsRR_0oE,2023-08-04,24,181258,13661,-,496,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,19,48
#투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #연준 #YEONJUN 님과 함께 Do Party Like That🎵🦊 #Shorts,mnhlztLA43k,2023-08-01,24,280957,33622,-,208,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,-,22
[NMIXX] 'A Midsummer NMIXX's Dream' 활동 Behind #1 #MIXXTREAM,Pg7VY4Q8HsU,2023-08-01,24,73047,6505,-,310,JYP Entertainment|JYP|NMIXX|엔믹스|릴리|LILY|LILY M|해원|HAEWON|오해원|설윤|SULLYOON|설윤아|배이|BAE|배진솔|지우|JIWOO|김지우|규진|KYUJIN|장규진|JYPn|kpop|girlgroup|#A Midsummer NMIXX's Dream|3rd Single|Single|3rd|Party O'Clock|Roller Coaster,-,17,20
