title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
"[INSIDE SEVENTEEN] 도겸 ‘ベテルギウス’ 커버 비하인드 (DK's ""ベテルギウス (Betelgeuse)"" Cover Sketch)",guJ_-EblVD0,2023-08-10,10,135981,19576,-,728,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,4,39
#꼬잉_픽📌 사이코러스 세븐틴 버전🎤🎤 (feat. INFP 2인조) #shorts,j2oh6yRW_GQ,2023-08-10,10,87665,15624,-,141,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,39
SEVENTEEN(세븐틴) GLOBAL OFFICIAL FANCLUB CARAT MEMBERSHIP RENEWAL Story Spoiler,uzG0GI-gKAI,2023-08-10,10,154914,27523,-,968,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,1,8
[GOING SEVENTEEN] EP.88 부밀리가 떴다 #4 (BOOmily Outing #4),Ri_ZrMpnTe4,2023-08-09,10,1888691,142948,-,4138,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,29,29
[SEVENTEEN’s SNAPSHOOT] EP.54 틈새 자전거 라이딩 (A Mini Cycling Sesh) #shorts,mHku1jcR4aE,2023-08-04,10,298834,49141,-,451,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,59
#꼬잉_픽📌 고잉 인격으로 갈아끼운 보컬팀 3연타🤣 #shorts,xsTb2LGmkuk,2023-08-03,10,162221,32057,-,267,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,55
#꼬잉_픽📌 막내의 원맨쇼🕺와 부담감이 낳은 찌리리공⚡ #shorts,udAGEhaQEzw,2023-08-03,10,97195,18775,-,179,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,59
[GOING SEVENTEEN] EP.87 부밀리가 떴다 #3 (BOOmily Outing #3),CZLIeVxWG3c,2023-08-02,10,2685736,171777,-,5338,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,28,14
"[INSIDE SEVENTEEN] 승관 ‘Still You(낭만닥터 김사부 3 OST)’ 녹음 비하인드 (SEUNGKWAN's ""Still You"" Recording Sketch)",w8jQkzLjjyk,2023-07-31,10,159177,20395,-,1063,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,6,55
[SEVENTEEN’s SNAPSHOOT] EP.53 라임은 포기 못 해 (Can't give up on rhyming) #shorts,CmJIqXV7bpg,2023-07-29,10,235444,31215,-,209,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,53
SEVENTEEN [GOING] Magazine Vol.2 Concept Film,qVj3GJbCkU4,2023-07-28,10,250679,40985,-,631,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,1,18
[INSIDE SEVENTEEN] 호시 코드그라피 광고 촬영 비하인드 #2 (HOSHI's Code:graphy Ads Shoot Sketch #2),IU5mSzMlW0I,2023-07-28,10,82231,11586,-,352,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,8,8
#꼬잉_픽📌 동그란 승관이의 동그랑땡 여정 😋 #shorts,sf5xYqAQpU4,2023-07-27,10,114360,18675,-,225,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,59
[GOING SEVENTEEN] EP.86 부밀리가 떴다 #2 (BOOmily Outing #2),A7TYMNqF-tY,2023-07-26,10,2725338,161774,-,3807,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,28,54
"[INSIDE SEVENTEEN] 정한, 준 ‘ELLE’ 촬영 비하인드 (JEONGHAN & JUN's ELLE Photoshoot Sketch)",a4BHRkORDVM,2023-07-25,10,126763,17413,-,530,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,5,44
#꼬잉_픽📌 오늘부터 제 이름은 김딸기입니다. #shorts,KPkaPhhnS8U,2023-07-20,10,109721,18963,-,178,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,51
[INSIDE SEVENTEEN] JUN ‘PSYCHO’ MV BEHIND,Pg4yyL1CT24,2023-07-20,10,118642,16123,-,510,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,9,24
[GOING SEVENTEEN] EP.85 부밀리가 떴다 #1 (BOOmily Outing #1),I2YKtm1cYqc,2023-07-19,10,3216676,196397,-,4425,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,26,12
"[INSIDE SEVENTEEN] 준 ‘PSYCHO’ 녹음, 안무 연습 비하인드 (JUN's Recording and Dance Practice Sketch)",_alyFQ-tI_k,2023-07-18,10,144655,17548,-,454,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,12,41
#PSYCHO웃음챌린지 😈 with #JUNGWON #JAY #ENHYPEN #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,MhNQLIqYHbU,2023-07-17,10,1024220,169952,-,817,-,-,-,21
[SPECIAL VIDEO] JUN - ‘PSYCHO’ (Performance Ver.),lEfdiEtg1Jo,2023-07-16,10,608196,80174,-,1378,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,2,21
"Code name SEVENTEEN🕶️ 조슈아, 버논 요원의 특별한 만남 | '미션 임파서블: 데드 레코닝 PART ONE' INTERVIEW🎙",RLNOw7Jdt9A,2023-07-15,10,951288,91826,-,2748,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,12,34
[Choreography Video] 준 (JUN) - PSYCHO (Fix ver.),yF6F6XnI17Q,2023-07-14,10,170081,27078,-,434,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,2,19
#PSYCHO웃음챌린지 😈 with #DINO #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,haiKqcOUHcw,2023-07-14,10,968196,175601,-,800,-,-,-,22
[Choreography Video] 준 (JUN) - PSYCHO (Moving Ver.),8OJ3QYShNpA,2023-07-14,10,286586,42891,-,898,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,2,18
#꼬잉_픽📌 콘잘알 디노의 그림 만들기 😎 #shorts,E8FBEPVr7BM,2023-07-13,10,156085,22715,-,104,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,58
[17:terview] EP. JUN : ‘PSYCHO’,CJRY7YEii0s,2023-07-13,10,82239,14917,-,649,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,11,7
#PSYCHO웃음챌린지 😈 with #Sumin #Sieun #STAYC #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,nm-ZAIjfqx4,2023-07-13,10,757563,93780,-,264,-,-,-,23
[GOING SEVENTEEN] EP.84 셉셉투어 : 먹어? 안 먹어? (TOUR SEV SEV : To eat or not to eat),mqkFmcU8cOQ,2023-07-12,10,1850960,132292,-,2779,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,29,35
#PSYCHO웃음챌린지 😈 with #HOSHI #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,csu9qi-KHDo,2023-07-12,10,1851874,285077,-,1642,-,-,-,23
[INSIDE SEVENTEEN] 호시 ‘STAY’ 스페셜 클립 비하인드 (HOSHI 'STAY' Sketch),gxqxYdiUtsk,2023-07-11,10,101026,15045,-,484,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,-,6
#PSYCHO웃음챌린지 😈 with #XIAOJUN #HENDERY #YANGYANG #WayV #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,kzMZG4ASYjg,2023-07-11,10,1004896,139296,-,615,-,-,-,25
#PSYCHO웃음챌린지 😈 with #TEN #WINWIN #WayV #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,HRDpf3NC6mg,2023-07-11,10,877113,150849,-,605,-,-,-,22
Just stay normal I know anyway 👑 #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,-zMjreo_xdg,2023-07-10,10,718668,135860,-,1085,-,-,-,24
#PSYCHO웃음챌린지 😈 with 싱어송라이터 #TIARAY #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,pudWGhsYxVM,2023-07-10,10,865668,110712,-,445,-,-,-,23
"의외라고 여기지마, 너와 나 모두 괴짜로서 존재해 🤙 #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts",wrdP_hg5u88,2023-07-09,10,659702,104849,-,409,-,-,-,24
#PSYCHO웃음챌린지 😈 with #SAKURA #HUHYUNJIN #LE_SSERAFIM #JUN #SEVENTEEN #PSYCHO #JUN_PSYCHO #shorts,VfI7fTs7kqk,2023-07-09,10,2076237,232834,-,571,-,-,-,24
[INSIDE SEVENTEEN] 도겸 ‘두산베어스 시구’ 비하인드 (DK's First Pitch Throw Sketch),RKyvuCpuJpU,2023-07-08,10,187716,21481,-,594,에스쿱스|정한|조슈아|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ,-,9,9
