title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
여기 짜릿해 💥🕺 | aespa 에스파 'Better Things' Dance Practice Behind The Scenes,HEmS5KUPJBU,2023-09-05,10,252452,17477,-,642,aespa|에스파|better things|카리나|지젤|윈터|닝닝|karina|giselle|winter|ningning|비하인드|behind|dance|practice,-,7,51
저희 네 명 다 아주 블링블링✨ | aespa 에스파 'Better Things' Performance + M COUNTDOWN Behind The Scenes,MUwXEaxwFpY,2023-09-04,10,183587,14559,-,500,aespa|에스파|better things|카리나|지젤|윈터|닝닝|karina|giselle|winter|ningning|비하인드|behind|performance|퍼포먼스|dance|음악방송|m countdown,-,9,40
Find a goldfish in MV #fitcheck 🐠❣️,rjWBNAm12NU,2023-09-04,10,237942,38513,-,456,BetterThings|aespa|윈터|WINTER|GISELLE|지젤|fitcheck|makeup|outfit|ootd|에스파|베러띵스|베터띵스|MV|MusicVideo,-,-,54
Tropical vibe #fitcheck 🦩🏝️,6Yuj8f2n_fQ,2023-09-04,10,79969,12345,-,223,BetterThings|aespa|fitcheck|makeup|outfit|ootd|에스파|베러띵스|베터띵스|MV|MusicVideo|NINGNING|닝닝|KARINA|카리나,-,-,52
Better things to do with my time 🐠💦💙 #aespa #에스파 #KARINA #카리나 #BetterThings #shorts,Jm8LNN4l5Jc,2023-09-03,10,172047,21240,-,360,-,-,-,21
Better things to do with my time ⏰❤️‍🔥🌙  #aespa #에스파 #GISELLE #지젤 #BetterThings #shorts,0RZpdti3g98,2023-09-03,10,1322506,122850,-,1266,-,-,-,21
Me = obsessed with MY 🫶 #aespa #æspa #에스파 #KARINA #GISELLE #audiz #shorts,fPYhjX-ZKMQ,2023-09-03,10,575988,71395,-,621,-,-,-,17
Better things to do with my time ⭐️🪸⏰  #aespa #에스파 #WINTER #윈터 #BetterThings #shorts,S1voL_OJ9lU,2023-09-02,10,1251426,101674,-,585,-,-,-,21
Better things to do with my time 🦋🫧🐠 #aespa #에스파 #NINGNING #닝닝 #BetterThings #shorts,rJa-ppEGh1Q,2023-09-02,10,540772,57659,-,431,-,-,-,21
#audiz 💙🖤 #gossipgirl #aespa #æspa #에스파 #KARINA #GISELLE #shorts,05Ph5EqjbhU,2023-09-02,10,113646,17486,-,322,-,-,-,8
I love seeing you today in LA 🏝️❤️‍🔥 | aespa LIVE TOUR 2023 ‘SYNK : HYPER LINE’ Record #06,xolZkDdMTaw,2023-09-01,10,149274,12817,-,473,aespa|에스파|카리나|지젤|윈터|닝닝|karina|giselle|winter|ningning|hyper line|1st concert|콘서트|하이퍼 라인|단콘|behind|비하인드|concert|japan|tour|투어|la,-,9,24
Bombastic side eye 👀 #bombasticsideeye #aespa #æspa #에스파 #BetterThings #aespaBetterThings #shorts,0T4wPeIU_04,2023-09-01,10,2883017,263514,-,2295,-,-,-,11
