title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
NCT Universe : LASTART의 최종 데뷔 멤버는? [#라스타트] | Ep.7,ZNZ1GZrMQrc,2023-09-08,10,575,58,-,3,-,-,-,57
"마지막 무대를 앞두고, NCT 태용의 깜짝 연습실 방문! [#라스타트] | Ep.7",NOPkhfN41qQ,2023-09-08,10,195,49,-,3,-,-,-,46
D.O. 디오 '별 떨어진다 (I Do)' MV,5vmJ_wq2NeA,2023-09-08,10,180051,73645,-,11388,디오|D.O.|EXO|엑소|별 떨어진다|I Do|기대|미니 2집|MV|Music Video|뮤직비디오|뮤비,-,2,48
[#라스타트] NCT 명곡 미션 '90's Love' 무대 다시 보기 | NCT Universe : LASTART💫,uL9hczB1Uag,2023-09-07,10,29393,2426,-,133,-,-,-,4
[#라스타트] NCT 명곡 미션 'BOSS' 무대 다시 보기 | NCT Universe : LASTART💫,F3yxqr-FlVs,2023-09-07,10,39436,3812,-,135,-,-,3,59
[NCT LAB] NCT U 엔시티 유 'N.Y.C.T' MV,8umUXHLGl3o,2023-09-07,10,434113,94473,-,4792,NCT|NCT 127|NCT DREAM|NCT LAB|엔시티|엔씨티|태일|해찬|TAEIL|HAECHAN|NCT U|엔시티 유|mv|music video,-,4,2
[NCT LAB] NCT U 엔시티 유 'N.Y.C.T' MV Teaser,3hMKFTV0RwU,2023-09-05,10,196689,32258,-,1160,NCT|NCT 127|NCT DREAM|NCT LAB|엔시티|엔씨티|태일|해찬|TAEIL|HAECHAN|NCT U|엔시티 유|mv|music video|teaser,-,-,20
"SMTOWN A to Z | 팬에게 필요한 모든 기능, SMTOWN APP 하나로",2VH8k81lTEQ,2023-09-05,10,5969,412,-,46,-,-,-,36
RIIZE 라이즈 'Get A Guitar' MV,iUw3LPM7OBU,2023-09-04,10,14872840,284123,-,23204,RIIZE|SUNGCHAN|SHOTARO|SOHEE|SEUNGHAN|WONBIN|EUNSEOK|ANTON|Rise and Realize|Get A Guitar|겟어기타|라이즈|성찬|쇼타로|소희|승한|원빈|은석|앤톤|데뷔|debut|MV|music video|뮤비|뮤직비디오,-,2,54
k-회식의 마무리는 역시 밥이지🍚 [#라스타트] | Ep.6,uwfpu-ZjVMM,2023-09-01,10,29170,2164,-,13,-,-,-,52
대영의 '야생화' 보컬 솔로 무대 [#라스타트] | Ep.6,UxHPDQ7oxCc,2023-09-01,10,23358,2151,-,30,-,-,-,59
NCT 텐이 알려주는 90's Love 잘추는 법 [#라스타트] | Ep.6,8s33vkFAy0o,2023-09-01,10,53957,4971,-,34,-,-,-,51
