title,videoId,date,categoryId,view,like,dislike,comment,tags,hour,min,sec
BABYMONSTER (#7) - RUKA (Live Performance),rCN3xgEPEwo,2023-02-05,10,12534456,285845,-,15604,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,2,1
BABYMONSTER (#6) - PHARITA (Live Performance),79PhScM2_3k,2023-02-01,10,15926472,356891,-,14338,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,1,39
BABYMONSTER (#5) - RORA (Live Performance),y54f8yCK1Lc,2023-01-29,10,11774311,250822,-,11230,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,1,36
BABYMONSTER (#4) - ASA (Live Performance),SlGkck6xWWI,2023-01-25,10,15146648,402755,-,20206,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,1,35
BABYMONSTER (#3) - CHIQUITA (Live Performance),_9GF5oklUNs,2023-01-22,10,16890164,486264,-,28861,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,1,56
BABYMONSTER - Dance Performance,ly-p1Ve_RKQ,2023-01-18,10,18614352,525361,-,19670,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,1,21
BABYMONSTER (#2) - AHYEON (Live Performance),ysJCTCQYJyg,2023-01-15,10,15320160,468469,-,22708,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,1,27
BABYMONSTER (#1) - HARAM (Live Performance),aVsAVYDYhFI,2023-01-11,10,15456219,481878,-,27957,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,2,23
YG NEXT MOVEMENT,rYyUpQ_veL4,2022-12-31,10,32185987,807149,-,44571,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,1,35
[Playlist] 🌞Happy New Year 🫰💛 2023년에는 MONEY MANY 벌게 해주세요 | 대박기원 새해 첫 곡 플레이리스트,44BOD2O7FV4,2022-12-26,10,236709,25268,-,1549,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,34,48
NVP PROJECT – YG PLUS VIRTUAL ARTIST BRIEFING,4qlH5qQb8CA,2022-12-01,10,137637,9537,-,450,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,3,19
NVP PROJECT – YG PLUS VIRTUAL ARTIST TEASER,JUV3vNzU7mU,2022-11-21,10,61192,4130,-,316,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,-,53
NVP PROJECT – YG PLUS VIRTUAL ARTIST TEASER,IUwX4Vgi8PI,2022-11-21,10,96946,5149,-,448,YG Entertainment|YG 와이지|케이팝|K pop|K-pop,-,-,51
YG FAMILY BALANCE GAME,AjOyhem1Nxk,2022-03-05,10,1455673,105262,-,1809,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|YG FAMILY|출장 십오야2|AKMU|악뮤|LEECHANHYUK|이찬혁|WINNER|위너|MINO|송민호|JINU|김진우|iKON|아이콘|JAY|김진환|SONG|송윤형|TREASURE|트레저|CHOIHYUNSUK|최현석|JIHOON|지훈|YG,-,2,21
YG FAMILY on MINO CAM 🎥 (JINU & JENNIE ver.),g-9sOZAh2YA,2022-03-04,10,1125122,115777,-,1004,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|YG FAMILY|출장십오야2|WINNER|위너|MINO|송민호|JINU|김진우|BLACKPINK|블랙핑크|JENNIE|제니|YG,-,-,59
YG FAMILY on MINO CAM 🎥 (JINU & JAY ver.),nLyVQykGacs,2022-03-04,10,193427,26609,-,237,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|YG FAMILY|출장십오야2|WINNER|위너|MINO|송민호|JINU|김진우|iKON|아이콘|JAY|김진환|YG,-,-,50
YG FAMILY on MINO CAM 🎥 (SONG & CHOI HYUN SUK & JIHOON ver.),ORh_XvCA0Tg,2022-03-04,10,283885,41101,-,245,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|YG FAMILY|출장십오야2|WINNER|위너|MINO|송민호|iKON|아이콘|SONG|송윤형|TREASURE|트레저|CHOIHYUNSUK|최현석|JIHOON|지훈|YG,-,-,55
YG FAMILY BEST PHOTOTIME CLIP (LEE CHANHYUK & SONG ver.),VgexQSYO_dk,2022-02-25,10,3097666,71439,-,536,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|YG FAMILY|출장십오야2|SECHSKIES|젝스키스|EUNJIWON|은지원|AKMU|악뮤|LEECHANHYUK|이찬혁|WINNER|위너|MINO|송민호|JINU|김진우|iKON|아이콘|JAY|김진환|SONG|송윤형|TREASURE|트레저|CHOIHYUNSUK|최현석|JIHOON|지훈|YG,-,-,28
YG FAMILY BEST PHOTOTIME CLIP (MINO & CHOI HYUN SUK ver.),uULpIqwW-fM,2022-02-25,10,411876,50128,-,584,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|YG FAMILY|출장십오야2|SECHSKIES|젝스키스|EUNJIWON|은지원|AKMU|악뮤|LEECHANHYUK|이찬혁|WINNER|위너|MINO|송민호|JINU|김진우|iKON|아이콘|JAY|김진환|SONG|송윤형|TREASURE|트레저|CHOIHYUNSUK|최현석|JIHOON|지훈|YG,-,-,18
YG FAMILY BEST PHOTOTIME CLIP (JINU & JAY & JIHOON ver.),Y27edjSk9mk,2022-02-25,10,829433,74736,-,557,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|YG FAMILY|출장십오야2|SECHSKIES|젝스키스|EUNJIWON|은지원|AKMU|악뮤|LEECHANHYUK|이찬혁|WINNER|위너|MINO|송민호|JINU|김진우|iKON|아이콘|JAY|김진환|SONG|송윤형|TREASURE|트레저|CHOIHYUNSUK|최현석|JIHOON|지훈|YG,-,-,15
YG FAMILY TONIGHT ON 🧳출장 십오야2,fyoK2QI8tts,2022-02-25,10,777635,91786,-,2259,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|출장 십오야|YG 출장 십오야|YGFAMILY|출장십오야2|SECHSKIES|젝스키스|EUNJIWON|은지원|AKMU|악뮤|LEECHANHYUK|이찬혁|WINNER|위너|MINO|송민호|JINU|김진우|iKON|아이콘|JAY|김진환|SONG|송윤형|TREASURE|트레저|CHOIHYUNSUK|최현석|JIHOON|지훈|YG,-,-,30
"VIINI (권현빈) - '달을 사랑해 (Love The Moon) (Feat. 이수현, BLOO)' M/V",Md9RRt2r3TU,2020-03-04,10,2342698,159654,-,7827,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|권현빈|VIINI|달을 사랑해|Love The Moon|AKMU|수현|AKMU 수현|BLOO,-,4,8
"VIINI (권현빈) - '달을 사랑해 (Love The Moon) (Feat. 이수현, BLOO)' M/V TEASER",DhLgjeRfXOw,2020-03-02,10,198383,17383,-,717,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|권현빈|VIINI|달을 사랑해|Love The Moon|AKMU|수현|AKMU 수현|BLOO,-,-,33
Blue.D - 'NOBODY' Special Film with MINO of WINNER,feh0FWCPtao,2019-12-04,10,707005,53976,-,1192,YG Entertainment|YG|케이팝|K pop|K-pop|Blue.D|BlueD|MINO|WINNER|NOBODY|블루디|송민호|위너|노바디|미노|YGX|와이지,-,3,41
Blue.D - 'NOBODY (Feat. MINO of WINNER)' M/V,rJOdXEJ2gmU,2019-12-02,10,4624587,277512,-,8654,YG Entertainment|YG|케이팝|K pop|K-pop|Blue.D|BlueD|MINO|WINNER|NOBODY|블루디|송민호|위너|노바디|미노|YGX|와이지,-,3,53
Blue.D - 'NOBODY (Feat. MINO of WINNER)' M/V TEASER,34quVIHs4j4,2019-11-21,10,244056,19173,-,688,YG Entertainment|YG|케이팝|K pop|K-pop|Blue.D|BlueD|MINO|WINNER|NOBODY|블루디|송민호|위너|노바디|미노|YGX|와이지,-,-,17
Anda - Countdown Film : Ready for the Album,VRqWTDQQMSo,2019-03-30,10,413426,28648,-,1485,YG Entertainment|YG|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|YG X|THE BLACK LABEL|와이지,-,3,3
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) 0324 SBS Inkigayo,7jI4fDlFHzw,2019-03-24,10,476313,31448,-,1038,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|YG X|THE BLACK LABEL|와이지|안다 인기가요,-,2,57
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) 0317 SBS Inkigayo,yYQ-WKcNcaM,2019-03-17,10,1242145,63900,-,2025,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|YG X|THE BLACK LABEL|와이지|안다 인기가요,-,2,57
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) 0310 SBS Inkigayo,g2c-wHxgjbQ,2019-03-10,10,1238415,80180,-,3840,YG Entertainment|YG|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|YG X|THE BLACK LABEL|와이지|안다 인기가요,-,2,57
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) M/V BEHIND THE SCENE,5hzFTXBlMgs,2019-03-09,10,211261,12553,-,378,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|TEASER|티저|MOVING TEASER|YG X|THE BLACK LABEL|BEHIND THE SCENE,-,2,29
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) PERFORMANCE VIDEO,ERkzsdRUc0o,2019-03-08,10,3268126,122052,-,3776,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|TEASER|티저|MOVING TEASER|YG X|THE BLACK LABEL|뭘 기다리고 있어 안무영상,-,3,3
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) THE INTERVIEW,7TLO-AjJGZY,2019-03-07,10,586926,35550,-,1075,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|TEASER|티저|MOVING TEASER|YG X|THE BLACK LABEL,-,3,42
R.Tee x Anda - '뭘 기다리고 있어(What You Waiting For)' M/V,u1xr0L1heHI,2019-03-06,10,13733184,458758,-,22312,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|TEASER|티저|MOVING TEASER|YG X|THE BLACK LABEL,-,3,2
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) PERFORMANCE VIDEO TEASER 03,qGoJwuqhGw4,2019-03-04,10,818279,26766,-,587,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|TEASER|티저|MOVING TEASER|YG X|THE BLACK LABEL,-,-,25
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) D-4 CLIP,ToYkxeq00wM,2019-03-02,10,407053,16587,-,254,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|TEASER|티저|MOVING TEASER|YG X|THE BLACK LABEL,-,-,14
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) PERFORMANCE VIDEO TEASER 02,3M8HEwN-zNs,2019-03-01,10,633764,25703,-,808,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|TEASER|티저|MOVING TEASER|YG X|THE BLACK LABEL,-,-,37
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) MOVING TEASER,7p-6GwaLZTk,2019-02-28,10,588612,26212,-,657,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|TEASER|티저|MOVING TEASER|YG X|THE BLACK LABEL,-,-,14
R.Tee x Anda - 뭘 기다리고 있어(What You Waiting For) PERFORMANCE VIDEO TEASER 01,NFyQ65LJyeQ,2019-02-25,10,285282,12703,-,529,YG Entertainment|YG 와이지|케이팝|K pop|K-pop|R.Tee|Anda|알티|안다|뭘 기다리고 있어|What You Waiting For|PERFORMANCE|TEASER|티저,-,-,17
YG보석함ㅣ 티저 1. 11월 16일 YG보석함 열린다!,HYAO9xrZX30,2018-10-31,10,347856,14933,-,1378,YG Entertainment|와이지|YG|보석함|YG 보석함|신인|데뷔|서바이벌|YG TREASURE BOX|TREASURE|COMINGSOON|EPISODE|20181116,-,1,50
