title,videoId,date,view,like,hour,min,sec,log_like,view_log_like
TXT (투모로우바이투게더) 'Sugar Rush Ride [Japanese Ver.]' Official MV,frooLFFYVbI,2023-06-27,3328512,318547,-,3,54,12.671525309826453,42177324.052061066
&TEAM 'FIREWORK (Korean ver.)' Official Performance MV,c7Y910enny8,2023-06-20,905936,58795,-,3,17,10.981812096257515,9948818.923235148
ENHYPEN (엔하이픈) 'Sacrifice (Eat Me Up)' Official MV (Performance ver.),chPTtlYioBc,2023-06-20,2099212,188576,-,3,25,12.14725638763764,25499666.376005586
BOYNEXTDOOR (보이넥스트도어) 'Serenade' Official MV (Performance ver.),BpTrxXJ6pTg,2023-06-20,446743,39957,-,3,22,10.59555915486914,4733491.883523704
&TEAM 'FIREWORK' Official MV (MAKI),3Q6kJTKCrp4,2023-06-13,75514,11753,-,-,15,9.371863806132854,707706.9234563163
&TEAM 'FIREWORK' Official MV (TAKI),J5cMY2cKje4,2023-06-13,60007,11433,-,-,15,9.34425918954197,560720.9611868451
&TEAM 'FIREWORK' Official MV (HARUA),YQvSDvWRag8,2023-06-13,50860,10858,-,-,15,9.292657414465397,472624.5560997101
&TEAM 'FIREWORK' Official MV (JO),I-FwazZnCP4,2023-06-13,37112,9113,-,-,15,9.117457244496126,338367.07325774024
&TEAM 'FIREWORK' Official MV (YUMA),E8umUj_DgNQ,2023-06-13,43268,9745,-,-,15,9.184509611941662,397395.36188949185
&TEAM 'FIREWORK' Official MV (NICHOLAS),dl9PCrNZ4Jo,2023-06-13,118961,15758,-,-,15,9.665103451805633,1149770.3717302498
&TEAM 'FIREWORK' Official MV (K),DVs4Y0QVDD4,2023-06-13,70230,12661,-,-,15,9.446281681520253,663412.3624931674
&TEAM 'FIREWORK' Official MV (FUMA),JDSRsuCBRXY,2023-06-13,41882,9910,-,-,15,9.201299627324033,385368.83099158516
&TEAM 'FIREWORK' Official MV (EJ),2iXw_NdmSWw,2023-06-13,45648,10556,-,-,15,9.264449697623215,422903.59979710454
&TEAM 'FIREWORK' Official MV,dg4ToiMb14I,2023-06-13,112604,19039,-,-,36,9.854244785957677,1109627.3798779782
