title,videoId,date,view,like,hour,min,sec,log_like,view_log_like
"Young K ""Better Day"" M/V",Ufz08e09ZAY,2023-06-23,229095,27741,-,3,20,10.230666742245749,2343794.59731479
"Stray Kids ""특(S-Class)"" M/V",JsOOis4bBFg,2023-06-02,120523051,2797641,-,3,31,14.844287120042845,1789078773.6275668
"Stray Kids ""특(S-Class) (SKZOO ver.)"" M/V Teaser",6ggV_YgYsDI,2023-06-01,2231881,330805,-,-,33,12.70928435689048,28365610.279741082
"Stray Kids ""특(S-Class)"" M/V Teaser 2",9_nu3bnLs3Y,2023-05-29,2937298,412451,-,-,37,12.929872689822245,37978889.1920695
"Stray Kids ""특(S-Class)"" M/V Teaser 1",GiPoIfB6Tsg,2023-05-28,2310648,418044,-,-,49,12.94334196912501,29907507.234274767
"YAOCHEN- ""Lonely"" M/V",0TF850hLwXs,2023-05-23,202612,21415,-,3,48,9.971846890049472,2020415.8420867035
"Xdinary Heroes ""Dear H."" M/V",z6veDdj2gV0,2023-05-15,473051,70739,-,3,49,11.166752326385875,5282443.354749165
"Xdinary Heroes ""Good enough"" M/V",TFZszieg4J0,2023-05-08,1809882,152219,-,4,13,11.933075552360833,21597458.64685793
"BOY STORY ""哈?! (What's Poppin)"" M/V",SbSSWKa1u9w,2023-04-28,522313,49195,-,3,38,10.803547271299866,5642833.185914447
"YAOCHEN- ""YAOCHEN"" M/V",hf3_mQxSrUI,2023-04-27,259430,24463,-,3,24,10.104917050943584,2621518.630526294
"BOY STORY ""哈?! (What's Poppin)"" M/V Teaser",f4qNA5HHaR8,2023-04-27,130148,13488,-,-,17,9.509555680241636,1237649.6526720885
"YAOCHEN- ""YAOCHEN"" M/V Teaser",8oTtROJai6w,2023-04-27,32355,4434,-,-,37,8.397057390176256,271686.7918591528
"Xdinary Heroes ""Freakin' Bad"" M/V",YSZSCQkUnx4,2023-04-26,17926564,280028,-,3,22,12.54264487715172,224846526.11953244
"Xdinary Heroes ""Freakin' Bad"" M/V Teaser 2",aU9V1CtPDk8,2023-04-21,197450,44241,-,-,31,10.69740723991905,2112203.0595220164
"Xdinary Heroes ""Freakin' Bad"" M/V Teaser 1",QK2TI-W_2pU,2023-04-19,212626,44946,-,-,23,10.713217048175938,2277908.488085457
"NMIXX ""Love Me Like This"" M/V",EDnwWcFpObo,2023-03-20,71115280,922319,-,3,32,13.734646429683853,976743226.5479674
"NMIXX ""Love Me Like This"" M/V Teaser",sYd00KGZQJI,2023-03-17,1845359,182373,-,-,35,12.113809319349603,22354327.051745664
"NMIXX ""Young, Dumb, Stupid"" M/V",5eh6Vj_vVg4,2023-03-12,44091695,916567,-,3,49,13.728390447790678,605308004.4649
"TWICE ""SET ME FREE"" M/V",w4cTYnOPdNk,2023-03-10,84441824,1889073,-,3,32,14.451596790522556,1220319192.7042706
"TWICE ""SET ME FREE"" M/V Teaser 2",CptbHRxmpTg,2023-03-07,2388082,251034,-,-,19,12.433343667107623,29691844.211233705
"TWICE ""SET ME FREE"" M/V Teaser 1",oqAgQuJg1zo,2023-03-05,2187372,243890,-,-,32,12.404472582953467,27133196.00272009
"TWICE Pre-release english track ""MOONLIGHT SUNRISE"" M/V",cKlEE_EYuNM,2023-01-20,99408065,2107048,-,3,24,14.560798473732344,1447460801.1286857
"TWICE Pre-release english track ""MOONLIGHT SUNRISE"" M/V Teaser 2",rcNPgc7hPBI,2023-01-18,3964456,271399,-,-,10,12.511345341777739,49600678.108282804
"TWICE Pre-release english track ""MOONLIGHT SUNRISE"" M/V Teaser 1",2P997RmZRU4,2023-01-17,3413012,264898,-,-,18,12.487100125212784,42618622.57255273
스키즈는 리허설중💙,Agr0CDS6LIk,2023-06-30,701277,107610,-,8,35,11.586268859194439,8125183.866769298
#승민 의 #특챌린지 #S_Class_Challenge ✨ w/ #박진영 #JYPark PD님!⭐ #StrayKids #스트레이키즈 #Seungmin #특 #S_Class,CLeNwA-kpsQ,2023-06-27,5246869,600330,-,-,32,13.30523478300372,69810823.92066394
"Stray Kids ""★★★★★ (5-STAR)"" Trailer MAKING FILM",-QgjT5j0AiQ,2023-06-26,1536192,136498,-,11,39,11.824065241485158,18164034.43144757
#현진 의 #특챌린지 #S_Class_Challenge 🌟 w/ #TAEYANG #태양 선배님!🌠 #StrayKids #스트레이키즈 #Hyunjin #특 #S_Class,TZiZWWscf6A,2023-06-26,3384052,418243,-,-,30,12.943817882307341,43802552.79225792
"Stray Kids ""TOPLINE (Feat. Tiger JK)"" Video MAKING FILM",U_kI6bwaNQg,2023-06-23,941669,135915,-,12,40,11.819784969324271,11130325.092278617
"Stray Kids ""TOPLINE (Feat. Tiger JK)"" Video",b3GYcA7j5mg,2023-06-21,20208476,1083818,-,3,31,13.896000550206537,280816993.6148356
"Stray Kids ""죽어보자(GET LIT)"" Video MAKING FILM",u2vTCh7mC4M,2023-06-21,639871,105721,-,10,43,11.568558827621654,7402385.305589096
#창빈 의 #특챌린지 #S_Class_Challenge ✨ w/ #SEVENTEEN #세븐틴 #DINO #디노 선배님!⭐ #StrayKids #스트레이키즈 #Changbin,roQGG8IpXQ0,2023-06-20,1971324,338892,-,-,38,12.733436751533105,25101729.470779248
"Stray Kids ""죽어보자(GET LIT)"" Video",T8WVJWiJduM,2023-06-18,9469110,679298,-,2,57,13.428815190967788,127158928.21294498
[RACHA LOG] Ep.04 탄수라차 : Hyunjin X Seungmin X I.N,LIjxH_pY2Ew,2023-06-17,1009898,121993,-,22,14,11.711718945020088,11827641.539137898
#현진 의 #특챌린지 #S_Class_Challenge 🌠 w/ #2PM #WOOYOUNG #우영 선배님!🌟 #StrayKids #스트레이키즈 #Hyunjin #5_STAR,YkBnKnyPD6I,2023-06-17,3278684,378257,-,-,27,12.84332913775828,42109217.75070187
아기빵 팝업스토어 방문하다🦊,LO8swDyouM8,2023-06-16,551499,86833,-,17,49,11.371742012728488,6271504.348277749
#창빈 의 #특챌린지 #S_Class_Challenge 💫 w/ #TOMORROW_X_TOGETHER #연준 #YEONJUN ✨ #StrayKids #스트레이키즈 #Changbin,3LiU8qy59xc,2023-06-16,1755374,339195,-,-,40,12.734330442225204,22353512.565690625
"Stray Kids ""FNF"" Video MAKING FILM",xmpsbUw_NnQ,2023-06-16,596783,98712,-,9,10,11.49996179857837,6862981.7020409955
#필릭스 의 #특챌린지 #S_Class_Challenge 💫 w/ #NCT #TAEYONG #태용 선배님!🌠 #StrayKids #스트레이키즈 #Felix #특 #S_Class,9WQpPoAbU0M,2023-06-16,4504318,545592,-,-,28,13.209626722647291,59500359.4201012
#창빈 의 #특챌린지 #S_Class_Challenge ⭐ w/ #여자아이들 #GIDLE #소연 #SOYEON!✨ #StrayKids #스트레이키즈 #Changbin #5_STAR,yeqnJMgrlDM,2023-06-16,4595282,479737,-,-,25,13.080993316056217,60110853.12739345
#창빈 의 #특챌린지 #S_Class_Challenge ⭐ w/ #LE_SSERAFIM #KIMCHAEWON #김채원 #SAKURA #사쿠라!💫 #StrayKids #스트레이키즈,6b0Z8V5tqzI,2023-06-15,5065583,497693,-,-,26,13.117738700050127,66448994.15741602
#창빈 의 #특챌린지 #S_Class_Challenge ✨ w/ #ITZY #CHAERYEONG #채령!🌟 #StrayKids #스트레이키즈 #Changbin #5_STAR,zFAilhAA_As,2023-06-15,7177185,777803,-,-,30,13.564228557729002,97352977.74110423
"Stray Kids ""FNF"" Video",UcGWYKHBDA4,2023-06-14,6226026,562125,-,2,58,13.239479524073008,82429343.74334617
"Stray Kids ""DLC"" Video MAKING FILM",lkRu2wTluz4,2023-06-14,848286,127649,-,14,39,11.757039588718067,9973332.084555294
