title,videoId,date,view,like,hour,min,sec,log_like,view_log_like
EXO 엑소 'Hear Me Out' MV,r2VZQa2IgP4,2023-06-30,10878744,974429,-,3,36,13.789606937399656,150013603.73259488
SHINee 샤이니 'HARD' MV,lrDeQ4sF0zo,2023-06-26,26304137,447285,-,3,11,13.010951254318067,342241844.2939043
SHINee 샤이니 'HARD' MV Teaser,tov_DF_Q3aY,2023-06-24,292294,40931,-,-,31,10.619643001144993,3104057.9313766747
NCT DREAM 엔시티 드림 'Broken Melodies' MV,2R_S5TgDWMY,2023-06-19,15202304,995033,-,3,53,13.810531181419902,209951893.4214245
NCT DREAM 엔시티 드림 'Broken Melodies' MV Teaser,pyiNH6dZTSo,2023-06-17,880577,125818,-,-,31,11.742591697273632,10340256.169010123
EXO 엑소 'Let Me In' MV,91VhCIQNjIc,2023-06-12,14117082,1178565,-,-,4,13.97980815469522,197354098.0641011
SHINee 샤이니 'The Feeling' MV,xSwJGduvM_g,2023-06-09,13485904,259614,-,4,28,12.466951191479675,168128106.94098052
SHINee 샤이니 'The Feeling' MV Teaser,5eDNTSBqWTQ,2023-06-08,282905,46371,-,-,29,10.744429542820429,3039652.8398116133
TAEYONG 태용 '샤랄라 (SHALALA)' MV,aO5DPf0vebc,2023-06-05,9429995,532247,-,3,29,13.184862946290805,124333191.65920755
TAEYONG 태용 '샤랄라 (SHALALA)' MV Teaser,pTL6WhzIYB4,2023-06-03,632226,97238,-,-,24,11.484916860550916,7261063.0470786635
ZHOUMI 조미 'Mañana (Our Drama) (Feat. 은혁)' MV,KHRZsUAkZPQ,2023-06-01,276727,24760,-,3,22,10.116984726798533,2799642.8324927776
ZHOUMI 조미 'Mañana (Our Drama) (Feat. 은혁)' MV Teaser #2,gd--Gg33wg4,2023-05-31,37753,4631,-,-,23,8.440528106480752,318655.2576039678
ZHOUMI 조미 'Mañana (Our Drama) (Feat. 은혁)' MV Teaser #1,qrQk-y2R0MM,2023-05-30,37441,4676,-,-,17,8.450198322591959,316383.87539616553
"[STATION] 양희은 X 첸 (CHEN) '나의 꽃, 너의 빛 (Bloom)' MV",LHTji0cBhEU,2023-05-30,334282,49061,-,4,21,10.800819700808985,3610519.611225829
"[STATION] 양희은 X 첸 (CHEN) '나의 꽃, 너의 빛 (Bloom)' MV Teaser",Mb9PuH3g6yk,2023-05-29,76869,13861,-,-,34,9.536834420213353,733086.9250473803
YESUNG '束の間の恋' MV,TojVe_CYHjk,2023-05-24,444477,27681,-,5,15,10.228501536246666,4546333.6773263095
SM Classics TOWN Orchestra 'Hello Future (Orchestra Ver.)' MV,V3tJfvXZxe8,2023-05-19,521462,83392,-,5,37,11.331307660484518,5908846.355251578
SM Classics TOWN Orchestra 'Hello Future (Orchestra Ver.)' MV Teaser,GbXHb56g01c,2023-05-18,92888,15862,-,-,35,9.671681590643265,898383.1595916717
YESUNG '束の間の恋' MV Teaser,4OtvJuOFCq0,2023-05-12,73629,8820,-,-,49,9.084777149000837,668903.0567037826
SUNGMIN 성민 '사랑이 따끔 (Lovesick)' MV,0Wn8S14byoY,2023-05-10,331067,16630,-,3,17,9.718963572186974,3217628.1129532247
SUNGMIN 성민 '사랑이 따끔 (Lovesick)' MV Teaser #2,QgI4e76DEOA,2023-05-08,46107,4429,-,-,32,8.395929103923198,387111.1031945869
aespa 에스파 'Spicy' MV,Os_heh8vPfs,2023-05-08,108254611,1241137,-,3,25,14.03153845293655,1518978736.954188
SUNGMIN 성민 '사랑이 따끔 (Lovesick)' MV Teaser #1,GIHnCkdqM0U,2023-05-07,63315,5654,-,-,23,8.640118538253535,547049.1052495226
aespa 에스파 'Spicy' MV Teaser,KO5U18aeOF4,2023-05-06,365453,44804,-,-,29,10.71005270013163,3914020.8894212046
aespa 에스파 'Spicy' MV Teaser,lUusUqBiWlc,2023-05-06,2152592,189484,-,-,29,12.152059867222297,26158426.85370378
[STATION] 최강창민 X 하현우 (국카스텐) 'HYBRID' MV,CCODvb5wGLc,2023-05-04,252419,13966,-,-,5,9.54438108340598,2409183.128692254
[STATION] 최강창민 X 하현우 (국카스텐) 'HYBRID' MV Teaser,D7AplTF6e2k,2023-05-03,73552,5903,-,-,23,8.683215975240689,638667.9014109031
aespa 에스파 'Welcome To MY World (Feat. nævis)' MV,0xdB_vo4r2c,2023-05-02,19535216,582838,-,3,32,13.27566455364843,259342974.59906566
ScreaM Records 'SCREAM! ep.1 : Journey of Emotions' MV,Kit8hBmNgw0,2023-04-28,44449,2928,-,5,15,7.982074875081202,354795.2461224843
ScreaM Records 'SCREAM! ep.1 : Journey of Emotions' MV Teaser,luHA5MKSlWY,2023-04-27,34659,2324,-,-,24,7.751045117971802,268643.47274378466
[STATION] 강타 (KANGTA) X 이아름 'When I Close My Eyes' MV,IR8Z2RSrCjs,2023-04-22,60943,4778,-,-,4,8.471777327885755,516295.52569334157
[STATION] 강타 (KANGTA) X 이아름 'When I Close My Eyes' MV Teaser,nwk-x2dsHwA,2023-04-19,25982,2550,-,-,33,7.843848638152472,203798.87531647753
NCT DOJAEJUNG 엔시티 도재정 'Perfume' MV,7nRiE4sLLxE,2023-04-17,26436403,611067,-,3,7,13.322961888443066,352211189.63652194
NCT DOJAEJUNG 엔시티 도재정 'Perfume' MV Teaser,mqhzLxK4paw,2023-04-15,628232,94448,-,-,29,11.45580469748047,7196903.096707551
WayV 威神V 'Phantom (Pierre Blanche Remix)' MV,JjB0tDhLiBw,2023-04-14,108122,14458,-,4,18,9.579003173560242,1035700.9811316804
WayV 威神V 'Phantom (Pierre Blanche Remix)' MV Teaser,CKsVvBdcOiA,2023-04-13,37709,6066,-,-,39,8.710454688248527,328462.5358391637
[STATION : NCT LAB] MARK 마크 'Golden Hour' MV,EUsUqd20c_k,2023-04-07,6331451,507638,-,3,21,13.137523874116482,83179588.67029868
[STATION : NCT LAB] MARK 마크 'Golden Hour' MV Teaser,MjHNfPOewBw,2023-04-06,463196,74584,-,-,23,11.21968128597653,5196911.492939184
[SM Classics] 서울시립교향악단 '다시 만난 세계 (Into The New World) (Orchestra Ver.)' MV,xhXoiQDloV8,2023-03-31,1136196,88617,-,5,44,11.392078991776954,12943634.582141008
[SM Classics] 서울시립교향악단 '다시 만난 세계 (Into The New World) (Orchestra Ver.)' MV Teaser,7LCKyLsw0fI,2023-03-30,75049,8410,-,-,34,9.037176752966994,678231.07813342
SEULGI 슬기 '28 Reasons (CIFIKA Remix)' MV,ALJZYurWD5k,2023-03-17,149713,9986,-,4,1,9.208939391060555,1378697.943053849
SEULGI 슬기 '28 Reasons (CIFIKA Remix)' MV Teaser,WTHlPnwGSjY,2023-03-16,51380,5035,-,-,36,8.524168805152662,437971.7932087438
SEULGI 슬기 'Los Angeles (Moksi Remix)' MV,ikUMALKqCHs,2023-03-15,308169,23782,-,3,6,10.076684270997523,3105321.715109036
SEULGI 슬기 'Los Angeles (Moksi Remix)' MV Teaser,Xg6TuF1QV1I,2023-03-14,89375,9432,-,-,35,9.151863442217207,817947.7951481629
KAI 카이 'Rover' MV,zlTIextYnyQ,2023-03-13,58259918,1581883,-,3,3,14.274126467558347,831609437.5215789
KAI 카이 'Rover' MV Teaser,vmqekZ4VmDs,2023-03-11,756493,99866,-,-,27,11.511584566367388,8708433.143364964
ONEW 온유 'O (Circle)' MV,30VMl9ZkmgE,2023-03-06,6604313,93611,-,3,33,11.44690317692811,75598931.46112762
ONEW 온유 'O (Circle)' MV Teaser,iBNo3ZE9nEw,2023-03-01,154507,18609,-,-,36,9.831400613641227,1519020.214611865
[STATION] LIM KIM (림킴) X JAMIE (제이미) 'Love Me Crazy' MV,aPPq_FJC-BU,2023-02-28,438078,30107,-,3,15,10.312512981839049,4517685.0620580865
[STATION] LIM KIM (림킴) X JAMIE (제이미) 'Love Me Crazy' MV Teaser,DpVmshzRfP8,2023-02-27,93639,6983,-,-,28,8.851233902846035,828820.6914285999
YESUNG 예성 'Floral Sense (Feat. 윈터 of aespa)' MV,dK7a9rDgU3g,2023-02-27,1086879,57635,-,4,10,10.961885301035114,11914242.934103744
YESUNG 예성 'Floral Sense (Feat. 윈터 of aespa)' MV Teaser,xShZkAO0Osc,2023-02-23,127152,13755,-,-,34,9.529157673358675,1211651.4564829022
NCT 127 엔시티 127 '질주 (2 Baddies) (No Identity Remix)' MV,TQt34YfY0QA,2023-02-17,254786,28964,-,3,28,10.273808958508711,2617622.6893026005
NCT 127 엔시티 127 '질주 (2 Baddies) (No Identity Remix)' MV Teaser,I_kJ_Xh9ywk,2023-02-15,85272,12428,-,-,30,9.427707270512938,803919.4543711792
KEY 키 'Killer' MV,dUd_9R_qJSg,2023-02-13,7328914,162047,-,4,21,11.995641695593639,87915026.36181995
KEY 키 'Killer' MV Teaser,LiKeTgIwb8s,2023-02-11,172116,25130,-,-,32,10.131817630537638,1743847.9232976162
