DATE,predicted,actual
2023-01-02,169473.31,169500.0
2023-01-03,176506.23,176500.0
2023-01-04,171501.8,171500.0
2023-01-05,172021.0,172000.0
2023-01-06,167992.38,168000.0
2023-01-09,173524.58,173500.0
2023-01-10,170651.81,170500.0
2023-01-11,174414.64,174500.0
2023-01-12,172850.66,173000.0
2023-01-13,174584.45,174500.0
2023-01-16,178485.4,178500.0
2023-01-17,176998.62,177000.0
2023-01-18,179004.55,179000.0
2023-01-19,188000.44,188000.0
2023-01-20,186997.52,187000.0
2023-01-25,186411.19,186400.0
2023-01-26,190423.22,190400.0
2023-01-27,194005.03,194000.0
2023-01-30,188923.84,188900.0
2023-01-31,191695.16,191700.0
2023-02-01,189443.42,189500.0
2023-02-02,187898.22,187900.0
2023-02-03,195612.55,195600.0
2023-02-06,188871.23,188800.0
2023-02-07,189493.52,189500.0
2023-02-08,197593.94,197600.0
2023-02-09,198282.6,198300.0
2023-02-10,195302.95,195300.0
2023-02-13,188997.06,189000.0
2023-02-14,201998.77,202000.0
2023-02-15,197197.73,197200.0
2023-02-16,190504.16,190500.0
2023-02-17,182011.45,182000.0
2023-02-20,184500.55,184500.0
2023-02-21,182102.03,182100.0
2023-02-22,187699.66,187700.0
2023-02-23,187684.16,187700.0
2023-02-24,183144.02,183200.0
2023-02-27,182449.9,182400.0
2023-02-28,185039.62,185100.0
2023-03-02,187041.3,187000.0
2023-03-03,187400.77,187400.0
2023-03-06,191829.4,191800.0
2023-03-07,188498.16,188500.0
2023-03-08,177200.77,177200.0
2023-03-09,176493.42,176500.0
2023-03-10,183713.72,183700.0
2023-03-13,189599.08,189600.0
2023-03-14,173695.03,173700.0
2023-03-15,173544.27,173500.0
2023-03-16,176464.47,176500.0
2023-03-17,179407.45,179400.0
2023-03-20,184024.78,184000.0
2023-03-21,189600.23,189600.0
2023-03-22,190359.69,190300.0
2023-03-23,188397.38,188400.0
2023-03-24,187503.28,187500.0
2023-03-27,182087.3,182100.0
2023-03-28,187350.64,187300.0
2023-03-29,190014.52,190100.0
2023-03-30,187924.78,188000.0
2023-03-31,188924.95,188900.0
2023-04-03,184016.98,184000.0
2023-04-04,190290.19,190300.0
2023-04-05,190721.6,190700.0
2023-04-06,205002.27,205000.0
2023-04-07,217004.73,217000.0
2023-04-10,222000.33,222000.0
2023-04-11,224500.94,224500.0
2023-04-12,235504.33,235500.0
2023-04-13,245004.42,245000.0
2023-04-14,259007.34,259000.0
2023-04-17,260008.89,260000.0
2023-04-18,258500.31,258500.0
2023-04-19,251501.69,251500.0
2023-04-20,257004.97,257000.0
2023-04-21,250002.05,250000.0
2023-04-24,258999.62,259000.0
2023-04-25,260515.38,260500.0
2023-04-26,264991.16,265000.0
2023-04-27,264008.8,264000.0
2023-04-28,270008.0,270000.0
2023-05-02,284508.06,284500.0
2023-05-03,294507.6,294500.0
2023-05-04,292510.88,292500.0
2023-05-08,279009.56,279000.0
2023-05-09,277496.56,277500.0
2023-05-10,279527.97,279500.0
2023-05-11,277453.9,277500.0
2023-05-12,282016.25,282000.0
2023-05-15,278563.0,278500.0
2023-05-16,284006.28,284000.0
2023-05-17,292005.66,292000.0
2023-05-18,285988.5,286000.0
2023-05-19,281007.88,281000.0
2023-05-22,269007.72,269000.0
2023-05-23,273004.12,273000.0
2023-05-24,267503.0,267500.0
2023-05-25,267004.38,267000.0
2023-05-26,269399.72,270000.0
2023-05-30,273930.3,276000.0
2023-05-31,271568.06,274000.0
2023-06-01,283324.6,277500.0
2023-06-02,269199.06,270000.0
2023-06-05,260774.6,265000.0
2023-06-07,263790.16,269000.0
2023-06-08,254975.23,268000.0
2023-06-09,278879.47,280500.0
2023-06-12,291119.22,294000.0
2023-06-13,297707.0,294000.0
2023-06-14,304219.56,292000.0
2023-06-15,301513.7,300500.0
2023-06-16,297801.3,297500.0
2023-06-19,301773.22,300500.0
2023-06-20,301037.75,300500.0
2023-06-21,298042.4,296500.0
2023-06-22,302294.9,307000.0
2023-06-23,298935.66,301000.0
2023-06-26,294830.78,298000.0
2023-06-27,292035.4,292000.0
2023-06-28,278362.66,285000.0
2023-06-29,269025.25,279500.0
2023-06-30,268959.12,281500.0
