DATE,predicted,actual
2023-01-02,169521.25,169500.0
2023-01-03,176503.0,176500.0
2023-01-04,171476.8,171500.0
2023-01-05,171989.97,172000.0
2023-01-06,168003.1,168000.0
2023-01-09,173474.98,173500.0
2023-01-10,170540.62,170500.0
2023-01-11,174497.02,174500.0
2023-01-12,172896.38,173000.0
2023-01-13,174587.64,174500.0
2023-01-16,178513.34,178500.0
2023-01-17,177001.47,177000.0
2023-01-18,178988.56,179000.0
2023-01-19,187999.39,188000.0
2023-01-20,186998.81,187000.0
2023-01-25,186401.47,186400.0
2023-01-26,190391.12,190400.0
2023-01-27,194001.25,194000.0
2023-01-30,188899.39,188900.0
2023-01-31,191694.69,191700.0
2023-02-01,189503.0,189500.0
2023-02-02,187900.78,187900.0
2023-02-03,195598.3,195600.0
2023-02-06,188798.69,188800.0
2023-02-07,189490.97,189500.0
2023-02-08,197598.64,197600.0
2023-02-09,198309.25,198300.0
2023-02-10,195301.61,195300.0
2023-02-13,189007.73,189000.0
2023-02-14,201999.19,202000.0
2023-02-15,197202.94,197200.0
2023-02-16,190502.77,190500.0
2023-02-17,182000.53,182000.0
2023-02-20,184473.11,184500.0
2023-02-21,182135.98,182100.0
2023-02-22,187698.97,187700.0
2023-02-23,187699.28,187700.0
2023-02-24,183215.14,183200.0
2023-02-27,182313.03,182400.0
2023-02-28,185168.6,185100.0
2023-03-02,186968.81,187000.0
2023-03-03,187397.62,187400.0
2023-03-06,191808.77,191800.0
2023-03-07,188501.86,188500.0
2023-03-08,177198.1,177200.0
2023-03-09,176515.83,176500.0
2023-03-10,183701.28,183700.0
2023-03-13,189599.58,189600.0
2023-03-14,173702.16,173700.0
2023-03-15,173498.28,173500.0
2023-03-16,176497.33,176500.0
2023-03-17,179392.5,179400.0
2023-03-20,184026.53,184000.0
2023-03-21,189571.95,189600.0
2023-03-22,190317.05,190300.0
2023-03-23,188376.83,188400.0
2023-03-24,187499.58,187500.0
2023-03-27,182104.75,182100.0
2023-03-28,187296.1,187300.0
2023-03-29,190093.66,190100.0
2023-03-30,187998.06,188000.0
2023-03-31,188899.61,188900.0
2023-04-03,184009.52,184000.0
2023-04-04,190305.55,190300.0
2023-04-05,190688.89,190700.0
2023-04-06,204999.22,205000.0
2023-04-07,216999.6,217000.0
2023-04-10,221980.23,222000.0
2023-04-11,224517.8,224500.0
2023-04-12,235502.9,235500.0
2023-04-13,244997.7,245000.0
2023-04-14,258997.02,259000.0
2023-04-17,260012.6,260000.0
2023-04-18,258432.73,258500.0
2023-04-19,251587.23,251500.0
2023-04-20,256998.53,257000.0
2023-04-21,249941.6,250000.0
2023-04-24,259009.73,259000.0
2023-04-25,260402.08,260500.0
2023-04-26,265073.2,265000.0
2023-04-27,264053.2,264000.0
2023-04-28,269973.22,270000.0
2023-05-02,284498.47,284500.0
2023-05-03,294498.28,294500.0
2023-05-04,292483.84,292500.0
2023-05-08,279002.7,279000.0
2023-05-09,277498.28,277500.0
2023-05-10,279523.72,279500.0
2023-05-11,277486.25,277500.0
2023-05-12,281990.78,282000.0
2023-05-15,278510.22,278500.0
2023-05-16,283988.5,284000.0
2023-05-17,292007.0,292000.0
2023-05-18,286000.3,286000.0
2023-05-19,280998.22,281000.0
2023-05-22,268995.56,269000.0
2023-05-23,273000.1,273000.0
2023-05-24,267495.3,267500.0
2023-05-25,266998.9,267000.0
2023-05-26,269129.56,270000.0
2023-05-30,273568.56,276000.0
2023-05-31,272632.94,274000.0
2023-06-01,283517.22,277500.0
2023-06-02,265620.25,270000.0
2023-06-05,261515.69,265000.0
2023-06-07,266866.22,269000.0
2023-06-08,259366.7,268000.0
2023-06-09,281314.3,280500.0
2023-06-12,293106.28,294000.0
2023-06-13,294146.16,294000.0
2023-06-14,304963.97,292000.0
2023-06-15,303692.7,300500.0
2023-06-16,296510.16,297500.0
2023-06-19,300756.62,300500.0
2023-06-20,299735.0,300500.0
2023-06-21,296150.2,296500.0
2023-06-22,306244.84,307000.0
2023-06-23,298722.7,301000.0
2023-06-26,295948.1,298000.0
2023-06-27,292572.56,292000.0
2023-06-28,285491.38,285000.0
2023-06-29,276815.53,279500.0
2023-06-30,276245.88,281500.0
