DATE,predicted,actual
2023-01-02,67158.055,67200.0
2023-01-03,68241.516,68000.0
2023-01-04,65156.69,65100.0
2023-01-05,64178.22,64600.0
2023-01-06,63078.19,63100.0
2023-01-09,65761.234,65600.0
2023-01-10,63904.77,63800.0
2023-01-11,65426.277,65400.0
2023-01-12,65709.43,66000.0
2023-01-13,63729.953,63900.0
2023-01-16,64133.9,63800.0
2023-01-17,63831.145,63900.0
2023-01-18,65021.555,64800.0
2023-01-19,66656.625,66900.0
2023-01-20,66991.12,66900.0
2023-01-25,68267.875,67500.0
2023-01-26,69093.766,68600.0
2023-01-27,70708.11,71100.0
2023-01-30,70629.484,70500.0
2023-01-31,72005.31,72500.0
2023-02-01,71763.54,72100.0
2023-02-02,72175.164,72100.0
2023-02-03,72759.6,72800.0
2023-02-06,71399.76,71400.0
2023-02-07,71788.35,71800.0
2023-02-08,72867.234,72600.0
2023-02-09,72528.23,72600.0
2023-02-10,73435.484,73300.0
2023-02-13,72695.445,72800.0
2023-02-14,72750.81,73200.0
2023-02-15,71734.82,71700.0
2023-02-16,72320.82,72300.0
2023-02-17,71162.55,71800.0
2023-02-20,73729.9,74000.0
2023-02-21,72928.164,73000.0
2023-02-22,75986.14,76000.0
2023-02-23,75920.14,76300.0
2023-02-24,75961.84,75900.0
2023-02-27,76077.7,76100.0
2023-02-28,78908.86,78700.0
2023-03-02,77597.23,77500.0
2023-03-03,77644.69,77500.0
2023-03-06,76536.62,76700.0
2023-03-07,78380.664,77900.0
2023-03-08,80120.945,80000.0
2023-03-09,78498.914,78500.0
2023-03-10,77724.016,77700.0
2023-03-13,71078.62,71100.0
2023-03-14,71614.96,71500.0
2023-03-15,72066.125,71700.0
2023-03-16,69962.336,69800.0
2023-03-17,72198.086,72100.0
2023-03-20,70141.24,70100.0
2023-03-21,70062.85,69900.0
2023-03-22,68437.83,68300.0
2023-03-23,69098.69,69100.0
2023-03-24,72529.97,72600.0
2023-03-27,71556.05,72100.0
2023-03-28,77213.445,77300.0
2023-03-29,77186.484,77200.0
2023-03-30,77338.37,77500.0
2023-03-31,77364.38,77400.0
2023-04-03,76881.42,76900.0
2023-04-04,78200.25,78100.0
2023-04-05,77266.33,77200.0
2023-04-06,77636.51,77900.0
2023-04-07,77259.21,77200.0
2023-04-10,76572.29,76400.0
2023-04-11,76769.26,76600.0
2023-04-12,75865.87,75900.0
2023-04-13,81103.21,80600.0
2023-04-14,84464.39,85000.0
2023-04-17,88399.125,88300.0
2023-04-18,87836.68,87800.0
2023-04-19,87948.19,88000.0
2023-04-20,86317.95,86300.0
2023-04-21,85584.93,85700.0
2023-04-24,86109.73,86100.0
2023-04-25,85821.68,85800.0
2023-04-26,87738.34,87700.0
2023-04-27,87956.87,88000.0
2023-04-28,90269.914,90200.0
2023-05-02,93815.57,93800.0
2023-05-03,94916.34,94800.0
2023-05-04,94611.45,94900.0
2023-05-08,92254.16,92200.0
2023-05-09,92073.81,91900.0
2023-05-10,92769.78,92800.0
2023-05-11,92115.086,92000.0
2023-05-12,94312.93,94300.0
2023-05-15,95329.984,95500.0
2023-05-16,115394.57,115400.0
2023-05-17,119494.25,119500.0
2023-05-18,119807.63,119800.0
2023-05-19,115707.65,115700.0
2023-05-22,114064.54,114100.0
2023-05-23,115727.6,115700.0
2023-05-24,113478.945,113500.0
2023-05-25,112313.19,112300.0
2023-05-26,114815.484,113700.0
2023-05-30,121744.54,122200.0
2023-05-31,122923.3,122000.0
2023-06-01,126237.29,127300.0
2023-06-02,124060.13,128700.0
2023-06-05,122189.164,126300.0
2023-06-07,125125.7,127500.0
2023-06-08,125844.555,128300.0
2023-06-09,129857.44,131200.0
2023-06-12,129750.62,132400.0
2023-06-13,131115.58,133200.0
2023-06-14,131404.64,135000.0
2023-06-15,133362.89,137000.0
2023-06-16,131498.88,136000.0
2023-06-19,131737.8,136100.0
2023-06-20,133556.4,138800.0
2023-06-21,130318.336,134400.0
2023-06-22,129765.85,134000.0
2023-06-23,127491.32,131300.0
2023-06-26,125717.52,130000.0
2023-06-27,121820.69,124900.0
2023-06-28,118183.88,122600.0
2023-06-29,117980.3,124900.0
2023-06-30,120778.54,130800.0
