DATE,predicted,actual
2023-01-02,67061.92,67200.0
2023-01-03,68116.81,68000.0
2023-01-04,65116.11,65100.0
2023-01-05,64530.562,64600.0
2023-01-06,63135.812,63100.0
2023-01-09,65564.17,65600.0
2023-01-10,63795.824,63800.0
2023-01-11,65411.99,65400.0
2023-01-12,66034.7,66000.0
2023-01-13,64097.133,63900.0
2023-01-16,63615.453,63800.0
2023-01-17,63901.695,63900.0
2023-01-18,64867.957,64800.0
2023-01-19,66758.32,66900.0
2023-01-20,66899.3,66900.0
2023-01-25,67716.05,67500.0
2023-01-26,68779.18,68600.0
2023-01-27,71005.53,71100.0
2023-01-30,70477.99,70500.0
2023-01-31,72074.61,72500.0
2023-02-01,72009.734,72100.0
2023-02-02,72074.25,72100.0
2023-02-03,72858.43,72800.0
2023-02-06,71233.69,71400.0
2023-02-07,71915.805,71800.0
2023-02-08,73193.64,72600.0
2023-02-09,72606.37,72600.0
2023-02-10,73305.61,73300.0
2023-02-13,72792.22,72800.0
2023-02-14,73056.016,73200.0
2023-02-15,71747.63,71700.0
2023-02-16,72305.69,72300.0
2023-02-17,71215.04,71800.0
2023-02-20,74051.18,74000.0
2023-02-21,73125.25,73000.0
2023-02-22,76024.625,76000.0
2023-02-23,76032.734,76300.0
2023-02-24,75950.15,75900.0
2023-02-27,76126.16,76100.0
2023-02-28,78539.82,78700.0
2023-03-02,77643.84,77500.0
2023-03-03,77470.82,77500.0
2023-03-06,76723.125,76700.0
2023-03-07,77932.77,77900.0
2023-03-08,80044.81,80000.0
2023-03-09,78407.63,78500.0
2023-03-10,77732.61,77700.0
2023-03-13,71090.89,71100.0
2023-03-14,71721.49,71500.0
2023-03-15,71737.73,71700.0
2023-03-16,69788.96,69800.0
2023-03-17,72164.9,72100.0
2023-03-20,70069.54,70100.0
2023-03-21,69994.89,69900.0
2023-03-22,68151.53,68300.0
2023-03-23,69298.07,69100.0
2023-03-24,72499.68,72600.0
2023-03-27,72025.37,72100.0
2023-03-28,77355.64,77300.0
2023-03-29,77191.68,77200.0
2023-03-30,77364.21,77500.0
2023-03-31,77354.9,77400.0
2023-04-03,76983.11,76900.0
2023-04-04,78071.695,78100.0
2023-04-05,77056.664,77200.0
2023-04-06,78032.805,77900.0
2023-04-07,77163.945,77200.0
2023-04-10,76588.445,76400.0
2023-04-11,76733.03,76600.0
2023-04-12,75907.305,75900.0
2023-04-13,80634.06,80600.0
2023-04-14,84964.22,85000.0
2023-04-17,88420.234,88300.0
2023-04-18,87615.695,87800.0
2023-04-19,87540.0,88000.0
2023-04-20,86279.81,86300.0
2023-04-21,85988.94,85700.0
2023-04-24,86090.27,86100.0
2023-04-25,85834.75,85800.0
2023-04-26,87393.68,87700.0
2023-04-27,88137.36,88000.0
2023-04-28,90714.336,90200.0
2023-05-02,93708.12,93800.0
2023-05-03,95099.64,94800.0
2023-05-04,94511.34,94900.0
2023-05-08,92524.25,92200.0
2023-05-09,91762.66,91900.0
2023-05-10,92936.164,92800.0
2023-05-11,91930.78,92000.0
2023-05-12,94353.74,94300.0
2023-05-15,95222.22,95500.0
2023-05-16,115400.08,115400.0
2023-05-17,119479.945,119500.0
2023-05-18,119792.734,119800.0
2023-05-19,115696.18,115700.0
2023-05-22,114084.85,114100.0
2023-05-23,115719.34,115700.0
2023-05-24,113390.0,113500.0
2023-05-25,112430.414,112300.0
2023-05-26,114415.72,113700.0
2023-05-30,125266.12,122200.0
2023-05-31,123105.586,122000.0
2023-06-01,126798.87,127300.0
2023-06-02,122085.11,128700.0
2023-06-05,121487.84,126300.0
2023-06-07,123574.37,127500.0
2023-06-08,124735.125,128300.0
2023-06-09,127413.03,131200.0
2023-06-12,127126.8,132400.0
2023-06-13,128541.7,133200.0
2023-06-14,129749.88,135000.0
2023-06-15,130163.14,137000.0
2023-06-16,127881.9,136000.0
2023-06-19,128361.27,136100.0
2023-06-20,129553.56,138800.0
2023-06-21,126904.39,134400.0
2023-06-22,127718.13,134000.0
2023-06-23,126059.3,131300.0
2023-06-26,124704.875,130000.0
2023-06-27,120598.81,124900.0
2023-06-28,118207.81,122600.0
2023-06-29,118990.76,124900.0
2023-06-30,121787.49,130800.0
