DATE,predicted,actual
2023-01-02,75143.914,75200.0
2023-01-03,76539.555,77200.0
2023-01-04,75167.22,75200.0
2023-01-05,74234.15,74400.0
2023-01-06,74061.48,73900.0
2023-01-09,76276.44,76300.0
2023-01-10,74689.38,74600.0
2023-01-11,77338.52,77000.0
2023-01-12,77800.8,77700.0
2023-01-13,75524.17,75500.0
2023-01-16,74559.26,74500.0
2023-01-17,73262.695,73400.0
2023-01-18,74542.664,74100.0
2023-01-19,76752.04,76800.0
2023-01-20,83104.53,83100.0
2023-01-25,80480.5,80600.0
2023-01-26,80382.38,80300.0
2023-01-27,82487.09,82500.0
2023-01-30,84618.59,84700.0
2023-01-31,87997.47,88000.0
2023-02-01,86703.586,86700.0
2023-02-02,89159.45,89100.0
2023-02-03,91001.22,91000.0
2023-02-06,92205.16,92200.0
2023-02-07,90123.945,90100.0
2023-02-08,98699.57,98700.0
2023-02-09,98506.1,98500.0
2023-02-10,114700.73,114700.0
2023-02-13,115991.195,116000.0
2023-02-14,116805.98,116800.0
2023-02-15,122601.55,122600.0
2023-02-16,131903.73,131900.0
2023-02-17,130103.23,130100.0
2023-02-20,121793.51,121800.0
2023-02-21,123500.07,123500.0
2023-02-22,121106.375,121100.0
2023-02-23,126299.55,126300.0
2023-02-24,121004.04,121000.0
2023-02-27,120295.45,120300.0
2023-02-28,127596.74,127600.0
2023-03-02,128000.234,128000.0
2023-03-03,129190.25,129200.0
2023-03-06,130106.81,130100.0
2023-03-07,149697.77,149700.0
2023-03-08,158494.36,158500.0
2023-03-09,154898.58,154900.0
2023-03-10,147796.78,147800.0
2023-03-13,113094.19,113100.0
2023-03-14,115198.87,115200.0
2023-03-15,113432.75,113400.0
2023-03-16,111574.29,111600.0
2023-03-17,113000.03,113000.0
2023-03-20,113083.91,113300.0
2023-03-21,113745.71,113500.0
2023-03-22,111957.31,112000.0
2023-03-23,107238.336,107200.0
2023-03-24,107176.664,107200.0
2023-03-27,91100.54,91100.0
2023-03-28,94307.7,94300.0
2023-03-29,97408.58,97400.0
2023-03-30,94096.734,94100.0
2023-03-31,93200.63,93200.0
2023-04-03,94480.2,94400.0
2023-04-04,95958.06,96100.0
2023-04-05,96227.625,96200.0
2023-04-06,98031.375,98000.0
2023-04-07,97566.195,97600.0
2023-04-10,95820.58,95800.0
2023-04-11,97419.05,97400.0
2023-04-12,95184.73,95200.0
2023-04-13,101699.89,101700.0
2023-04-14,105487.914,105500.0
2023-04-17,104829.45,104800.0
2023-04-18,102673.03,102700.0
2023-04-19,104483.914,104500.0
2023-04-20,103000.17,103000.0
2023-04-21,100515.22,100500.0
2023-04-24,104599.98,104600.0
2023-04-25,103292.836,103300.0
2023-04-26,108332.6,108300.0
2023-04-27,106142.85,106200.0
2023-04-28,107277.52,107200.0
2023-05-02,112563.2,112600.0
2023-05-03,112483.01,112500.0
2023-05-04,107299.61,107300.0
2023-05-08,104809.125,104800.0
2023-05-09,103346.336,103400.0
2023-05-10,105742.68,105700.0
2023-05-11,107762.45,107800.0
2023-05-12,106397.91,106400.0
2023-05-15,102509.52,102500.0
2023-05-16,109204.15,109200.0
2023-05-17,113312.234,113300.0
2023-05-18,111003.43,111000.0
2023-05-19,107626.45,107600.0
2023-05-22,106896.13,106900.0
2023-05-23,108074.09,108100.0
2023-05-24,105059.62,105100.0
2023-05-25,103655.84,103600.0
2023-05-26,105759.33,104800.0
2023-05-30,107797.38,109400.0
2023-05-31,108166.336,109700.0
2023-06-01,100833.23,101800.0
2023-06-02,103827.016,101900.0
2023-06-05,95245.9,100500.0
2023-06-07,101698.15,103300.0
2023-06-08,102068.63,103400.0
2023-06-09,101996.8,102000.0
2023-06-12,105368.55,104400.0
2023-06-13,107269.734,108000.0
2023-06-14,113417.19,114900.0
2023-06-15,113123.2,114800.0
2023-06-16,117744.695,117600.0
2023-06-19,118749.47,118900.0
2023-06-20,121355.195,121900.0
2023-06-21,118419.61,118800.0
2023-06-22,114438.8,114200.0
2023-06-23,109979.125,111000.0
2023-06-26,107026.3,109700.0
2023-06-27,107427.73,109700.0
2023-06-28,105623.63,107300.0
2023-06-29,105742.805,107000.0
2023-06-30,106559.81,106800.0
