DATE,predicted,actual
2023-01-02,75168.42,75200.0
2023-01-03,77087.34,77200.0
2023-01-04,75271.39,75200.0
2023-01-05,74298.72,74400.0
2023-01-06,73993.39,73900.0
2023-01-09,76382.04,76300.0
2023-01-10,74517.78,74600.0
2023-01-11,77065.664,77000.0
2023-01-12,77817.68,77700.0
2023-01-13,75416.59,75500.0
2023-01-16,74623.66,74500.0
2023-01-17,73325.49,73400.0
2023-01-18,74180.52,74100.0
2023-01-19,76665.15,76800.0
2023-01-20,83094.98,83100.0
2023-01-25,80581.94,80600.0
2023-01-26,80303.23,80300.0
2023-01-27,82513.42,82500.0
2023-01-30,84670.97,84700.0
2023-01-31,87995.39,88000.0
2023-02-01,86715.21,86700.0
2023-02-02,89093.04,89100.0
2023-02-03,90999.52,91000.0
2023-02-06,92197.76,92200.0
2023-02-07,90099.68,90100.0
2023-02-08,98707.13,98700.0
2023-02-09,98502.47,98500.0
2023-02-10,114708.11,114700.0
2023-02-13,116005.19,116000.0
2023-02-14,116797.34,116800.0
2023-02-15,122606.6,122600.0
2023-02-16,131908.73,131900.0
2023-02-17,130115.17,130100.0
2023-02-20,121799.445,121800.0
2023-02-21,123512.336,123500.0
2023-02-22,121099.164,121100.0
2023-02-23,126336.32,126300.0
2023-02-24,120997.55,121000.0
2023-02-27,120311.375,120300.0
2023-02-28,127603.62,127600.0
2023-03-02,128009.0,128000.0
2023-03-03,129198.234,129200.0
2023-03-06,130112.586,130100.0
2023-03-07,149764.12,149700.0
2023-03-08,158557.56,158500.0
2023-03-09,154960.44,154900.0
2023-03-10,147846.03,147800.0
2023-03-13,113096.47,113100.0
2023-03-14,115195.18,115200.0
2023-03-15,113416.984,113400.0
2023-03-16,111612.805,111600.0
2023-03-17,113013.85,113000.0
2023-03-20,113184.49,113300.0
2023-03-21,113632.58,113500.0
2023-03-22,111976.16,112000.0
2023-03-23,107202.55,107200.0
2023-03-24,107208.57,107200.0
2023-03-27,91100.34,91100.0
2023-03-28,94304.57,94300.0
2023-03-29,97387.34,97400.0
2023-03-30,94118.51,94100.0
2023-03-31,93202.13,93200.0
2023-04-03,94437.44,94400.0
2023-04-04,96085.17,96100.0
2023-04-05,96159.016,96200.0
2023-04-06,98044.71,98000.0
2023-04-07,97537.24,97600.0
2023-04-10,95792.11,95800.0
2023-04-11,97399.03,97400.0
2023-04-12,95211.5,95200.0
2023-04-13,101730.34,101700.0
2023-04-14,105349.76,105500.0
2023-04-17,104888.234,104800.0
2023-04-18,102723.32,102700.0
2023-04-19,104352.43,104500.0
2023-04-20,102996.55,103000.0
2023-04-21,100509.5,100500.0
2023-04-24,104757.375,104600.0
2023-04-25,103328.055,103300.0
2023-04-26,108344.15,108300.0
2023-04-27,106136.55,106200.0
2023-04-28,107314.33,107200.0
2023-05-02,112557.15,112600.0
2023-05-03,112513.0,112500.0
2023-05-04,107322.79,107300.0
2023-05-08,104774.03,104800.0
2023-05-09,103414.37,103400.0
2023-05-10,105668.86,105700.0
2023-05-11,107815.11,107800.0
2023-05-12,106377.17,106400.0
2023-05-15,102532.54,102500.0
2023-05-16,109206.39,109200.0
2023-05-17,113313.56,113300.0
2023-05-18,111017.805,111000.0
2023-05-19,107611.67,107600.0
2023-05-22,106880.12,106900.0
2023-05-23,108117.67,108100.0
2023-05-24,105105.695,105100.0
2023-05-25,103610.14,103600.0
2023-05-26,105099.375,104800.0
2023-05-30,110577.89,109400.0
2023-05-31,113162.79,109700.0
2023-06-01,103318.56,101800.0
2023-06-02,101206.15,101900.0
2023-06-05,96629.695,100500.0
2023-06-07,102042.3,103300.0
2023-06-08,100891.47,103400.0
2023-06-09,101832.83,102000.0
2023-06-12,104340.63,104400.0
2023-06-13,109350.25,108000.0
2023-06-14,114597.555,114900.0
2023-06-15,114518.19,114800.0
2023-06-16,116817.99,117600.0
2023-06-19,118356.266,118900.0
2023-06-20,123674.234,121900.0
2023-06-21,119748.01,118800.0
2023-06-22,115203.92,114200.0
2023-06-23,112810.3,111000.0
2023-06-26,109460.26,109700.0
2023-06-27,109794.33,109700.0
2023-06-28,107288.94,107300.0
2023-06-29,107405.2,107000.0
2023-06-30,104478.64,106800.0
