DATE,predicted,actual
2023-01-02,48048.844,48050.0
2023-01-03,49499.816,49500.0
2023-01-04,48806.46,48800.0
2023-01-05,49112.0,49100.0
2023-01-06,49486.12,49600.0
2023-01-09,48830.12,48800.0
2023-01-10,47097.793,47000.0
2023-01-11,47852.426,47900.0
2023-01-12,48732.32,48650.0
2023-01-13,49047.957,49050.0
2023-01-16,48490.84,48350.0
2023-01-17,48098.1,48100.0
2023-01-18,49648.28,49650.0
2023-01-19,52599.918,52600.0
2023-01-20,51901.215,51900.0
2023-01-25,50737.11,51000.0
2023-01-26,50939.086,50900.0
2023-01-27,51496.35,51500.0
2023-01-30,50515.754,50800.0
2023-01-31,51940.004,51900.0
2023-02-01,51971.227,52000.0
2023-02-02,51810.957,51700.0
2023-02-03,52859.13,52800.0
2023-02-06,52183.05,52200.0
2023-02-07,52336.395,52200.0
2023-02-08,53266.83,53300.0
2023-02-09,53168.715,53200.0
2023-02-10,52597.43,52600.0
2023-02-13,52084.098,52000.0
2023-02-14,52295.97,52300.0
2023-02-15,50591.812,50600.0
2023-02-16,52787.992,52800.0
2023-02-17,50795.79,50800.0
2023-02-20,53204.094,53200.0
2023-02-21,53881.926,53900.0
2023-02-22,54433.29,54500.0
2023-02-23,54840.465,54800.0
2023-02-24,53091.223,53100.0
2023-02-27,53916.727,53900.0
2023-02-28,57997.777,58000.0
2023-03-02,57406.855,57500.0
2023-03-03,57254.605,57100.0
2023-03-06,57138.164,57200.0
2023-03-07,59480.62,59500.0
2023-03-08,60357.71,60300.0
2023-03-09,58411.344,58400.0
2023-03-10,57458.285,57500.0
2023-03-13,54605.113,54600.0
2023-03-14,53196.188,53200.0
2023-03-15,52803.703,52800.0
2023-03-16,51901.453,51900.0
2023-03-17,55099.69,55100.0
2023-03-20,54698.8,54700.0
2023-03-21,56495.816,56500.0
2023-03-22,55506.062,55500.0
2023-03-23,55194.08,55200.0
2023-03-24,57298.81,57300.0
2023-03-27,56337.88,56300.0
2023-03-28,58023.44,58000.0
2023-03-29,57542.6,57600.0
2023-03-30,57004.61,57000.0
2023-03-31,56777.25,56700.0
2023-04-03,55777.49,55800.0
2023-04-04,57091.617,57100.0
2023-04-05,56593.5,56600.0
2023-04-06,57793.96,57800.0
2023-04-07,61498.64,61500.0
2023-04-10,60484.27,60500.0
2023-04-11,60583.766,60600.0
2023-04-12,61159.04,61200.0
2023-04-13,63104.89,63100.0
2023-04-14,63106.785,63100.0
2023-04-17,64094.113,64100.0
2023-04-18,63059.164,63000.0
2023-04-19,61754.562,61800.0
2023-04-20,60334.09,60300.0
2023-04-21,58979.867,59000.0
2023-04-24,59899.06,59900.0
2023-04-25,58499.125,58500.0
2023-04-26,61195.383,61200.0
2023-04-27,61505.176,61500.0
2023-04-28,60988.348,61000.0
2023-05-02,64102.984,64100.0
2023-05-03,66199.46,66200.0
2023-05-04,65688.89,65700.0
2023-05-08,63106.652,63100.0
2023-05-09,62206.723,62200.0
2023-05-10,64999.82,65000.0
2023-05-11,66702.46,66700.0
2023-05-12,78099.336,78100.0
2023-05-15,77700.484,77700.0
2023-05-16,84998.36,85000.0
2023-05-17,91299.66,91300.0
2023-05-18,92599.55,92600.0
2023-05-19,91992.76,92000.0
2023-05-22,90799.305,90800.0
2023-05-23,92802.234,92800.0
2023-05-24,92597.55,92600.0
2023-05-25,91303.8,91300.0
2023-05-26,94984.61,92000.0
2023-05-30,95885.37,95200.0
2023-05-31,97059.64,93900.0
2023-06-01,94242.945,94700.0
2023-06-02,96157.55,92200.0
2023-06-05,93862.555,91100.0
2023-06-07,90745.22,84600.0
2023-06-08,89018.375,81900.0
2023-06-09,89019.89,83700.0
2023-06-12,85820.79,83300.0
2023-06-13,84013.055,83600.0
2023-06-14,85813.47,81900.0
2023-06-15,82581.83,83300.0
2023-06-16,81373.06,82600.0
2023-06-19,83910.66,82000.0
2023-06-20,78360.35,82200.0
2023-06-21,77863.85,80800.0
2023-06-22,75356.11,79300.0
2023-06-23,73059.38,78000.0
2023-06-26,77870.24,77200.0
2023-06-27,72959.69,78900.0
2023-06-28,76649.17,78500.0
2023-06-29,76499.89,78400.0
2023-06-30,72154.38,76900.0
