DATE,predicted,actual
2023-01-02,48052.68,48050.0
2023-01-03,49493.14,49500.0
2023-01-04,48790.664,48800.0
2023-01-05,49129.67,49100.0
2023-01-06,49479.996,49600.0
2023-01-09,48799.312,48800.0
2023-01-10,47012.004,47000.0
2023-01-11,47894.38,47900.0
2023-01-12,48787.88,48650.0
2023-01-13,49048.984,49050.0
2023-01-16,48417.1,48350.0
2023-01-17,48156.793,48100.0
2023-01-18,49650.125,49650.0
2023-01-19,52594.453,52600.0
2023-01-20,51901.53,51900.0
2023-01-25,50922.438,51000.0
2023-01-26,50774.188,50900.0
2023-01-27,51352.848,51500.0
2023-01-30,50727.28,50800.0
2023-01-31,51839.715,51900.0
2023-02-01,51955.78,52000.0
2023-02-02,51732.703,51700.0
2023-02-03,52955.21,52800.0
2023-02-06,52238.25,52200.0
2023-02-07,52392.21,52200.0
2023-02-08,53335.094,53300.0
2023-02-09,53084.516,53200.0
2023-02-10,52675.914,52600.0
2023-02-13,52093.09,52000.0
2023-02-14,52258.367,52300.0
2023-02-15,50617.055,50600.0
2023-02-16,52853.496,52800.0
2023-02-17,50747.652,50800.0
2023-02-20,53149.348,53200.0
2023-02-21,53883.39,53900.0
2023-02-22,54463.008,54500.0
2023-02-23,54706.62,54800.0
2023-02-24,53100.934,53100.0
2023-02-27,53935.223,53900.0
2023-02-28,58001.094,58000.0
2023-03-02,57578.86,57500.0
2023-03-03,57168.344,57100.0
2023-03-06,57104.992,57200.0
2023-03-07,59499.977,59500.0
2023-03-08,60299.12,60300.0
2023-03-09,58407.22,58400.0
2023-03-10,57500.35,57500.0
2023-03-13,54576.586,54600.0
2023-03-14,53254.945,53200.0
2023-03-15,52763.457,52800.0
2023-03-16,51916.63,51900.0
2023-03-17,55100.215,55100.0
2023-03-20,54703.61,54700.0
2023-03-21,56506.883,56500.0
2023-03-22,55499.793,55500.0
2023-03-23,55196.992,55200.0
2023-03-24,57247.543,57300.0
2023-03-27,56367.37,56300.0
2023-03-28,58077.57,58000.0
2023-03-29,57572.92,57600.0
2023-03-30,57019.348,57000.0
2023-03-31,56737.76,56700.0
2023-04-03,55710.91,55800.0
2023-04-04,57098.52,57100.0
2023-04-05,56597.11,56600.0
2023-04-06,57794.434,57800.0
2023-04-07,61501.89,61500.0
2023-04-10,60474.465,60500.0
2023-04-11,60604.86,60600.0
2023-04-12,61189.297,61200.0
2023-04-13,63098.34,63100.0
2023-04-14,63100.344,63100.0
2023-04-17,64095.1,64100.0
2023-04-18,63000.184,63000.0
2023-04-19,61803.99,61800.0
2023-04-20,60300.44,60300.0
2023-04-21,59002.72,59000.0
2023-04-24,59898.39,59900.0
2023-04-25,58499.81,58500.0
2023-04-26,61200.87,61200.0
2023-04-27,61486.88,61500.0
2023-04-28,61010.215,61000.0
2023-05-02,64092.31,64100.0
2023-05-03,66201.74,66200.0
2023-05-04,65705.39,65700.0
2023-05-08,63091.652,63100.0
2023-05-09,62189.434,62200.0
2023-05-10,65008.76,65000.0
2023-05-11,66696.44,66700.0
2023-05-12,78100.34,78100.0
2023-05-15,77702.414,77700.0
2023-05-16,85002.586,85000.0
2023-05-17,91297.79,91300.0
2023-05-18,92599.54,92600.0
2023-05-19,92002.336,92000.0
2023-05-22,90799.91,90800.0
2023-05-23,92798.68,92800.0
2023-05-24,92597.66,92600.0
2023-05-25,91300.19,91300.0
2023-05-26,93349.01,92000.0
2023-05-30,93889.03,95200.0
2023-05-31,91066.33,93900.0
2023-06-01,92638.75,94700.0
2023-06-02,89808.48,92200.0
2023-06-05,87384.71,91100.0
2023-06-07,81962.77,84600.0
2023-06-08,79355.67,81900.0
2023-06-09,79265.1,83700.0
2023-06-12,77331.22,83300.0
2023-06-13,77359.15,83600.0
2023-06-14,76485.39,81900.0
2023-06-15,77033.19,83300.0
2023-06-16,76079.45,82600.0
2023-06-19,75256.38,82000.0
2023-06-20,75431.445,82200.0
2023-06-21,74391.89,80800.0
2023-06-22,73623.29,79300.0
2023-06-23,73037.484,78000.0
2023-06-26,72123.64,77200.0
2023-06-27,73850.65,78900.0
2023-06-28,73034.914,78500.0
2023-06-29,73377.1,78400.0
2023-06-30,72737.17,76900.0
